rank,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,frame_weighted_f1,scene_mean_f1,frame_weighted_payload,attempted,frozen_validate_f1,frozen_validate_payload,budget_passed
0,56,400,,2,sqrt,,0.0,0.90938,0.910072,0.245147,1,0.9133,0.156962,1
1,7,400,10.0,2,sqrt,balanced,0.0,0.909279,0.91052,0.1312,0,,,
2,35,400,10.0,4,sqrt,balanced,0.0,0.90925,0.910429,0.131489,0,,,
3,84,400,,4,sqrt,,0.0,0.90922,0.909241,0.226453,0,,,
4,57,400,,2,sqrt,,0.02,0.908969,0.908951,0.215887,0,,,
5,85,400,,4,sqrt,,0.02,0.908787,0.908595,0.211477,0,,,
6,0,400,10.0,2,sqrt,,0.0,0.908715,0.908254,0.209106,0,,,
7,1,400,10.0,2,sqrt,,0.02,0.908693,0.908203,0.197463,0,,,
8,28,400,10.0,4,sqrt,,0.0,0.908598,0.908201,0.170452,0,,,
9,29,400,10.0,4,sqrt,,0.02,0.908453,0.908068,0.156082,0,,,
10,8,400,10.0,2,sqrt,balanced,0.02,0.908069,0.909128,0.089708,0,,,
11,22,400,10.0,2,0.5,balanced,0.02,0.908054,0.910355,0.105204,0,,,
12,36,400,10.0,4,sqrt,balanced,0.02,0.907949,0.909227,0.088333,0,,,
13,91,400,,4,sqrt,balanced,0.0,0.90763,0.907787,0.059216,0,,,
14,78,400,,2,0.5,balanced,0.02,0.907499,0.907392,0.050368,0,,,
15,63,400,,2,sqrt,balanced,0.0,0.907265,0.907546,0.061633,0,,,
16,77,400,,2,0.5,balanced,0.0,0.907195,0.907618,0.08879,0,,,
17,58,400,,2,sqrt,,0.05,0.907039,0.906987,0.055978,0,,,
18,92,400,,4,sqrt,balanced,0.02,0.906934,0.907137,0.041941,0,,,
19,2,400,10.0,2,sqrt,,0.05,0.906925,0.9068,0.02808,0,,,
20,86,400,,4,sqrt,,0.05,0.906809,0.906616,0.027659,0,,,
21,37,400,10.0,4,sqrt,balanced,0.05,0.906801,0.907158,0.037261,0,,,
22,9,400,10.0,2,sqrt,balanced,0.05,0.906734,0.907064,0.037128,0,,,
23,11,400,10.0,2,sqrt,balanced,0.2,0.906725,0.906433,0.024,0,,,
24,25,400,10.0,2,0.5,balanced,0.2,0.906725,0.906433,0.024,0,,,
25,30,400,10.0,4,sqrt,,0.05,0.906725,0.906433,0.024,0,,,
26,39,400,10.0,4,sqrt,balanced,0.2,0.906725,0.906433,0.024,0,,,
27,53,400,10.0,4,0.5,balanced,0.2,0.906725,0.906433,0.024,0,,,
