fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lam,n_frames,realised_f1,realised_payload
2021_08_20_21_48_35,0,400,10.0,2,sqrt,,0.0,2464,0.8876958163361788,2.39734476461039
2021_08_21_17_30_41,0,400,10.0,2,sqrt,,0.0,3454,0.9137888880619517,2.5315376375217142
2021_08_22_13_37_16,0,400,10.0,2,sqrt,,0.0,2970,0.9565649754266288,1.6386356902356907
2021_08_22_22_01_17,0,400,10.0,2,sqrt,,0.0,4444,0.9488674885387105,2.1895860711071107
2021_08_23_10_51_24,0,400,10.0,2,sqrt,,0.0,1408,0.8685978534718056,1.9416578480113638
2021_08_23_13_17_21,0,400,10.0,2,sqrt,,0.0,1056,0.8720577965799803,1.681455018939394
2021_08_23_19_42_07,0,400,10.0,2,sqrt,,0.0,1254,0.8215891534391542,2.4728494816586926
2021_09_09_19_27_35,0,400,10.0,2,sqrt,,0.0,10098,0.6945815138373586,1.6894458803723513
2021_09_11_00_33_16,0,400,10.0,2,sqrt,,0.0,16412,0.8769002202311647,1.8892465421642706
2021_08_20_21_48_35,1,400,10.0,2,sqrt,,0.02,2464,0.8788809036188839,0.07385622970779221
2021_08_21_17_30_41,1,400,10.0,2,sqrt,,0.02,3454,0.9073287994077265,0.5038173132599885
2021_08_22_13_37_16,1,400,10.0,2,sqrt,,0.02,2970,0.9485498088727587,0.0004545454545454546
2021_08_22_22_01_17,1,400,10.0,2,sqrt,,0.02,4444,0.9432953968815017,0.0005254837983798379
2021_08_23_10_51_24,1,400,10.0,2,sqrt,,0.02,1408,0.8567552939648184,0.012189275568181819
2021_08_23_13_17_21,1,400,10.0,2,sqrt,,0.02,1056,0.8606015852724569,0.0010220170454545456
2021_08_23_19_42_07,1,400,10.0,2,sqrt,,0.02,1254,0.8204196662380362,0.0007906698564593301
2021_09_09_19_27_35,1,400,10.0,2,sqrt,,0.02,10098,0.640482770121474,0.0014336997425232721
2021_09_11_00_33_16,1,400,10.0,2,sqrt,,0.02,16412,0.8488282654103327,0.0
2021_08_20_21_48_35,2,400,10.0,2,sqrt,,0.05,2464,0.8785345392317194,0.001197646103896104
2021_08_21_17_30_41,2,400,10.0,2,sqrt,,0.05,3454,0.9016930794459989,0.0010312680949623627
2021_08_22_13_37_16,2,400,10.0,2,sqrt,,0.05,2970,0.9547041270980897,0.0006646464646464646
2021_08_22_22_01_17,2,400,10.0,2,sqrt,,0.05,4444,0.9432843978221371,0.0005196894689468947
2021_08_23_10_51_24,2,400,10.0,2,sqrt,,0.05,1408,0.8566005819346472,0.0009950284090909092
2021_08_23_13_17_21,2,400,10.0,2,sqrt,,0.05,1056,0.8613281730100671,0.0010007102272727273
2021_08_23_19_42_07,2,400,10.0,2,sqrt,,0.05,1254,0.8204111550874461,0.0007769138755980861
2021_09_09_19_27_35,2,400,10.0,2,sqrt,,0.05,10098,0.6404820161272469,0.0013419489007724303
2021_09_11_00_33_16,2,400,10.0,2,sqrt,,0.05,16412,0.8502882750956005,0.00011412381184499148
2021_08_20_21_48_35,3,400,10.0,2,sqrt,,0.1,2464,0.8785340217789392,0.0011953125000000002
2021_08_21_17_30_41,3,400,10.0,2,sqrt,,0.1,3454,0.9016913802126237,0.0010295309785755648
