split,budget,channel,snr_db,rf_E,rf_L,rf_F,or_E,or_L,or_F
validate,0.1,awgn,0,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.1,awgn,2,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.1,awgn,4,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.1,awgn,6,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.1,awgn,8,0.0116,0.9884,0.0,0.0035,0.7283,0.2682
validate,0.1,awgn,10,0.0066,0.7773,0.2162,0.0035,0.3641,0.6323
validate,0.1,awgn,12,0.0066,0.7768,0.2167,0.0035,0.3641,0.6323
validate,0.1,awgn,14,0.0066,0.7773,0.2162,0.0035,0.3641,0.6323
validate,0.1,awgn,16,0.0066,0.7768,0.2167,0.0035,0.3641,0.6323
validate,0.1,awgn,18,0.0066,0.7768,0.2167,0.0035,0.3641,0.6323
validate,0.1,awgn,20,0.0066,0.7763,0.2172,0.0035,0.3641,0.6323
validate,0.1,rayleigh,0,0.0136,0.9864,0.0,0.0162,0.9838,0.0
validate,0.1,rayleigh,2,0.0136,0.9864,0.0,0.0162,0.9838,0.0
validate,0.1,rayleigh,4,0.0136,0.9864,0.0,0.0162,0.9838,0.0
validate,0.1,rayleigh,6,0.0136,0.9864,0.0,0.0162,0.9838,0.0
validate,0.1,rayleigh,8,0.0131,0.9869,0.0,0.0162,0.9838,0.0
validate,0.1,rayleigh,10,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.1,rayleigh,12,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.1,rayleigh,14,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.1,rayleigh,16,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.1,rayleigh,18,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.1,rayleigh,20,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.2,awgn,0,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.2,awgn,2,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.2,awgn,4,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.2,awgn,6,0.0116,0.9884,0.0,0.0162,0.9838,0.0
validate,0.2,awgn,8,0.0091,0.9636,0.0273,0.0035,0.7283,0.2682
validate,0.2,awgn,10,0.0066,0.5217,0.4717,0.0035,0.3641,0.6323
validate,0.2,awgn,12,0.0066,0.5172,0.4763,0.0035,0.3641,0.6323
validate,0.2,awgn,14,0.0066,0.5167,0.4768,0.0035,0.3641,0.6323
validate,0.2,awgn,16,0.0066,0.5177,0.4758,0.0035,0.3641,0.6323
validate,0.2,awgn,18,0.0066,0.5177,0.4758,0.0035,0.3641,0.6323
validate,0.2,awgn,20,0.0066,0.5177,0.4758,0.0035,0.3641,0.6323
validate,0.2,rayleigh,0,0.0141,0.9859,0.0,0.0162,0.9838,0.0
validate,0.2,rayleigh,2,0.0141,0.9859,0.0,0.0162,0.9838,0.0
validate,0.2,rayleigh,4,0.0141,0.9859,0.0,0.0162,0.9838,0.0
validate,0.2,rayleigh,6,0.0141,0.9859,0.0,0.0162,0.9838,0.0
validate,0.2,rayleigh,8,0.0136,0.9864,0.0,0.0162,0.9838,0.0
validate,0.2,rayleigh,10,0.0136,0.9864,0.0,0.0162,0.9838,0.0
validate,0.2,rayleigh,12,0.0136,0.9864,0.0,0.0162,0.9838,0.0
validate,0.2,rayleigh,14,0.0136,0.9864,0.0,0.0162,0.9838,0.0
validate,0.2,rayleigh,16,0.0136,0.9864,0.0,0.0162,0.9838,0.0
validate,0.2,rayleigh,18,0.0136,0.9864,0.0,0.0162,0.9838,0.0
validate,0.2,rayleigh,20,0.0136,0.9864,0.0,0.0162,0.9838,0.0
validate,0.3,awgn,0,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,awgn,2,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,awgn,4,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,awgn,6,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,awgn,8,0.0035,0.7389,0.2576,0.0035,0.7283,0.2682
validate,0.3,awgn,10,0.0035,0.3641,0.6323,0.0035,0.3641,0.6323
validate,0.3,awgn,12,0.0035,0.3641,0.6323,0.0035,0.3641,0.6323
validate,0.3,awgn,14,0.0035,0.3641,0.6323,0.0035,0.3641,0.6323
validate,0.3,awgn,16,0.0035,0.3641,0.6323,0.0035,0.3641,0.6323
validate,0.3,awgn,18,0.0035,0.3641,0.6323,0.0035,0.3641,0.6323
validate,0.3,awgn,20,0.0035,0.3641,0.6323,0.0035,0.3641,0.6323
validate,0.3,rayleigh,0,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,rayleigh,2,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,rayleigh,4,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,rayleigh,6,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,rayleigh,8,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,rayleigh,10,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,rayleigh,12,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,rayleigh,14,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,rayleigh,16,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,rayleigh,18,0.0162,0.9838,0.0,0.0162,0.9838,0.0
validate,0.3,rayleigh,20,0.0162,0.9838,0.0,0.0162,0.9838,0.0
test,0.1,awgn,0,0.0005,0.9995,0.0,0.1567,0.8433,0.0
test,0.1,awgn,2,0.0005,0.9995,0.0,0.1567,0.8433,0.0
test,0.1,awgn,4,0.0005,0.9995,0.0,0.1567,0.8433,0.0
test,0.1,awgn,6,0.0005,0.9995,0.0,0.1567,0.8433,0.0
