realisation,F1_RL,F1_RF,F1_tau,B_RL,B_RF,B_tau,dF_RL_RF,dB_RL_RF,dF_RL_tau,dB_RL_tau
0,0.8389458584196212,0.8577655855448767,0.8614724650849038,0.033676363636363636,0.16626545454545455,0.2979927272727273,-0.01881972712525548,-0.1325890909090909,-0.02252660666528261,-0.2643163636363637
1,0.8392872389075162,0.8597076848762526,0.863971954042489,0.04583999999999999,0.20139272727272725,0.34190181818181814,-0.020420445968736378,-0.15555272727272726,-0.024684715134972834,-0.29606181818181815
2,0.8398869418277612,0.8605785266503244,0.8641392333133042,0.04241454545454544,0.2066618181818182,0.3419018181818182,-0.02069158482256317,-0.16424727272727274,-0.024252291485542976,-0.29948727272727277
3,0.840713350968807,0.8603839825238482,0.8638956963477002,0.04105090909090909,0.20314909090909092,0.33663272727272725,-0.01967063155504123,-0.16209818181818184,-0.0231823453788933,-0.29558181818181817
4,0.8393873517665619,0.8586723142085799,0.8631622905628132,0.03907636363636363,0.17680363636363639,0.31204363636363636,-0.01928496244201805,-0.13772727272727275,-0.023774938796251366,-0.2729672727272727
5,0.8369676805198593,0.8562789429031701,0.8597872908831575,0.027796363636363633,0.16099636363636363,0.30677454545454547,-0.019311262383310823,-0.13319999999999999,-0.02281961036329827,-0.27897818181818185
6,0.838323129396678,0.8597422801164563,0.8638433926889781,0.029814545454545448,0.1750472727272727,0.30677454545454547,-0.02141915071977829,-0.14523272727272724,-0.02552026329230017,-0.27696000000000004
7,0.8381822742577628,0.8580180498097486,0.8602421969921054,0.04377818181818182,0.18031636363636364,0.3120436363636364,-0.01983577555198579,-0.1365381818181818,-0.02205992273434254,-0.2682654545454546
8,0.8403731418445425,0.8598195879187925,0.8643878195221483,0.040701818181818186,0.19788,0.3366327272727273,-0.019446446074250057,-0.15717818181818183,-0.02401467767760579,-0.29593090909090913
9,0.8386220635533318,0.8574766129292091,0.8615839698163184,0.036709090909090906,0.1680218181818182,0.3015054545454546,-0.018854549375877272,-0.13131272727272728,-0.022961906262986553,-0.26479636363636366
10,0.8382679611015095,0.8592952015453027,0.8623843891896298,0.03666545454545454,0.1873418181818182,0.30677454545454547,-0.021027240443793227,-0.15067636363636366,-0.024116428088120312,-0.2701090909090909
11,0.8386132943306407,0.8614163057311094,0.8654812344341144,0.040309090909090906,0.18558545454545455,0.3208254545454546,-0.022803011400468698,-0.14527636363636365,-0.02686794010347371,-0.2805163636363637
12,0.8397194457246947,0.8611296739869656,0.8641540294630423,0.0529090909090909,0.1890981818181818,0.3085309090909091,-0.021410228262270903,-0.1361890909090909,-0.024434583738347615,-0.2556218181818182
13,0.8388490306144407,0.860802734614834,0.8643296435733689,0.03864,0.19085454545454547,0.30326181818181813,-0.021953704000393315,-0.15221454545454546,-0.025480612958928228,-0.2646218181818181
14,0.8387212247059459,0.8576082821377705,0.8608179993849615,0.03675272727272727,0.1645090909090909,0.27516,-0.018887057431824616,-0.12775636363636364,-0.022096774679015607,-0.23840727272727275
15,0.8387902207389779,0.8603698707637358,0.8642500644095829,0.03144,0.17680363636363639,0.31555636363636363,-0.021579650024757924,-0.1453636363636364,-0.025459843670604942,-0.2841163636363636
16,0.8401521612526291,0.8591605870007287,0.863941307889756,0.0423709090909091,0.1732909090909091,0.31731272727272725,-0.019008425748099578,-0.13092,-0.023789146637126835,-0.2749418181818182
17,0.8401509613825157,0.864207850159266,0.8669834522995459,0.05255999999999999,0.20314909090909092,0.3190690909090909,-0.024056888776750385,-0.15058909090909092,-0.026832490917030216,-0.2665090909090909
18,0.8394980504660828,0.858761875757353,0.8627203592689647,0.035170909090909086,0.17504727272727272,0.3225818181818182,-0.01926382529127013,-0.13987636363636363,-0.023222308802881897,-0.2874109090909091
19,0.839286921655147,0.8576317685235613,0.8613475194805501,0.04746545454545453,0.18031636363636364,0.31731272727272725,-0.01834484686841431,-0.1328509090909091,-0.02206059782540315,-0.2698472727272727
