realisation,F1_RL,F1_RF,F1_tau,B_RL,B_RF,B_tau,dF_RL_RF,dB_RL_RF,dF_RL_tau,dB_RL_tau
0,0.8571329217232445,0.8656445141874927,0.8622576002301059,0.05303030303030303,0.20906666666666668,0.32111818181818186,-0.008511592464248152,-0.15603636363636364,-0.00512467850686138,-0.2680878787878788
1,0.8567085478369537,0.8655704216477469,0.8624189351152303,0.050090909090909096,0.19935757575757576,0.31477575757575754,-0.008861873810793175,-0.14926666666666666,-0.005710387278276552,-0.26468484848484847
2,0.8572679775834737,0.8656310955500033,0.8621906368521739,0.0506030303030303,0.19497878787878786,0.3128242424242424,-0.008363117966529554,-0.14437575757575755,-0.004922659268700169,-0.2622212121212121
3,0.8566379566976152,0.8652826586917448,0.8622675560563857,0.046663636363636365,0.20862727272727274,0.3025787878787879,-0.008644701994129589,-0.16196363636363637,-0.0056295993587704984,-0.25591515151515154
4,0.8573121328362839,0.8659496378126719,0.8625589567163773,0.05893333333333334,0.20227272727272727,0.323069696969697,-0.008637504976387933,-0.14333939393939393,-0.005246823880093343,-0.26413636363636367
5,0.8568325304379418,0.865707316395427,0.8621997875113082,0.052542424242424245,0.20423636363636366,0.31965454545454547,-0.008874785957485143,-0.1516939393939394,-0.005367257073366383,-0.26711212121212125
6,0.8572350174724809,0.865656192726229,0.8623131853608551,0.052554545454545465,0.19790606060606064,0.3084333333333334,-0.008421175253748081,-0.14535151515151518,-0.00507816788837423,-0.2558787878787879
7,0.8572102302635142,0.8658803209659413,0.8625133214863979,0.04715151515151516,0.20420000000000002,0.3147757575757576,-0.00867009070242708,-0.15704848484848485,-0.005303091222883749,-0.26762424242424243
8,0.8571994211644205,0.8649089024890881,0.861659408076124,0.05495757575757576,0.19296666666666665,0.3006272727272727,-0.007709481324667644,-0.1380090909090909,-0.004459986911703462,-0.24566969696969693
9,0.857462186964295,0.8663794171522053,0.8633741186728935,0.05450606060606062,0.2061757575757576,0.3118484848484849,-0.008917230187910352,-0.15166969696969698,-0.005911931708598495,-0.25734242424242426
10,0.8574857310939823,0.8667327461662852,0.8638819268086915,0.057481818181818176,0.21353030303030307,0.3216060606060607,-0.009247015072302855,-0.15604848484848488,-0.006396195714709174,-0.2641242424242425
11,0.8570444195387421,0.8659724309613721,0.8627697440942054,0.05301818181818182,0.20523636363636363,0.31623939393939393,-0.00892801142263,-0.1522181818181818,-0.005725324555463263,-0.26322121212121213
12,0.856732172226634,0.8657517101080193,0.8619178899539873,0.0466878787878788,0.2100666666666667,0.3367303030303031,-0.00901953788138532,-0.1633787878787879,-0.005185717727353323,-0.2900424242424243
13,0.8573223352999056,0.8663338972783331,0.8631928705883508,0.05501818181818182,0.20862727272727272,0.31623939393939393,-0.009011561978427451,-0.1536090909090909,-0.005870535288445167,-0.26122121212121213
14,0.8571232185446916,0.8660822829759701,0.8624681874851508,0.052078787878787884,0.1997969696969697,0.31526363636363636,-0.008959064431278474,-0.1477181818181818,-0.005344968940459105,-0.26318484848484847
15,0.8573399532563284,0.8656895853046437,0.8626123274309645,0.05305454545454546,0.19984545454545455,0.30843333333333334,-0.008349632048315292,-0.14679090909090908,-0.0052723741746361075,-0.25537878787878787
16,0.85733992216277,0.8669962408322163,0.8636829152114274,0.048627272727272734,0.22232424242424242,0.32599696969696973,-0.009656318669446273,-0.17369696969696968,-0.006342993048657375,-0.277369696969697
17,0.8574611264082042,0.8664732185602895,0.863592481081057,0.05351818181818182,0.20178484848484848,0.3157515151515152,-0.009012092152085316,-0.14826666666666666,-0.006131354672852862,-0.26223333333333343
18,0.8570101010991622,0.8656813931187967,0.8626914683680357,0.047175757575757586,0.19551515151515153,0.3059939393939395,-0.008671292019634458,-0.14833939393939394,-0.005681367268873472,-0.2588181818181819
19,0.8573205215451195,0.8665161550206885,0.8631102978902988,0.050566666666666676,0.2100909090909091,0.3181909090909091,-0.009195633475568954,-0.15952424242424243,-0.005789776345179298,-0.26762424242424243
20,0.8570200219015905,0.8659624285222064,0.8627146251095118,0.04866363636363637,0.20421212121212123,0.31233636363636363,-0.00894240662061585,-0.15554848484848488,-0.005694603207921256,-0.2636727272727273
21,0.8572330593891677,0.8661393007417864,0.8625604388523627,0.04960303030303031,0.2090787878787879,0.3274606060606061,-0.008906241352618638,-0.15947575757575758,-0.005327379463194948,-0.2778575757575758
22,0.8574959653626046,0.8661287296629037,0.8628624761285377,0.0554939393939394,0.2114939393939394,0.3147757575757576,-0.008632764300299023,-0.156,-0.005366510765933086,-0.25928181818181817
23,0.8571026900279025,0.8651155492491531,0.86189179694592,0.05205454545454546,0.1969060606060606,0.30745757575757576,-0.008012859221250612,-0.14485151515151515,-0.004789106918017483,-0.2554030303030303
24,0.8571094807340545,0.8659472248769364,0.8628053912141732,0.048115151515151514,0.20815151515151517,0.31038484848484854,-0.008837744142881965,-0.16003636363636364,-0.005695910480118749,-0.26226969696969704
25,0.857223749338231,0.8663265273541053,0.8632221022502168,0.052542424242424245,0.21300606060606062,0.3303878787878788,-0.009102778015874335,-0.16046363636363636,-0.005998352911985805,-0.27784545454545456
26,0.8570201163303072,0.8666480788256861,0.8637654825417226,0.04621212121212121,0.20223636363636363,0.3172151515151515,-0.009627962495378894,-0.15602424242424243,-0.006745366211415416,-0.2710030303030303
27,0.8575830518272142,0.8663239626265198,0.8628039236474617,0.056969696969696976,0.2090787878787879,0.3299,-0.008740910799305612,-0.15210909090909092,-0.005220871820247552,-0.2729303030303031
28,0.857447229992506,0.8663354321831941,0.8630396268801505,0.054018181818181826,0.20913939393939393,0.3191666666666667,-0.008888202190688088,-0.1551212121212121,-0.005592396887644457,-0.26514848484848486
29,0.8570406269443067,0.8648344272203617,0.8614389560177936,0.05156666666666667,0.19643030303030304,0.3157515151515152,-0.0077938002760550296,-0.14486363636363636,-0.004398329073486917,-0.2641848484848486
30,0.8572963374184192,0.8655685939895384,0.862210838460193,0.05205454545454546,0.20470000000000002,0.3138,-0.008272256571119296,-0.15264545454545456,-0.004914501041773822,-0.26174545454545456
31,0.8573220048984727,0.8654100270010795,0.8621440796139449,0.05498181818181819,0.20236969696969698,0.3055060606060606,-0.00808802210260684,-0.1473878787878788,-0.0048220747154722465,-0.2505242424242424
32,0.8571974223968053,0.865846701797667,0.862972303076078,0.054993939393939394,0.20323636363636363,0.31867878787878784,-0.008649279400861687,-0.14824242424242423,-0.005774880679272676,-0.26368484848484847
33,0.857042386657997,0.8659600590761511,0.8625957977610252,0.050590909090909096,0.20420000000000002,0.3201424242424243,-0.00891767241815411,-0.15360909090909092,-0.005553411103028205,-0.2695515151515152
