rank,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,frame_weighted_f1,scene_mean_f1,frame_weighted_payload,attempted,frozen_validate_f1,frozen_validate_payload,budget_passed
0,1,400,10.0,2,sqrt,,0.02,0.860559,0.880697,0.188792,1,0.8646,0.150158,1
1,29,400,10.0,4,sqrt,,0.02,0.860244,0.880485,0.182605,0,,,
2,49,400,10.0,4,0.5,balanced,0.0,0.858141,0.884366,0.186788,0,,,
3,21,400,10.0,2,0.5,balanced,0.0,0.857911,0.884151,0.181916,0,,,
4,105,400,,4,0.5,balanced,0.0,0.857306,0.88053,0.103318,0,,,
5,8,400,10.0,2,sqrt,balanced,0.02,0.85727,0.882922,0.150316,0,,,
6,36,400,10.0,4,sqrt,balanced,0.02,0.85692,0.88249,0.137654,0,,,
7,22,400,10.0,2,0.5,balanced,0.02,0.856902,0.883899,0.157011,0,,,
8,7,400,10.0,2,sqrt,balanced,0.0,0.856724,0.88287,0.167658,0,,,
9,35,400,10.0,4,sqrt,balanced,0.0,0.856715,0.883135,0.169233,0,,,
10,58,400,,2,sqrt,,0.05,0.856679,0.878696,0.069727,0,,,
11,77,400,,2,0.5,balanced,0.0,0.856556,0.879853,0.081133,0,,,
12,63,400,,2,sqrt,balanced,0.0,0.856078,0.879536,0.102437,0,,,
13,50,400,10.0,4,0.5,balanced,0.02,0.856029,0.883591,0.153548,0,,,
14,78,400,,2,0.5,balanced,0.02,0.855844,0.879152,0.059992,0,,,
15,106,400,,4,0.5,balanced,0.02,0.85565,0.879485,0.056865,0,,,
16,64,400,,2,sqrt,balanced,0.02,0.855633,0.879273,0.076824,0,,,
17,91,400,,4,sqrt,balanced,0.0,0.855602,0.879826,0.095319,0,,,
18,92,400,,4,sqrt,balanced,0.02,0.855511,0.879396,0.088267,0,,,
19,2,400,10.0,2,sqrt,,0.05,0.855498,0.878322,0.03276,0,,,
20,9,400,10.0,2,sqrt,balanced,0.05,0.855416,0.879412,0.047906,0,,,
21,65,400,,2,sqrt,balanced,0.05,0.855392,0.878323,0.0242,0,,,
22,80,400,,2,0.5,balanced,0.1,0.855388,0.878298,0.024133,0,,,
23,108,400,,4,0.5,balanced,0.1,0.855386,0.878298,0.024266,0,,,
24,93,400,,4,sqrt,balanced,0.05,0.855386,0.878303,0.024044,0,,,
25,11,400,10.0,2,sqrt,balanced,0.2,0.855384,0.878297,0.024,0,,,
26,12,400,10.0,2,sqrt,balanced,0.35,0.855384,0.878297,0.024,0,,,
27,25,400,10.0,2,0.5,balanced,0.2,0.855384,0.878297,0.024,0,,,
28,39,400,10.0,4,sqrt,balanced,0.2,0.855384,0.878297,0.024,0,,,
29,40,400,10.0,4,sqrt,balanced,0.35,0.855384,0.878297,0.024,0,,,
30,60,400,,2,sqrt,,0.2,0.855384,0.878297,0.024,0,,,
31,66,400,,2,sqrt,balanced,0.1,0.855384,0.878297,0.024,0,,,
32,67,400,,2,sqrt,balanced,0.2,0.855384,0.878297,0.024,0,,,
33,68,400,,2,sqrt,balanced,0.35,0.855384,0.878297,0.024,0,,,
34,69,400,,2,sqrt,balanced,0.5,0.855384,0.878297,0.024,0,,,
35,81,400,,2,0.5,balanced,0.2,0.855384,0.878297,0.024,0,,,
36,82,400,,2,0.5,balanced,0.35,0.855384,0.878297,0.024,0,,,
37,83,400,,2,0.5,balanced,0.5,0.855384,0.878297,0.024,0,,,
38,94,400,,4,sqrt,balanced,0.1,0.855384,0.878297,0.024,0,,,
39,95,400,,4,sqrt,balanced,0.2,0.855384,0.878297,0.024,0,,,
40,96,400,,4,sqrt,balanced,0.35,0.855384,0.878297,0.024,0,,,
41,97,400,,4,sqrt,balanced,0.5,0.855384,0.878297,0.024,0,,,
