fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,n_frames,realised_f1,realised_payload
2021_08_20_21_48_35,0,400,10.0,2,sqrt,,0.0,112,0.860913,0.114562
2021_08_21_17_30_41,0,400,10.0,2,sqrt,,0.0,157,0.883914,0.068468
2021_08_22_13_37_16,0,400,10.0,2,sqrt,,0.0,135,0.972179,0.061079
2021_08_22_22_01_17,0,400,10.0,2,sqrt,,0.0,202,0.987058,0.090733
2021_08_23_10_51_24,0,400,10.0,2,sqrt,,0.0,64,0.890311,0.102213
2021_08_23_13_17_21,0,400,10.0,2,sqrt,,0.0,48,0.919635,0.073398
2021_08_23_19_42_07,0,400,10.0,2,sqrt,,0.0,57,0.813728,0.215813
2021_09_09_19_27_35,0,400,10.0,2,sqrt,,0.0,459,0.743799,0.282767
2021_09_11_00_33_16,0,400,10.0,2,sqrt,,0.0,746,0.872531,0.311587
2021_08_20_21_48_35,1,400,10.0,2,sqrt,,0.02,112,0.856695,0.073398
2021_08_21_17_30_41,1,400,10.0,2,sqrt,,0.02,157,0.882947,0.029034
2021_08_22_13_37_16,1,400,10.0,2,sqrt,,0.02,135,0.972067,0.050996
2021_08_22_22_01_17,1,400,10.0,2,sqrt,,0.02,202,0.98737,0.05291
2021_08_23_10_51_24,1,400,10.0,2,sqrt,,0.02,64,0.889459,0.085747
2021_08_23_13_17_21,1,400,10.0,2,sqrt,,0.02,48,0.919464,0.051443
2021_08_23_19_42_07,1,400,10.0,2,sqrt,,0.02,57,0.802643,0.067909
2021_09_09_19_27_35,1,400,10.0,2,sqrt,,0.02,459,0.743602,0.27808
2021_09_11_00_33_16,1,400,10.0,2,sqrt,,0.02,746,0.872029,0.273446
2021_08_20_21_48_35,2,400,10.0,2,sqrt,,0.05,112,0.854261,0.024
2021_08_21_17_30_41,2,400,10.0,2,sqrt,,0.05,157,0.882277,0.024
2021_08_22_13_37_16,2,400,10.0,2,sqrt,,0.05,135,0.971686,0.024
2021_08_22_22_01_17,2,400,10.0,2,sqrt,,0.05,202,0.98737,0.024
2021_08_23_10_51_24,2,400,10.0,2,sqrt,,0.05,64,0.886513,0.024
2021_08_23_13_17_21,2,400,10.0,2,sqrt,,0.05,48,0.91825,0.024
2021_08_23_19_42_07,2,400,10.0,2,sqrt,,0.05,57,0.800953,0.024
2021_09_09_19_27_35,2,400,10.0,2,sqrt,,0.05,459,0.744523,0.037775
2021_09_11_00_33_16,2,400,10.0,2,sqrt,,0.05,746,0.859063,0.038774
