split,budget,cls,precision,recall,f1,support,rf_vs_oracle_acc,confusion_row
validate,0.1,E,0.8151,0.7164,0.7626,529,0.8706,379|150|0
validate,0.1,L,0.8631,0.9996,0.9263,34988,0.8706,15|34973|0
validate,0.1,F,1.0,0.3199,0.4847,8043,0.8706,71|5399|2573
validate,0.2,E,0.8589,0.794,0.8251,529,0.942,420|109|0
validate,0.2,L,0.9351,0.9987,0.9658,34988,0.942,15|34943|30
validate,0.2,F,0.9947,0.7051,0.8252,8043,0.942,54|2318|5671
validate,0.3,E,1.0,1.0,1.0,529,0.9995,529|0|0
validate,0.3,L,0.9994,1.0,0.9997,34988,0.9995,0|34988|0
validate,0.3,F,1.0,0.9974,0.9987,8043,0.9995,0|21|8022
test,0.1,E,0.9545,0.0037,0.0073,5696,0.7271,21|5675|0
test,0.1,L,0.7266,0.9957,0.8401,34370,0.7271,0|34221|149
test,0.1,F,0.7593,0.0612,0.1133,7674,0.7271,1|7203|470
test,0.2,E,1.0,0.0102,0.0202,5696,0.763,58|5327|311
test,0.2,L,0.7788,0.9495,0.8557,34370,0.763,0|32635|1735
test,0.2,F,0.6458,0.4862,0.5548,7674,0.763,0|3943|3731
test,0.3,E,1.0,0.0088,0.0174,5696,0.7599,50|5188|458
test,0.3,L,0.8034,0.9001,0.849,34370,0.7599,0|30937|3433
test,0.3,F,0.5763,0.6896,0.6279,7674,0.7599,0|2382|5292
culver,0.1,E,0.0,0.0,0.0,1095,0.6574,0|1095|0
culver,0.1,L,0.6573,1.0,0.7932,7949,0.6574,0|7949|0
culver,0.1,F,1.0,0.002,0.0039,3056,0.6574,0|3050|6
culver,0.2,E,0.0,0.0,0.0,1095,0.6961,0|1095|0
culver,0.2,L,0.6847,0.9962,0.8116,7949,0.6961,0|7919|30
culver,0.2,F,0.9438,0.1649,0.2808,3056,0.6961,0|2552|504
culver,0.3,E,0.0,0.0,0.0,1095,0.7902,0|1095|0
culver,0.3,L,0.7668,0.9781,0.8597,7949,0.7902,0|7775|174
culver,0.3,F,0.9113,0.5848,0.7124,3056,0.7902,0|1269|1787
