split,budget,e_class,clairvoyant_E_cells,missed_by_rf,F1_cost_sum,F1_cost_per_framereal,payload_extra_sum,payload_extra_per_framereal
validate,0.1,strict,4146,1238,12.36,3.121e-05,29.71,7.5e-05
validate,0.1,tie,597,96,2.0779,5.25e-06,2.3,6e-06
validate,0.1,cost-induced,1052,247,2.3844,6.02e-06,8.83,2.2e-05
validate,0.2,strict,4146,987,9.05,2.285e-05,23.69,6e-05
validate,0.2,tie,597,0,0.0,0.0,0.0,0.0
validate,0.2,cost-induced,772,121,-0.8351,-2.11e-06,77.29,0.000195
validate,0.3,strict,4146,1,-0.0,-0.0,0.99,2e-06
validate,0.3,tie,594,0,0.0,0.0,0.0,0.0
validate,0.3,cost-induced,0,0,0.0,0.0,0.0,0.0
test,0.1,strict,18048,18048,824.7137,0.00190026,433.15,0.000998
test,0.1,tie,33568,33389,38.3622,8.839e-05,801.34,0.001846
test,0.1,cost-induced,4301,4297,85.2187,0.00019636,103.13,0.000238
test,0.2,strict,18048,18048,839.0875,0.00193338,886.21,0.002042
test,0.2,tie,33568,33067,145.7194,0.00033576,3144.85,0.007246
test,0.2,cost-induced,1692,1692,23.3208,5.373e-05,515.88,0.001189
test,0.3,strict,18048,18048,842.1737,0.00194049,1260.05,0.002903
test,0.3,tie,33394,32953,188.3546,0.000434,4049.19,0.00933
test,0.3,cost-induced,0,0,0.0,0.0,0.0,0.0
culver,0.1,strict,135,135,2.8636,2.603e-05,3.24,2.9e-05
culver,0.1,tie,9699,9699,0.0,0.0,232.78,0.002116
culver,0.1,cost-induced,1035,1035,1.3788,1.253e-05,24.84,0.000226
culver,0.2,strict,135,135,2.8636,2.603e-05,3.24,2.9e-05
culver,0.2,tie,9699,9699,0.0,0.0,232.78,0.002116
culver,0.2,cost-induced,276,276,0.0848,7.7e-07,6.62,6e-05
culver,0.3,strict,135,135,2.8636,2.603e-05,3.24,2.9e-05
culver,0.3,tie,9699,9699,0.0,0.0,232.78,0.002116
culver,0.3,cost-induced,0,0,0.0,0.0,0.0,0.0
