realisation,F1_RF,F1_tau,B_RF,B_tau,dF,dB
0,0.86446937692179,0.8607812180144612,0.15838787878787883,0.21036969696969698,0.0036881589073288756,-0.05198181818181816
1,0.8638981627635491,0.8602499051569492,0.1456909090909091,0.21378484848484847,0.003648257606599925,-0.06809393939393937
2,0.8641627098563155,0.8608428429754645,0.1466909090909091,0.22207878787878788,0.0033198668808509524,-0.07538787878787878
3,0.8639650013235329,0.8612095221048345,0.15250909090909093,0.21720000000000003,0.0027554792186984534,-0.0646909090909091
4,0.8646577076094113,0.8615862207364298,0.15347272727272726,0.23086060606060607,0.0030714868729815326,-0.07738787878787881
5,0.8639440799735743,0.8605055167320269,0.1486060606060606,0.2147606060606061,0.0034385632415473433,-0.0661545454545455
6,0.8643946832219457,0.8609707291043658,0.150569696969697,0.21183333333333332,0.003423954117579897,-0.061263636363636326
7,0.8643274674457021,0.8613532399456628,0.15347272727272726,0.21622424242424243,0.0029742275000392837,-0.06275151515151517
8,0.863446658800357,0.860834219403331,0.1412878787878788,0.21768787878787882,0.002612439397025934,-0.07640000000000002
9,0.8642848609426256,0.8617974833138673,0.14619090909090907,0.20793030303030302,0.0024873776287582805,-0.061739393939393955
10,0.8654284204139123,0.862423768583127,0.16764545454545454,0.22500606060606063,0.0030046518307853542,-0.057360606060606084
11,0.8644114398771283,0.8609369475912585,0.14765454545454545,0.21866363636363637,0.0034744922858698235,-0.07100909090909091
12,0.8637703215448346,0.8607471356100207,0.1462030303030303,0.23525151515151516,0.0030231859348138768,-0.08904848484848485
13,0.8649721786310325,0.8616104658675924,0.15399696969696972,0.2250060606060606,0.0033617127634401056,-0.07100909090909088
14,0.8645170007615186,0.8611605897770119,0.1491060606060606,0.2162242424242424,0.0033564109845066747,-0.0671181818181818
15,0.8643778956766216,0.8617907937030735,0.14766666666666667,0.21476060606060607,0.002587101973548056,-0.0670939393939394
16,0.8656816261757779,0.862556647417236,0.16965757575757576,0.22256666666666666,0.0031249787585418964,-0.052909090909090906
17,0.8650384037714877,0.8616103079327208,0.15205757575757575,0.21622424242424243,0.003428095838766909,-0.06416666666666668
18,0.8644342536353673,0.8612315695276107,0.14766666666666667,0.20793030303030302,0.0032026841077565926,-0.06026363636363635
19,0.8650379164546899,0.8618226494533149,0.15788787878787883,0.22256666666666666,0.0032152670013749773,-0.06467878787878784
20,0.8642721605990541,0.8606670022609981,0.1491060606060606,0.2176878787878788,0.0036051583380559693,-0.06858181818181819
21,0.8651614935365031,0.8613272052558512,0.1642545454545455,0.2211030303030303,0.0038342882806519096,-0.056848484848484815
22,0.8649495507699575,0.8618238867592847,0.16225454545454546,0.22207878787878788,0.003125664010672824,-0.05982424242424242
23,0.8635873543008512,0.8604297732271863,0.14473939393939397,0.21232121212121216,0.003157581073664928,-0.06758181818181819
24,0.8646082121914767,0.8615213780901533,0.15742424242424244,0.21768787878787882,0.003086834101323377,-0.06026363636363638
25,0.8647509424662378,0.8615487293849293,0.15742424242424244,0.2284212121212121,0.0032022130813085248,-0.07099696969696967
26,0.8656082351327263,0.8618090735828121,0.16421818181818185,0.21720000000000003,0.0037991615499142206,-0.052981818181818185
27,0.8649184542328083,0.8612701382652945,0.15693636363636365,0.22451818181818184,0.0036483159675138044,-0.06758181818181819
28,0.8647623053288658,0.8614243451303756,0.15840000000000004,0.22061515151515151,0.0033379601984901974,-0.06221515151515147
29,0.8637355825186512,0.8599991323839035,0.14281212121212122,0.2137848484848485,0.0037364501347477708,-0.07097272727272727
30,0.8640960690180255,0.8612618689509057,0.14763030303030303,0.21378484848484847,0.002834200067119763,-0.06615454545454544
31,0.8635314952774638,0.8606439310084784,0.14134848484848486,0.21232121212121213,0.0028875642689853986,-0.07097272727272727
32,0.8643400741300307,0.8615273988116318,0.1500818181818182,0.2215909090909091,0.002812675318398905,-0.07150909090909088
33,0.8647117023109724,0.8613033876180143,0.15596060606060608,0.2215909090909091,0.003408314692958103,-0.06563030303030301
34,0.8645434315445241,0.8613620071771619,0.15696060606060608,0.2211030303030303,0.003181424367362129,-0.06414242424242422
35,0.8643167932395416,0.860810859501319,0.15255757575757578,0.21524848484848486,0.003505933738222611,-0.06269090909090907
36,0.8637810247982642,0.8603994160491892,0.13931212121212122,0.21671212121212122,0.0033816087490750046,-0.0774
37,0.8641077787507818,0.860864640162229,0.1481060606060606,0.20890606060606062,0.003243138588552852,-0.06080000000000002
38,0.8646992642801801,0.8614309395033636,0.15493636363636365,0.21963939393939394,0.003268324776816489,-0.06470303030303029
39,0.8641581480727393,0.8602709150463792,0.1515939393939394,0.22500606060606063,0.0038872330263600707,-0.07341212121212123
40,0.8634772440747202,0.8606072042386899,0.14373939393939397,0.2142727272727273,0.0028700398360302914,-0.07053333333333334
41,0.8638967741221336,0.8606694612985019,0.14131212121212122,0.20256363636363636,0.003227312823631756,-0.06125151515151514
42,0.8643414625716828,0.860981612666913,0.15299696969696971,0.2093939393939394,0.003359849904769785,-0.056396969696969695
43,0.865379078830818,0.862419284567159,0.16277878787878788,0.2284212121212121,0.002959794263658999,-0.06564242424242422
44,0.8644928960687142,0.86051872602591,0.1510818181818182,0.19963636363636364,0.003974170042804204,-0.048554545454545434
45,0.864782839844301,0.8608904284522283,0.15744848484848484,0.2098818181818182,0.0038924113920727477,-0.05243333333333336
46,0.8639314749136046,0.860477358168265,0.14323939393939394,0.21524848484848486,0.003454116745339575,-0.07200909090909091
47,0.8640784760428416,0.8612007807705061,0.14667878787878788,0.22012727272727273,0.002877695272335501,-0.07344848484848485
48,0.865096070421559,0.8622325241991573,0.15789999999999998,0.22061515151515151,0.0028635462224017028,-0.06271515151515153
49,0.8643629182737566,0.8610014091529843,0.14425151515151519,0.2006121212121212,0.003361509120772266,-0.05636060606060603
50,0.8643550011860419,0.8616424962277525,0.15402121212121214,0.23281212121212125,0.0027125049582894523,-0.0787909090909091
