split,budget,variant,label,n_features,F1,F1_std,payload,rho_E,rho_L,rho_F,over_budget,dF_vs_combined_mean,dF_vs_combined_lcb95,dF_vs_combined_ucb95,dB_vs_combined_mean,dB_vs_combined_lcb95,dB_vs_combined_ucb95
validate,0.1,channel_only,"labeled variant, not deployed",2,0.85538,0.0,0.024,0.0,1.0,0.0,False,-0.00562,-0.00568,-0.00556,-0.05702,-0.05762,-0.0564
validate,0.1,task_only,"labeled variant, not deployed",21,0.85585,0.0,0.02365,0.0146,0.9854,0.0,False,-0.00515,-0.00521,-0.0051,-0.05737,-0.05797,-0.05675
validate,0.1,combined,deployed (reference),23,0.86101,0.00041,0.08102,0.0107,0.93,0.0593,False,,,,,,
validate,0.1,tau_reference,tau rule (reference),,0.85683,0.00027,0.07215,0.0,0.9502,0.0498,False,-0.00418,-0.00424,-0.00412,-0.00887,-0.00973,-0.00804
validate,0.2,channel_only,"labeled variant, not deployed",2,0.85538,0.0,0.024,0.0,1.0,0.0,False,-0.00902,-0.00909,-0.00894,-0.12706,-0.128,-0.12612
validate,0.2,task_only,"labeled variant, not deployed",21,0.85585,0.0,0.02365,0.0146,0.9854,0.0,False,-0.00855,-0.00862,-0.00848,-0.12741,-0.12835,-0.12647
validate,0.2,combined,deployed (reference),23,0.8644,0.00052,0.15106,0.0112,0.857,0.1318,False,,,,,,
validate,0.2,tau_reference,tau rule (reference),,0.86119,0.0005,0.21663,0.0,0.8006,0.1994,True,-0.00321,-0.00326,-0.00315,0.06557,0.0645,0.06663
validate,0.3,channel_only,"labeled variant, not deployed",2,0.85693,0.00093,0.28752,0.0507,0.6753,0.2741,False,-0.0089,-0.009,-0.00879,0.08392,0.08307,0.08478
validate,0.3,task_only,"labeled variant, not deployed",21,0.85585,0.0,0.02365,0.0146,0.9854,0.0,False,-0.00998,-0.01005,-0.00991,-0.17996,-0.18096,-0.17896
validate,0.3,combined,deployed (reference),23,0.86583,0.00052,0.20361,0.012,0.8018,0.1862,False,,,,,,
validate,0.3,tau_reference,tau rule (reference),,0.86259,0.00061,0.31267,0.0,0.7012,0.2988,True,-0.00324,-0.00328,-0.0032,0.10906,0.10814,0.11
test,0.1,channel_only,"labeled variant, not deployed",2,0.89095,0.0,0.024,0.0,1.0,0.0,False,-0.00053,-0.00055,-0.00051,-0.0128,-0.01307,-0.01252
test,0.1,task_only,"labeled variant, not deployed",21,0.89092,0.0,0.02392,0.0032,0.9968,0.0,False,-0.00056,-0.00059,-0.00054,-0.01287,-0.01315,-0.0126
test,0.1,combined,deployed (reference),23,0.89148,0.00016,0.0368,0.0004,0.9863,0.0133,False,,,,,,
test,0.1,tau_reference,tau rule (reference),,0.89247,0.00042,0.0724,0.0,0.9499,0.0501,False,0.00099,0.00093,0.00105,0.0356,0.0349,0.03628
test,0.2,channel_only,"labeled variant, not deployed",2,0.89095,0.0,0.024,0.0,1.0,0.0,False,-0.00596,-0.00606,-0.00587,-0.11741,-0.1183,-0.11652
test,0.2,task_only,"labeled variant, not deployed",21,0.89092,0.0,0.02392,0.0032,0.9968,0.0,False,-0.006,-0.0061,-0.0059,-0.11748,-0.11838,-0.1166
test,0.2,combined,deployed (reference),23,0.89691,0.0007,0.14141,0.0012,0.8773,0.1216,False,,,,,,
test,0.2,tau_reference,tau rule (reference),,0.89701,0.00073,0.21679,0.0,0.8004,0.1996,True,0.0001,2e-05,0.00018,0.07538,0.07441,0.07639
test,0.3,channel_only,"labeled variant, not deployed",2,0.89529,0.00097,0.28722,0.0506,0.6756,0.2737,False,-0.00255,-0.00263,-0.00246,0.07525,0.07453,0.07597
