fold_scene,candidate_index,n_frames,lambda,realised_f1,realised_payload
2021_08_20_21_48_35,0,112,0.0,0.871837,0.287455
2021_08_21_17_30_41,0,157,0.0,0.893544,0.287455
2021_08_22_13_37_16,0,135,0.0,0.975367,0.287455
2021_08_22_22_01_17,0,202,0.0,0.987151,0.287455
2021_08_23_10_51_24,0,64,0.0,0.894023,0.287455
2021_08_23_13_17_21,0,48,0.0,0.919446,0.287455
2021_08_23_19_42_07,0,57,0.0,0.817163,0.287455
2021_09_09_19_27_35,0,459,0.0,0.743773,0.287455
2021_09_11_00_33_16,0,746,0.0,0.858642,0.024
2021_08_20_21_48_35,1,112,0.02,0.871837,0.287455
2021_08_21_17_30_41,1,157,0.02,0.893544,0.287455
2021_08_22_13_37_16,1,135,0.02,0.975367,0.287455
2021_08_22_22_01_17,1,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,1,64,0.02,0.894023,0.287455
2021_08_23_13_17_21,1,48,0.02,0.919446,0.287455
2021_08_23_19_42_07,1,57,0.02,0.817163,0.287455
2021_09_09_19_27_35,1,459,0.02,0.743773,0.287455
2021_09_11_00_33_16,1,746,0.02,0.858642,0.024
2021_08_20_21_48_35,2,112,0.05,0.854261,0.024
2021_08_21_17_30_41,2,157,0.05,0.882277,0.024
2021_08_22_13_37_16,2,135,0.05,0.971686,0.024
2021_08_22_22_01_17,2,202,0.05,0.98737,0.024
2021_08_23_10_51_24,2,64,0.05,0.886513,0.024
2021_08_23_13_17_21,2,48,0.05,0.91825,0.024
2021_08_23_19_42_07,2,57,0.05,0.800953,0.024
2021_09_09_19_27_35,2,459,0.05,0.744719,0.024
2021_09_11_00_33_16,2,746,0.05,0.858642,0.024
2021_08_20_21_48_35,3,112,0.1,0.854261,0.024
2021_08_21_17_30_41,3,157,0.1,0.882277,0.024
2021_08_22_13_37_16,3,135,0.1,0.971686,0.024
2021_08_22_22_01_17,3,202,0.1,0.98737,0.024
2021_08_23_10_51_24,3,64,0.1,0.886513,0.024
2021_08_23_13_17_21,3,48,0.1,0.91825,0.024
2021_08_23_19_42_07,3,57,0.1,0.800953,0.024
2021_09_09_19_27_35,3,459,0.1,0.744719,0.024
2021_09_11_00_33_16,3,746,0.1,0.858642,0.024
2021_08_20_21_48_35,4,112,0.2,0.854261,0.024
2021_08_21_17_30_41,4,157,0.2,0.882277,0.024
2021_08_22_13_37_16,4,135,0.2,0.971686,0.024
2021_08_22_22_01_17,4,202,0.2,0.98737,0.024
2021_08_23_10_51_24,4,64,0.2,0.886513,0.024
2021_08_23_13_17_21,4,48,0.2,0.91825,0.024
2021_08_23_19_42_07,4,57,0.2,0.800953,0.024
2021_09_09_19_27_35,4,459,0.2,0.744719,0.024
2021_09_11_00_33_16,4,746,0.2,0.858642,0.024
2021_08_20_21_48_35,5,112,0.35,0.854261,0.024
2021_08_21_17_30_41,5,157,0.35,0.882277,0.024
2021_08_22_13_37_16,5,135,0.35,0.971686,0.024
2021_08_22_22_01_17,5,202,0.35,0.98737,0.024
2021_08_23_10_51_24,5,64,0.35,0.886513,0.024
2021_08_23_13_17_21,5,48,0.35,0.91825,0.024
2021_08_23_19_42_07,5,57,0.35,0.800953,0.024
