split,budget,channel,snr_db,rf_E,rf_L,rf_F,or_E,or_L,or_F
validate,0.1,awgn,0,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,awgn,2,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,awgn,4,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,awgn,6,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,awgn,8,0.148,0.851,0.001,0.0424,0.5742,0.3833
validate,0.1,awgn,10,0.1359,0.7662,0.098,0.0429,0.3258,0.6313
validate,0.1,awgn,12,0.1359,0.7662,0.098,0.0429,0.3258,0.6313
validate,0.1,awgn,14,0.1359,0.7662,0.098,0.0429,0.3258,0.6313
validate,0.1,awgn,16,0.1359,0.7662,0.098,0.0429,0.3258,0.6313
validate,0.1,awgn,18,0.1359,0.7662,0.098,0.0429,0.3258,0.6313
validate,0.1,awgn,20,0.1359,0.7662,0.098,0.0429,0.3258,0.6313
validate,0.1,rayleigh,0,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,rayleigh,2,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,rayleigh,4,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,rayleigh,6,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,rayleigh,8,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,rayleigh,10,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,rayleigh,12,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,rayleigh,14,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,rayleigh,16,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,rayleigh,18,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.1,rayleigh,20,0.1485,0.8515,0.0,0.1419,0.8581,0.0
validate,0.2,awgn,0,0.1419,0.8581,0.0,0.1419,0.8581,0.0
validate,0.2,awgn,2,0.1419,0.8581,0.0,0.1419,0.8581,0.0
validate,0.2,awgn,4,0.1419,0.8581,0.0,0.1419,0.8581,0.0
validate,0.2,awgn,6,0.1419,0.8581,0.0,0.1419,0.8581,0.0
