fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,n_frames,realised_f1,realised_payload
2021_08_20_21_48_35,0,400,10.0,2,sqrt,,0.0,112,0.951661,0.076534
2021_08_21_17_30_41,0,400,10.0,2,sqrt,,0.0,157,0.942807,0.181737
2021_08_22_13_37_16,0,400,10.0,2,sqrt,,0.0,135,0.970775,0.023758
2021_08_22_22_01_17,0,400,10.0,2,sqrt,,0.0,202,0.98647,0.033999
2021_08_23_10_51_24,0,400,10.0,2,sqrt,,0.0,64,0.893795,0.101527
2021_08_23_13_17_21,0,400,10.0,2,sqrt,,0.0,48,0.908479,0.029489
2021_08_23_19_42_07,0,400,10.0,2,sqrt,,0.0,57,0.717035,0.147254
2021_09_09_19_27_35,0,400,10.0,2,sqrt,,0.0,459,0.747553,0.289687
2021_09_11_00_33_16,0,400,10.0,2,sqrt,,0.0,746,0.833843,0.002844
2021_08_20_21_48_35,1,400,10.0,2,sqrt,,0.02,112,0.951716,0.060068
2021_08_21_17_30_41,1,400,10.0,2,sqrt,,0.02,157,0.942516,0.109581
2021_08_22_13_37_16,1,400,10.0,2,sqrt,,0.02,135,0.969834,0.022772
2021_08_22_22_01_17,1,400,10.0,2,sqrt,,0.02,202,0.986772,0.024
2021_08_23_10_51_24,1,400,10.0,2,sqrt,,0.02,64,0.89298,0.086433
2021_08_23_13_17_21,1,400,10.0,2,sqrt,,0.02,48,0.907653,0.024
2021_08_23_19_42_07,1,400,10.0,2,sqrt,,0.02,57,0.717775,0.123373
2021_09_09_19_27_35,1,400,10.0,2,sqrt,,0.02,459,0.749359,0.257205
2021_09_11_00_33_16,1,400,10.0,2,sqrt,,0.02,746,0.832883,0.001424
2021_08_20_21_48_35,2,400,10.0,2,sqrt,,0.05,112,0.951807,0.056932
2021_08_21_17_30_41,2,400,10.0,2,sqrt,,0.05,157,0.935202,0.024
2021_08_22_13_37_16,2,400,10.0,2,sqrt,,0.05,135,0.970545,0.023644
2021_08_22_22_01_17,2,400,10.0,2,sqrt,,0.05,202,0.984907,0.023611
2021_08_23_10_51_24,2,400,10.0,2,sqrt,,0.05,64,0.888301,0.024
2021_08_23_13_17_21,2,400,10.0,2,sqrt,,0.05,48,0.907653,0.024
2021_08_23_19_42_07,2,400,10.0,2,sqrt,,0.05,57,0.727259,0.024
2021_09_09_19_27_35,2,400,10.0,2,sqrt,,0.05,459,0.746627,0.163968
2021_09_11_00_33_16,2,400,10.0,2,sqrt,,0.05,746,0.831237,0.001259
2021_08_20_21_48_35,3,400,10.0,2,sqrt,,0.1,112,0.94998,0.024
2021_08_21_17_30_41,3,400,10.0,2,sqrt,,0.1,157,0.935202,0.024
2021_08_22_13_37_16,3,400,10.0,2,sqrt,,0.1,135,0.971282,0.024
2021_08_22_22_01_17,3,400,10.0,2,sqrt,,0.1,202,0.98304,0.023028
2021_08_23_10_51_24,3,400,10.0,2,sqrt,,0.1,64,0.888301,0.024
2021_08_23_13_17_21,3,400,10.0,2,sqrt,,0.1,48,0.907653,0.024
2021_08_23_19_42_07,3,400,10.0,2,sqrt,,0.1,57,0.727259,0.024
2021_09_09_19_27_35,3,400,10.0,2,sqrt,,0.1,459,0.742241,0.023634
2021_09_11_00_33_16,3,400,10.0,2,sqrt,,0.1,746,0.841617,0.004729
2021_08_20_21_48_35,4,400,10.0,2,sqrt,,0.2,112,0.94998,0.024
2021_08_21_17_30_41,4,400,10.0,2,sqrt,,0.2,157,0.935202,0.024
2021_08_22_13_37_16,4,400,10.0,2,sqrt,,0.2,135,0.971282,0.024
2021_08_22_22_01_17,4,400,10.0,2,sqrt,,0.2,202,0.9831,0.02305
2021_08_23_10_51_24,4,400,10.0,2,sqrt,,0.2,64,0.888301,0.024
2021_08_23_13_17_21,4,400,10.0,2,sqrt,,0.2,48,0.907653,0.024
2021_08_23_19_42_07,4,400,10.0,2,sqrt,,0.2,57,0.727259,0.024
2021_09_09_19_27_35,4,400,10.0,2,sqrt,,0.2,459,0.743399,0.023739
2021_09_11_00_33_16,4,400,10.0,2,sqrt,,0.2,746,0.860485,0.020139
