split,budget,cls,precision,recall,f1,support,rf_vs_oracle_acc,confusion_row
validate,0.1,E,0.7613,1.0,0.8645,4809,0.8327,4809|0|0
validate,0.1,L,0.8398,0.9936,0.9102,30492,0.8327,195|30297|0
validate,0.1,F,1.0,0.1412,0.2474,8259,0.8327,1313|5780|1166
validate,0.2,E,0.9772,1.0,0.9885,4809,0.9778,4809|0|0
validate,0.2,L,0.973,0.9996,0.9862,30492,0.9778,0|30481|11
validate,0.2,F,0.9985,0.8841,0.9378,8259,0.9778,112|845|7302
validate,0.3,E,0.9772,1.0,0.9885,4809,0.9778,4809|0|0
validate,0.3,L,0.973,0.9996,0.9862,30492,0.9778,0|30481|11
validate,0.3,F,0.9985,0.8841,0.9378,8259,0.9778,112|845|7302
test,0.1,E,0.3881,0.0078,0.0154,14167,0.5784,111|14056|0
test,0.1,L,0.5795,0.9948,0.7324,27644,0.5784,144|27500|0
test,0.1,F,1.0,0.0002,0.0003,5929,0.5784,31|5897|1
test,0.2,E,0.3152,0.0266,0.0491,14167,0.578,377|13740|50
test,0.2,L,0.5847,0.9694,0.7294,27644,0.578,603|26798|243
test,0.2,F,0.5891,0.0708,0.1265,5929,0.578,216|5293|420
test,0.3,E,0.3152,0.0266,0.0491,14167,0.578,377|13740|50
test,0.3,L,0.5847,0.9694,0.7294,27644,0.578,603|26798|243
test,0.3,F,0.5891,0.0708,0.1265,5929,0.578,216|5293|420
culver,0.1,E,0.0,0.0,0.0,3076,0.534,0|3076|0
culver,0.1,L,0.534,1.0,0.6963,6462,0.534,0|6462|0
culver,0.1,F,0.0,0.0,0.0,2562,0.534,0|2562|0
culver,0.2,E,0.0,0.0,0.0,3076,0.5353,0|3003|73
culver,0.2,L,0.5383,0.9992,0.6997,6462,0.5353,0|6457|5
culver,0.2,F,0.2041,0.0078,0.015,2562,0.5353,7|2535|20
culver,0.3,E,0.0,0.0,0.0,3076,0.5353,0|3003|73
culver,0.3,L,0.5383,0.9992,0.6997,6462,0.5353,0|6457|5
culver,0.3,F,0.2041,0.0078,0.015,2562,0.5353,7|2535|20
