realisation,F1_RF,F1_tau,B_RF,B_tau,dF,dB
0,0.8795316832715815,0.8946725436900296,0.029269090909090908,0.2979927272727273,-0.015140860418448088,-0.2687236363636364
1,0.879954087192362,0.8977703443130925,0.032781818181818176,0.34190181818181814,-0.01781625712073054,-0.30911999999999995
2,0.8797477818619122,0.8973369301443443,0.03449454545454545,0.3419018181818182,-0.017589148282432188,-0.30740727272727275
3,0.8795103173906152,0.8977164389728797,0.027469090909090905,0.33663272727272725,-0.018206121582264423,-0.30916363636363636
4,0.8800182980840856,0.8964084961619596,0.03805090909090907,0.31204363636363636,-0.016390198077874008,-0.2739927272727273
5,0.879615482525392,0.8940667089896296,0.029269090909090908,0.30677454545454547,-0.014451226464237577,-0.27750545454545456
6,0.8795505561611869,0.8967482362848145,0.02751272727272727,0.30677454545454547,-0.017197680123627546,-0.2792618181818182
7,0.8795978871258823,0.895191657558446,0.02751272727272727,0.3120436363636364,-0.015593770432563714,-0.28453090909090917
8,0.8797883433645421,0.8977033225507152,0.032781818181818176,0.3366327272727273,-0.01791497918617302,-0.3038509090909091
9,0.8798373024030165,0.8941825149425212,0.034538181818181815,0.3015054545454546,-0.014345212539504715,-0.2669672727272728
10,0.879515701640736,0.8965459447950198,0.029269090909090908,0.30677454545454547,-0.01703024315428381,-0.27750545454545456
11,0.8798690524968233,0.898406273578397,0.032781818181818176,0.3208254545454546,-0.01853722108157363,-0.2880436363636364
12,0.8798885748603127,0.8973186311539205,0.03453818181818181,0.3085309090909091,-0.017430056293607832,-0.2739927272727273
13,0.8799079239368439,0.8970455301508068,0.03449454545454545,0.30326181818181813,-0.017137606213962875,-0.2687672727272727
14,0.8797761402346871,0.8947419814792598,0.02746909090909091,0.27516,-0.014965841244572675,-0.2476909090909091
15,0.8795256862857125,0.8974689979741651,0.02751272727272727,0.31555636363636363,-0.017943311688452646,-0.2880436363636364
16,0.8795636963844299,0.8970129121687086,0.034538181818181815,0.31731272727272725,-0.017449215784278715,-0.28277454545454545
17,0.8799717653881419,0.8985836121807721,0.03453818181818181,0.3190690909090909,-0.01861184679263017,-0.2845309090909091
18,0.8796901116587899,0.8964653835656355,0.029269090909090908,0.3225818181818182,-0.01677527190684569,-0.2933127272727273
19,0.8797661279548298,0.8955001830727104,0.032781818181818176,0.31731272727272725,-0.01573405511788062,-0.28453090909090906
20,0.8796166949922388,0.8975156327188303,0.02746909090909091,0.31379999999999997,-0.017898937726591457,-0.2863309090909091
21,0.8797765659202229,0.8999909062051588,0.02922545454545454,0.31731272727272725,-0.02021434028493585,-0.2880872727272727
22,0.880088408426805,0.895414401256238,0.03625090909090909,0.2804290909090909,-0.015325992829432922,-0.24417818181818182
23,0.8802503313801505,0.8959451673453066,0.03629454545454545,0.3208254545454546,-0.015694835965156084,-0.2845309090909091
24,0.8802550954168493,0.8960870651655941,0.03976363636363635,0.30677454545454547,-0.01583196974874479,-0.26701090909090913
25,0.8795667305859652,0.8974140112567046,0.02751272727272727,0.31555636363636363,-0.017847280670739374,-0.2880436363636364
26,0.8796515238285064,0.8960929876468491,0.036294545454545454,0.31028727272727274,-0.01644146381834266,-0.2739927272727273
27,0.879538751190359,0.8942166802015148,0.029269090909090908,0.2839418181818182,-0.014677929011155832,-0.2546727272727273
28,0.8797425629875877,0.8964146239467979,0.029269090909090908,0.2821854545454545,-0.016672060959210255,-0.2529163636363636
29,0.8798423036662015,0.895975797623572,0.029269090909090908,0.30326181818181813,-0.016133493957370515,-0.2739927272727272
30,0.8797740692442114,0.897543246489772,0.029269090909090908,0.2997490909090909,-0.017769177245560597,-0.27048
31,0.8799265716292641,0.8985161359953386,0.03098181818181818,0.3296072727272727,-0.018589564366074507,-0.2986254545454545
32,0.8798580742966045,0.8994756675278269,0.03102545454545454,0.3594654545454546,-0.019617593231222474,-0.32844000000000007
33,0.880019230409102,0.8965903962270192,0.03273818181818182,0.2892109090909091,-0.016571165817917177,-0.25647272727272724
34,0.8795171260833741,0.8959509296121575,0.02751272727272727,0.3225818181818182,-0.01643380352878343,-0.29506909090909095
35,0.8799528073180806,0.8976107163306873,0.034538181818181815,0.3190690909090909,-0.017657909012606776,-0.2845309090909091
36,0.8800158360871402,0.8984124487928468,0.032781818181818176,0.3296072727272727,-0.018396612705706583,-0.2968254545454545
37,0.8794827477498488,0.8977313887514848,0.02751272727272727,0.33136363636363636,-0.018248641001636035,-0.3038509090909091
38,0.8796965513446114,0.8968974897752617,0.029269090909090908,0.31028727272727274,-0.017200938430650292,-0.28101818181818183
39,0.8799435990506952,0.8971917674274416,0.029269090909090908,0.33487636363636364,-0.017248168376746364,-0.3056072727272727
40,0.8799611606381156,0.8974393988945549,0.03273818181818182,0.35068363636363636,-0.01747823825643935,-0.31794545454545453
41,0.879895217960531,0.8995205183979906,0.03805090909090909,0.3296072727272727,-0.01962530043745958,-0.2915563636363636
42,0.8797259354591369,0.8962301339608683,0.029269090909090908,0.3120436363636364,-0.01650419850173135,-0.2827745454545455
43,0.8795679197528146,0.8944165047841776,0.029269090909090908,0.31555636363636363,-0.014848585031362993,-0.2862872727272727
44,0.8797056120092218,0.8930425944127646,0.03449454545454545,0.26989090909090907,-0.013336982403542752,-0.23539636363636363
45,0.8797331621430137,0.8987408522358991,0.029269090909090908,0.32785090909090914,-0.019007690092885388,-0.2985818181818182
46,0.879978067224676,0.8952059414088587,0.034538181818181815,0.3173127272727273,-0.0152278741841827,-0.2827745454545455
47,0.8796241684393449,0.8947777764559777,0.031025454545454547,0.29623636363636363,-0.015153608016632791,-0.2652109090909091
48,0.8797518604451959,0.8978684241491494,0.03102545454545454,0.3419018181818182,-0.018116563703953426,-0.3108763636363637
49,0.879635450298136,0.897025830999339,0.032781818181818176,0.3296072727272727,-0.017390380701203023,-0.2968254545454545
50,0.879881039424376,0.8991870620136262,0.03273818181818182,0.32609454545454547,-0.019306022589250182,-0.29335636363636364
51,0.8798805888132616,0.8944800075615165,0.03098181818181818,0.2821854545454545,-0.014599418748254878,-0.25120363636363635
52,0.8795106267929077,0.8991760002509294,0.02751272727272727,0.3155563636363636,-0.019665373458021662,-0.28804363636363634
53,0.8794982494007457,0.894141786780217,0.02575636363636363,0.2839418181818182,-0.014643537379471327,-0.25818545454545455
54,0.8797343942252073,0.8989985568953497,0.029269090909090908,0.36824727272727276,-0.019264162670142415,-0.33897818181818185
55,0.879765023209832,0.8952791482046606,0.032781818181818176,0.3032618181818182,-0.015514124994828626,-0.27048
56,0.8799628952416507,0.8952385358644266,0.034538181818181815,0.3138,-0.015275640622775866,-0.2792618181818182
57,0.8795934081077575,0.8955973241668772,0.031025454545454547,0.3032618181818182,-0.01600391605911966,-0.27223636363636367
58,0.879748149243268,0.8960917381143036,0.034538181818181815,0.31731272727272725,-0.016343588871035597,-0.28277454545454545
59,0.8794818191094832,0.89620971498847,0.02922545454545454,0.30677454545454547,-0.01672789587898682,-0.2775490909090909
60,0.879575886184519,0.8971318241379702,0.029269090909090908,0.3436581818181818,-0.01755593795345123,-0.3143890909090909
61,0.879728772315112,0.8964837411713951,0.032781818181818176,0.34892727272727275,-0.016754968856283026,-0.31614545454545456
62,0.8797473450140519,0.894473015372372,0.03102545454545454,0.30677454545454547,-0.014725670358320064,-0.27574909090909094
63,0.8801793317361312,0.8971054923501541,0.03629454545454545,0.31731272727272725,-0.016926160614022967,-0.2810181818181818
64,0.8796263062953948,0.8958244446497731,0.02922545454545454,0.30677454545454547,-0.016198138354378222,-0.2775490909090909
65,0.8801328459652987,0.8949636776403,0.03805090909090909,0.30501818181818185,-0.014830831675001321,-0.2669672727272728
66,0.8799064122546802,0.89608573080861,0.032781818181818176,0.29272363636363635,-0.016179318553929734,-0.25994181818181816
67,0.8798414646495473,0.8952617123940697,0.03102545454545454,0.3050181818181818,-0.015420247744522442,-0.2739927272727273
68,0.8797082391652193,0.897358650159392,0.02922545454545454,0.29448,-0.01765041099417264,-0.26525454545454547
69,0.8797356568683278,0.895373664144864,0.03102545454545454,0.2909672727272727,-0.015638007276536192,-0.25994181818181816
70,0.8796213740652258,0.8956720171588396,0.03102545454545454,0.34892727272727275,-0.016050643093613814,-0.31790181818181823
71,0.8797193905440244,0.8979564471544856,0.031025454545454547,0.3120436363636364,-0.018237056610461266,-0.2810181818181819
72,0.879825924093073,0.8963132818978545,0.029269090909090908,0.30501818181818185,-0.0164873578047815,-0.27574909090909094
73,0.8797995362498543,0.8974644636915802,0.03449454545454545,0.3296072727272727,-0.017664927441725875,-0.29511272727272725
74,0.87984152414582,0.8988653827394907,0.032781818181818176,0.3208254545454546,-0.01902385859367073,-0.2880436363636364
75,0.8795222840525887,0.8952729226099186,0.031025454545454547,0.32609454545454547,-0.015750638557329943,-0.29506909090909095
76,0.8796602653373371,0.8975696759465228,0.02922545454545454,0.3208254545454546,-0.017909410609185716,-0.2916
77,0.8796460779146714,0.8937079092449257,0.03273818181818181,0.2839418181818182,-0.014061831330254293,-0.25120363636363635
78,0.879736658334732,0.8974406983410612,0.02751272727272727,0.3559527272727273,-0.01770404000632919,-0.32844000000000007
79,0.8797946123643355,0.8977760707278528,0.034538181818181815,0.3243381818181818,-0.017981458363517278,-0.2898
80,0.8798633619872006,0.8954198871559677,0.03273818181818182,0.33136363636363636,-0.015556525168767044,-0.2986254545454545
81,0.87951876336878,0.893419370032035,0.031025454545454547,0.2979927272727273,-0.013900606663254989,-0.2669672727272728
82,0.8799319166486913,0.8982535413865154,0.036294545454545454,0.32609454545454547,-0.01832162473782406,-0.2898
83,0.8797732642563907,0.8975790453636168,0.029269090909090908,0.3208254545454546,-0.017805781107226082,-0.29155636363636367
84,0.8794796860218048,0.8946793156055783,0.02575636363636363,0.2839418181818182,-0.015199629583773522,-0.25818545454545455
85,0.8794731867313385,0.8939021113158355,0.02575636363636363,0.29623636363636363,-0.014428924584497071,-0.27048
86,0.8796811837499792,0.8975229490403915,0.02922545454545454,0.3085309090909091,-0.01784176529041237,-0.2793054545454545
87,0.8798665094375611,0.8948647474822212,0.03102545454545454,0.2927236363636364,-0.014998238044660162,-0.2616981818181819
88,0.8800032635168595,0.8993672406703375,0.034538181818181815,0.3190690909090909,-0.01936397715347793,-0.2845309090909091
89,0.8798702480576255,0.897094546558954,0.034538181818181815,0.31028727272727274,-0.01722429850132856,-0.27574909090909094
90,0.8796583357724277,0.8952591060352567,0.02922545454545454,0.30501818181818185,-0.015600770262829022,-0.2757927272727273
91,0.8798866917870262,0.8943656879241654,0.03102545454545454,0.2804290909090909,-0.01447899613713921,-0.24940363636363636
92,0.8795802161910317,0.8946397550819637,0.029269090909090908,0.30677454545454547,-0.015059538890932034,-0.27750545454545456
93,0.8798040840842507,0.8974214013484849,0.03102545454545454,0.33487636363636364,-0.01761731726423421,-0.3038509090909091
94,0.8795589341900566,0.8956342760929329,0.03098181818181818,0.32785090909090914,-0.016075341902876294,-0.29686909090909097
95,0.8796216685121709,0.8980701132719257,0.02751272727272727,0.3190690909090909,-0.018448444759754712,-0.29155636363636367
96,0.879864821434021,0.8969917284866679,0.03102545454545454,0.33487636363636364,-0.017126907052646856,-0.3038509090909091
97,0.8799025537750937,0.8982831879233788,0.03273818181818182,0.3225818181818182,-0.018380634148285058,-0.28984363636363636
98,0.8797690622373061,0.8971137642386016,0.03273818181818181,0.33487636363636364,-0.017344702001295453,-0.3021381818181818
99,0.8796672480756587,0.896578959633256,0.03098181818181818,0.3225818181818182,-0.016911711557597298,-0.2916
100,0.8797486300901933,0.8936529722065013,0.03805090909090909,0.29623636363636363,-0.013904342116307977,-0.25818545454545455
