realisation,F1_RF,F1_tau,B_RF,B_tau,dF,dB
0,0.8760843011488438,0.870593125049514,0.04637878787878789,0.07278787878787879,0.005491176099329809,-0.026409090909090903
1,0.8764548238212098,0.86979537172751,0.048793939393939396,0.06986060606060607,0.00665945209369978,-0.02106666666666667
2,0.8760163086346332,0.8702388130053125,0.04490303030303031,0.0762030303030303,0.005777495629320728,-0.03129999999999999
3,0.8762360038623628,0.8702696637071744,0.0492939393939394,0.06546969696969698,0.005966340155188377,-0.016175757575757586
4,0.8767435329772415,0.8706872053519644,0.052709090909090914,0.0723,0.00605632762527708,-0.01959090909090909
5,0.8761965105235076,0.8701269915609648,0.04781818181818182,0.07034848484848485,0.006069518962542708,-0.022530303030303032
6,0.8759443901788012,0.8703158359936993,0.04587878787878788,0.07522727272727274,0.005628554185101886,-0.02934848484848486
7,0.8757282831952532,0.8700223097897539,0.04491515151515152,0.06937272727272728,0.005705973405499276,-0.02445757575757576
8,0.8764503345635126,0.870281251632806,0.0488060606060606,0.07181212121212122,0.006169082930706615,-0.023006060606060613
9,0.8760428232942827,0.8697507202625274,0.04831818181818183,0.06546969696969697,0.006292103031755314,-0.01715151515151514
10,0.8766756861359998,0.8702203893300259,0.05178181818181818,0.07132424242424244,0.006455296805973898,-0.019542424242424264
11,0.8762233968521521,0.8697169114242901,0.04539090909090909,0.06546969696969697,0.00650648542786203,-0.020078787878787877
12,0.8765387177850396,0.8701111758899207,0.0507939393939394,0.07522727272727273,0.006427541895118849,-0.024433333333333328
13,0.8765678218397247,0.8706341909940797,0.04986666666666667,0.07132424242424242,0.0059336308456450215,-0.021457575757575745
14,0.8758794934099411,0.8704210973448223,0.04589090909090909,0.06986060606060607,0.005458396065118776,-0.023969696969696974
15,0.8756319283495518,0.8704490539100435,0.043439393939393944,0.06937272727272728,0.005182874439508378,-0.025933333333333336
16,0.8757133424359569,0.8702128986818621,0.04392727272727273,0.0723,0.005500443754094753,-0.02837272727272727
17,0.8762979391423732,0.8705060183098822,0.04887878787878788,0.06839696969696969,0.0057919208324910265,-0.01951818181818181
18,0.8759429307641445,0.8694664981028046,0.04686666666666667,0.06790909090909092,0.006476432661339904,-0.02104242424242425
19,0.875944452841174,0.8702251052013551,0.044939393939393946,0.06644545454545456,0.00571934763981885,-0.021506060606060612
20,0.8758742381845973,0.87061168981923,0.0454030303030303,0.07473939393939394,0.0052625483653673255,-0.02933636363636364
21,0.8756445298699989,0.8698142717884044,0.04441515151515152,0.06449393939393941,0.0058302580815944305,-0.02007878787878789
22,0.8768070402278699,0.8707788926483405,0.053233333333333334,0.07376363636363638,0.006028147579529408,-0.020530303030303045
23,0.8768158101311239,0.8699733249466829,0.05129393939393939,0.06937272727272728,0.006842485184440972,-0.01807878787878789
24,0.8758877169335716,0.8700156850947274,0.04587878787878788,0.06839696969696969,0.005872031838844216,-0.022518181818181812
25,0.876532274911729,0.8711728819994011,0.05028181818181818,0.08108181818181819,0.005359392912327898,-0.030800000000000008
26,0.8755476594565018,0.8705096857415305,0.04345151515151515,0.0723,0.005037973714971278,-0.028848484848484852
27,0.8766438518872994,0.870097005698416,0.05130606060606061,0.0688848484848485,0.0065468461888834595,-0.01757878787878788
28,0.8763548554938528,0.8703282077505131,0.04883030303030303,0.07132424242424242,0.006026647743339719,-0.022493939393939386
29,0.875773538837834,0.8703490841569322,0.04491515151515152,0.08108181818181819,0.005424454680901802,-0.036166666666666666
30,0.8759504558002205,0.8702923364109463,0.0469030303030303,0.07181212121212122,0.0056581193892741855,-0.024909090909090915
31,0.8768258669677718,0.8704328112529985,0.050306060606060604,0.06693333333333334,0.006393055714773221,-0.01662727272727274
32,0.8770735270066825,0.870668890801343,0.05229393939393939,0.07083636363636366,0.006404636205339487,-0.018542424242424263
33,0.8762013943887177,0.8704085988227768,0.050806060606060605,0.07132424242424243,0.0057927955659409225,-0.020518181818181824
34,0.8764852829478048,0.8708447643602737,0.04880606060606061,0.07327575757575758,0.005640518587531118,-0.024469696969696968
35,0.8762806912755301,0.8706036593877908,0.04686666666666666,0.07083636363636366,0.00567703188773927,-0.023969696969696995
36,0.876443421640134,0.8702635204852229,0.04883030303030303,0.0766909090909091,0.006179901154911072,-0.027860606060606072
37,0.8765170586107813,0.8701771916464122,0.04835454545454546,0.06888484848484848,0.006339866964369167,-0.020530303030303017
38,0.8761179694679845,0.8706548085718444,0.04591515151515152,0.0718121212121212,0.0054631608961400735,-0.025896969696969682
39,0.8757778660645182,0.8700750689012836,0.045390909090909086,0.06986060606060607,0.00570279716323463,-0.02446969696969698
40,0.875894338623762,0.870470345170811,0.04395151515151515,0.07132424242424243,0.00542399345295097,-0.027372727272727278
41,0.8756729863365914,0.8694740569952762,0.04393939393939394,0.06400606060606061,0.0061989293413151625,-0.02006666666666667
42,0.8757763122492774,0.8702423111055837,0.04493939393939393,0.0644939393939394,0.005534001143693734,-0.019554545454545463
43,0.8762573830349849,0.8700004284430032,0.04836666666666667,0.07278787878787879,0.006256954591981723,-0.02442121212121212
44,0.8762073946980421,0.8700437767337067,0.04634242424242425,0.06644545454545456,0.0061636179643353994,-0.02010303030303031
45,0.876456689283889,0.8698394207641332,0.05075757575757576,0.07571515151515151,0.006617268519755748,-0.024957575757575755
46,0.8761133344427673,0.8700024630385216,0.04737878787878789,0.07522727272727273,0.00611087140424571,-0.027848484848484838
47,0.8759876375095974,0.8704475395005159,0.045963636363636366,0.0723,0.005540098009081507,-0.026336363636363637
48,0.8762784665009543,0.8704154853567933,0.04883030303030303,0.07132424242424242,0.005862981144161061,-0.022493939393939386
49,0.8756467464135967,0.8699597736199697,0.043403030303030304,0.06986060606060607,0.005686972793627065,-0.026457575757575763
50,0.8760772981783346,0.8703594531374749,0.04545151515151515,0.08108181818181819,0.005717845040859704,-0.03563030303030303
51,0.8758497169793134,0.8699136624733607,0.045927272727272726,0.0723,0.005936054505952693,-0.026372727272727277
52,0.8759693332893501,0.8708041537289668,0.046915151515151514,0.07717878787878787,0.005165179560383315,-0.03026363636363636
53,0.8751724846036214,0.869855723206443,0.041,0.0723,0.0053167613971784045,-0.0313
54,0.8765848930192878,0.8701795266132162,0.052306060606060606,0.07425151515151517,0.006405366406071589,-0.02194545454545456
55,0.8761354231805201,0.8705936988796851,0.046878787878787874,0.06546969696969697,0.005541724300834994,-0.018590909090909095
56,0.8762453688944144,0.8705664393576709,0.04780606060606061,0.07278787878787879,0.005678929536743538,-0.02498181818181818
57,0.8754840627219891,0.8705204845076859,0.043439393939393944,0.07473939393939394,0.004963578214303155,-0.031299999999999994
58,0.875864499744772,0.8705378999613752,0.04393939393939394,0.07473939393939394,0.005326599783396779,-0.0308
59,0.8755392768239004,0.8698547236245088,0.042927272727272724,0.07815454545454546,0.005684553199391651,-0.03522727272727274
60,0.8762425783558578,0.8705521297575247,0.04734242424242424,0.0884,0.00569044859833312,-0.041057575757575765
61,0.8760425812396353,0.8697010354863273,0.04441515151515152,0.06742121212121212,0.006341545753308031,-0.0230060606060606
62,0.8763814996347303,0.8697587116198107,0.047318181818181815,0.06693333333333334,0.006622788014919667,-0.01961515151515153
63,0.8753344022226536,0.8701952095284606,0.041512121212121215,0.06986060606060607,0.00513919269419294,-0.028348484848484852
64,0.876229375304589,0.8696455517802576,0.04781818181818182,0.07522727272727273,0.0065838235243314,-0.027409090909090904
65,0.8755530285527452,0.8699429963875298,0.04342727272727273,0.06937272727272728,0.005610032165215384,-0.02594545454545455
66,0.8770906055785365,0.8705276364629919,0.052733333333333327,0.07571515151515151,0.006562969115544548,-0.022981818181818187
67,0.876541363066987,0.8708592305580775,0.048342424242424235,0.07571515151515151,0.0056821325089095875,-0.027372727272727278
68,0.8764096639916887,0.8699795096811622,0.046854545454545454,0.06254242424242425,0.006430154310526515,-0.015687878787878792
69,0.8763765942362296,0.8701284061477642,0.048293939393939396,0.07571515151515151,0.0062481880884653895,-0.027421212121212117
70,0.875742656887094,0.8699638631909785,0.04389090909090909,0.07083636363636366,0.005778793696115447,-0.026945454545454564
71,0.8765720861640173,0.869994019348212,0.05222121212121212,0.0723,0.006578066815805306,-0.020078787878787883
72,0.8754742139458427,0.8702657282954515,0.043439393939393944,0.06986060606060607,0.005208485650391226,-0.026421212121212123
73,0.8757958219936857,0.8701602082360874,0.04489090909090909,0.07425151515151515,0.005635613757598246,-0.02936060606060606
74,0.8760375620482593,0.8707037349541982,0.0464030303030303,0.07083636363636366,0.005333827094061161,-0.024433333333333355
75,0.8763504089160871,0.8698076003127628,0.04834242424242425,0.06644545454545456,0.006542808603324235,-0.01810303030303031
76,0.8768103359324978,0.8707302943624632,0.050757575757575765,0.08693636363636364,0.006080041570034611,-0.03617878787878788
77,0.87624098144949,0.8711632462462994,0.048318181818181816,0.0766909090909091,0.005077735203190659,-0.028372727272727286
