split,budget,policy,F1,payload
validate,0.1,RF,0.91108,0.06857
validate,0.1,tau,0.90734,0.07215
validate,0.2,RF,0.91172,0.09986
validate,0.2,tau,0.90927,0.21663
validate,0.3,RF,0.91307,0.15781
validate,0.3,tau,0.9087,0.31267
test,0.1,RF,0.90326,0.06798
test,0.1,tau,0.90271,0.0724
test,0.2,RF,0.90463,0.09472
test,0.2,tau,0.9074,0.21679
test,0.3,RF,0.90734,0.18703
test,0.3,tau,0.90937,0.3125
culver,0.1,RF,0.8723,0.02832
culver,0.1,tau,0.87491,0.07176
culver,0.2,RF,0.87355,0.04228
culver,0.2,tau,0.8834,0.2174
culver,0.3,RF,0.88286,0.16008
culver,0.3,tau,0.8874,0.31463
