split,budget,flip_p,policy,F1,F1_std,payload,rho_feature
validate,0.1,0.0,RF,0.91117,0.00037,0.06813,0.0459
validate,0.1,0.05,RF,0.91053,0.00041,0.06795,0.0457
validate,0.1,0.1,RF,0.9099,0.0005,0.06787,0.0456
validate,0.1,0.2,RF,0.9086,0.00059,0.06799,0.0458
validate,0.2,0.0,RF,0.91186,0.00038,0.09915,0.078
validate,0.2,0.05,RF,0.91083,0.00047,0.09892,0.0778
validate,0.2,0.1,RF,0.90982,0.00056,0.09906,0.0779
validate,0.2,0.2,RF,0.90774,0.00076,0.09929,0.0782
validate,0.3,0.0,RF,0.91333,0.0004,0.15633,0.1372
validate,0.3,0.05,RF,0.91173,0.00053,0.15613,0.137
validate,0.3,0.1,RF,0.91015,0.00064,0.15618,0.137
validate,0.3,0.2,RF,0.90695,0.00086,0.1566,0.1375
test,0.1,0.0,RF,0.90331,0.00063,0.06735,0.045
test,0.1,0.05,RF,0.90291,0.00065,0.06737,0.045
test,0.1,0.1,RF,0.90249,0.00072,0.06731,0.045
test,0.1,0.2,RF,0.90166,0.00073,0.06733,0.045
test,0.2,0.0,RF,0.9047,0.00061,0.094,0.0725
test,0.2,0.05,RF,0.90411,0.00065,0.094,0.0725
test,0.2,0.1,RF,0.90354,0.00072,0.09401,0.0725
test,0.2,0.2,RF,0.90238,0.00073,0.09406,0.0725
test,0.3,0.0,RF,0.9075,0.00074,0.18538,0.1671
test,0.3,0.05,RF,0.90633,0.00078,0.18542,0.1671
test,0.3,0.1,RF,0.90518,0.00086,0.18549,0.1672
test,0.3,0.2,RF,0.90292,0.0009,0.18551,0.1672
culver,0.1,0.0,RF,0.8723,0.0001,0.0283,0.0045
culver,0.1,0.05,RF,0.87226,0.00014,0.02832,0.0045
culver,0.1,0.1,RF,0.87222,0.00019,0.02831,0.0045
culver,0.1,0.2,RF,0.87216,0.00021,0.02811,0.0043
culver,0.2,0.0,RF,0.87355,0.00047,0.04219,0.0188
culver,0.2,0.05,RF,0.87344,0.00048,0.0422,0.0188
culver,0.2,0.1,RF,0.87331,0.0005,0.04222,0.0189
culver,0.2,0.2,RF,0.87305,0.0005,0.04182,0.0184
culver,0.3,0.0,RF,0.88287,0.00146,0.15814,0.1389
culver,0.3,0.05,RF,0.88161,0.00153,0.1584,0.1391
culver,0.3,0.1,RF,0.8804,0.00158,0.15828,0.139
culver,0.3,0.2,RF,0.87793,0.00156,0.1574,0.1381
