split,budget,awgn_rayleigh,p_rayleigh,policy,F1,F1_std,payload,rho_feature
validate,0.1,25/75,0.75,RF,0.90911,0.00027,0.04626,0.0233
validate,0.1,25/75,0.75,tau,0.90704,0.00016,0.0482,
validate,0.1,50/50,0.5,RF,0.91108,0.00037,0.06857,0.0464
validate,0.1,50/50,0.5,tau,0.90734,0.00022,0.07215,
validate,0.1,75/25,0.25,RF,0.91303,0.00041,0.09095,0.0695
validate,0.1,75/25,0.25,tau,0.90766,0.00026,0.09646,
validate,0.2,25/75,0.75,RF,0.90944,0.00028,0.06215,0.0397
validate,0.2,25/75,0.75,tau,0.90802,0.00032,0.12067,
validate,0.2,50/50,0.5,RF,0.91172,0.00037,0.09986,0.0787
validate,0.2,50/50,0.5,tau,0.90927,0.00042,0.21663,
validate,0.2,75/25,0.25,RF,0.914,0.00041,0.13801,0.1182
validate,0.2,75/25,0.25,tau,0.91053,0.00048,0.31365,
validate,0.3,25/75,0.75,RF,0.91013,0.00028,0.09142,0.07
validate,0.3,25/75,0.75,tau,0.90774,0.0004,0.16886,
validate,0.3,50/50,0.5,RF,0.91307,0.00039,0.15781,0.1387
validate,0.3,50/50,0.5,tau,0.9087,0.00054,0.31267,
validate,0.3,75/25,0.25,RF,0.91603,0.00043,0.22511,0.2083
validate,0.3,75/25,0.25,tau,0.90967,0.00058,0.45824,
test,0.1,25/75,0.75,RF,0.90187,0.00051,0.046,0.0229
test,0.1,25/75,0.75,tau,0.90192,0.00029,0.048,
test,0.1,50/50,0.5,RF,0.90326,0.00063,0.06798,0.0456
test,0.1,50/50,0.5,tau,0.90271,0.00042,0.0724,
test,0.1,75/25,0.25,RF,0.90465,0.00072,0.09029,0.0687
test,0.1,75/25,0.25,tau,0.90349,0.00052,0.09669,
test,0.2,25/75,0.75,RF,0.90288,0.00043,0.05968,0.037
test,0.2,25/75,0.75,tau,0.90428,0.00056,0.12062,
test,0.2,50/50,0.5,RF,0.90463,0.0006,0.09472,0.0732
test,0.2,50/50,0.5,tau,0.9074,0.00074,0.21679,
test,0.2,75/25,0.25,RF,0.9064,0.00071,0.13058,0.1103
test,0.2,75/25,0.25,tau,0.91055,0.0009,0.31403,
test,0.3,25/75,0.75,RF,0.90424,0.00055,0.10552,0.0844
test,0.3,25/75,0.75,tau,0.9053,0.00063,0.16853,
test,0.3,50/50,0.5,RF,0.90734,0.00074,0.18703,0.1688
test,0.3,50/50,0.5,tau,0.90937,0.00077,0.3125,
test,0.3,75/25,0.25,RF,0.91046,0.00089,0.26945,0.2541
test,0.3,75/25,0.25,tau,0.9135,0.00092,0.45863,
culver,0.1,25/75,0.75,RF,0.87223,7e-05,0.02617,0.0022
culver,0.1,25/75,0.75,tau,0.87358,0.00059,0.04823,
culver,0.1,50/50,0.5,RF,0.8723,0.0001,0.02832,0.0045
culver,0.1,50/50,0.5,tau,0.87491,0.00075,0.07176,
culver,0.1,75/25,0.25,RF,0.87235,0.0001,0.0302,0.0064
culver,0.1,75/25,0.25,tau,0.87624,0.00087,0.09538,
culver,0.2,25/75,0.75,RF,0.87286,0.00034,0.03319,0.0095
culver,0.2,25/75,0.75,tau,0.87786,0.00105,0.12076,
culver,0.2,50/50,0.5,RF,0.87355,0.00047,0.04228,0.0189
culver,0.2,50/50,0.5,tau,0.8834,0.00147,0.2174,
culver,0.2,75/25,0.25,RF,0.87421,0.00045,0.0508,0.0277
culver,0.2,75/25,0.25,tau,0.88889,0.00163,0.31242,
culver,0.3,25/75,0.75,RF,0.8776,0.00101,0.09266,0.0711
culver,0.3,25/75,0.75,tau,0.87984,0.00123,0.16979,
culver,0.3,50/50,0.5,RF,0.88286,0.00143,0.16008,0.1409
culver,0.3,50/50,0.5,tau,0.8874,0.00166,0.31463,
culver,0.3,75/25,0.25,RF,0.88809,0.00147,0.22669,0.2098
culver,0.3,75/25,0.25,tau,0.89485,0.00174,0.45774,
