split,budget,N,semantics,label,F1,F1_std,payload,rho_E,rho_L,rho_F,over_budget,frames_subset_is_full,frames_zero_collaborator,arm_distinct,dF_vs_N1_mean,dF_vs_N1_lcb95,dF_vs_N1_ucb95,dB_vs_N1_mean,dB_vs_N1_lcb95,dB_vs_N1_ucb95,frames_in_scope,dF_vs_A_mean,dF_vs_A_lcb95,dF_vs_A_ucb95
validate,0.1,1,A,"collaborator-scale arm, not deployed",0.86101,0.00041,0.08102,0.0107,0.93,0.0593,False,733,0,True,,,,,,,,,,
validate,0.1,2,A,"collaborator-scale arm, not deployed",0.89201,0.00024,0.14979,0.0107,0.93,0.0593,True,1081,0,True,0.031,0.03096,0.03104,0.06877,0.06816,0.06936,,,,
validate,0.1,3,A,"collaborator-scale arm, not deployed",0.89827,0.00026,0.20895,0.0107,0.93,0.0593,True,1234,0,True,0.03727,0.03723,0.0373,0.12793,0.12674,0.1291,,,,
validate,0.1,2,B,"bracketing variant, validate only, N=2, not deployed",0.89217,0.00025,0.14979,0.0107,0.93,0.0593,True,1081,0,True,,,,,,,964.0,0.00016,0.00016,0.00017
validate,0.2,1,A,"collaborator-scale arm, not deployed",0.8644,0.00052,0.15106,0.0112,0.857,0.1318,False,733,0,True,,,,,,,,,,
validate,0.2,2,A,"collaborator-scale arm, not deployed",0.89444,0.0004,0.26937,0.0112,0.857,0.1318,True,1081,0,True,0.03004,0.02999,0.03009,0.11831,0.11747,0.11917,,,,
validate,0.2,3,A,"collaborator-scale arm, not deployed",0.90057,0.00043,0.36842,0.0112,0.857,0.1318,True,1234,0,True,0.03617,0.03612,0.03622,0.21736,0.21575,0.21901,,,,
validate,0.2,2,B,"bracketing variant, validate only, N=2, not deployed",0.8948,0.00039,0.26937,0.0112,0.857,0.1318,True,1081,0,True,,,,,,,964.0,0.00036,0.00035,0.00038
validate,0.3,1,A,"collaborator-scale arm, not deployed",0.86583,0.00052,0.20361,0.012,0.8018,0.1862,False,733,0,True,,,,,,,,,,
validate,0.3,2,A,"collaborator-scale arm, not deployed",0.89504,0.0005,0.35707,0.012,0.8018,0.1862,True,1081,0,True,0.02921,0.02916,0.02926,0.15347,0.15261,0.15435,,,,
validate,0.3,3,A,"collaborator-scale arm, not deployed",0.90089,0.00054,0.48351,0.012,0.8018,0.1862,True,1234,0,True,0.03506,0.035,0.03511,0.2799,0.27826,0.2816,,,,
validate,0.3,2,B,"bracketing variant, validate only, N=2, not deployed",0.89603,0.00046,0.35707,0.012,0.8018,0.1862,True,1081,0,True,,,,,,,964.0,0.00099,0.00097,0.00102
test,0.1,1,A,"collaborator-scale arm, not deployed",0.89148,0.00016,0.03548,0.0004,0.9863,0.0133,False,1089,119,True,,,,,,,,,,
