split,budget,channel,snr_db,view,stratum,n,f1_fixedL,f1_catosg,f1_oracle,gain_catosg_minus_L,ci_lo,ci_hi,rho_E,rho_L,rho_F,tercile_q1,tercile_q2
validate,0.1,awgn,16.0,reliable_awgn_16dB,easy,659,0.9581202746585735,0.9584739408194234,0.9682801578148711,0.0003536661608497724,0.0,0.0008047071320182095,0.0015174506828528073,0.9939301972685888,0.004552352048558422,0.829787,0.901961
validate,0.1,awgn,16.0,reliable_awgn_16dB,medium,655,0.866912038167939,0.8901641129770994,0.915039427480916,0.02325207480916031,0.020454336793893132,0.026121565190839698,0.0015267175572519084,0.6885496183206107,0.3099236641221374,0.829787,0.901961
validate,0.1,awgn,16.0,reliable_awgn_16dB,hard,666,0.7423909384384384,0.7779414954954956,0.7957995255255257,0.03555055705705706,0.03163470341591591,0.03952253156906907,0.016516516516516516,0.6486486486486487,0.33483483483483484,0.829787,0.901961
validate,0.2,awgn,16.0,reliable_awgn_16dB,easy,659,0.9581202746585735,0.9638923748103188,0.9682801578148711,0.005772100151745066,0.0046757626707132,0.0069642534522003,0.0030349013657056147,0.834597875569044,0.16236722306525037,0.829787,0.901961
validate,0.2,awgn,16.0,reliable_awgn_16dB,medium,655,0.866912038167939,0.9110297099236642,0.915039427480916,0.044117671755725195,0.041445596793893126,0.04679249316793893,0.0030534351145038168,0.2687022900763359,0.7282442748091603,0.829787,0.901961
validate,0.2,awgn,16.0,reliable_awgn_16dB,hard,666,0.7423909384384384,0.7893507507507509,0.7957995255255257,0.04695981231231231,0.04304839181681681,0.050864307394894885,0.013513513513513514,0.44894894894894893,0.5375375375375375,0.829787,0.901961
validate,0.3,awgn,16.0,reliable_awgn_16dB,easy,659,0.9581202746585735,0.9682801578148711,0.9682801578148711,0.010159883156297416,0.008756853983308041,0.011657448406676778,0.004552352048558422,0.661608497723824,0.3338391502276176,0.829787,0.901961
validate,0.3,awgn,16.0,reliable_awgn_16dB,medium,655,0.866912038167939,0.915039427480916,0.915039427480916,0.0481273893129771,0.04565878087786259,0.05065580786259542,0.0015267175572519084,0.13740458015267176,0.8610687022900764,0.829787,0.901961
validate,0.3,awgn,16.0,reliable_awgn_16dB,hard,666,0.7423909384384384,0.7957995255255257,0.7957995255255257,0.05340858708708708,0.049678349174174165,0.057185818055555546,0.0045045045045045045,0.2927927927927928,0.7027027027027027,0.829787,0.901961
test,0.1,awgn,16.0,reliable_awgn_16dB,easy,713,0.979621716690042,0.9794263955119216,0.9863681697054698,-0.00019532117812061733,-0.0007225494740532964,0.0002482580995792424,0.0,0.9831697054698457,0.016830294530154277,0.862745,0.9375
