split,budget,variant,label,n_features,F1,F1_std,payload,rho_E,rho_L,rho_F,over_budget,dF_vs_combined_mean,dF_vs_combined_lcb95,dF_vs_combined_ucb95,dB_vs_combined_mean,dB_vs_combined_lcb95,dB_vs_combined_ucb95
validate,0.1,channel_only,"labeled variant, not deployed",2,0.90673,0.0,0.024,0.0,1.0,0.0,False,-0.00435,-0.0044,-0.0043,-0.04457,-0.0451,-0.04405
validate,0.1,task_only,"labeled variant, not deployed",21,0.90715,0.0,0.02376,0.0101,0.9899,0.0,False,-0.00393,-0.00398,-0.00388,-0.04482,-0.04535,-0.04429
validate,0.1,combined,deployed (reference),23,0.91108,0.00037,0.06857,0.0092,0.9444,0.0464,False,,,,,,
validate,0.1,tau_reference,tau rule (reference),,0.90734,0.00022,0.07215,0.0,0.9502,0.0498,False,-0.00374,-0.00379,-0.00369,0.00357,0.00272,0.00441
validate,0.2,channel_only,"labeled variant, not deployed",2,0.90673,0.0,0.024,0.0,1.0,0.0,False,-0.00499,-0.00504,-0.00494,-0.07586,-0.07658,-0.07514
validate,0.2,task_only,"labeled variant, not deployed",21,0.90715,0.0,0.02376,0.0101,0.9899,0.0,False,-0.00457,-0.00462,-0.00452,-0.0761,-0.07682,-0.07538
validate,0.2,combined,deployed (reference),23,0.91172,0.00037,0.09986,0.0088,0.9124,0.0787,False,,,,,,
validate,0.2,tau_reference,tau rule (reference),,0.90927,0.00042,0.21663,0.0,0.8006,0.1994,True,-0.00244,-0.00249,-0.0024,0.11677,0.11562,0.11791
validate,0.3,channel_only,"labeled variant, not deployed",2,0.90975,0.00047,0.28874,0.0,0.7259,0.2741,False,-0.00331,-0.00335,-0.00328,0.13093,0.13003,0.13184
validate,0.3,task_only,"labeled variant, not deployed",21,0.90715,0.0,0.02376,0.0101,0.9899,0.0,False,-0.00592,-0.00598,-0.00587,-0.13405,-0.13496,-0.13314
validate,0.3,combined,deployed (reference),23,0.91307,0.00039,0.15781,0.0076,0.8537,0.1387,False,,,,,,
validate,0.3,tau_reference,tau rule (reference),,0.9087,0.00054,0.31267,0.0,0.7012,0.2988,True,-0.00437,-0.00442,-0.00433,0.15486,0.15388,0.15585
test,0.1,channel_only,"labeled variant, not deployed",2,0.90113,0.0,0.024,0.0,1.0,0.0,False,-0.00213,-0.00221,-0.00204,-0.04398,-0.04453,-0.04343
test,0.1,task_only,"labeled variant, not deployed",21,0.90113,0.0,0.024,0.0,1.0,0.0,False,-0.00213,-0.00221,-0.00204,-0.04398,-0.04453,-0.04343
