rank,candidate_index,lambda,oof_f1,oof_payload,frozen_validate_f1,frozen_validate_payload,budget_passed
0,0,0.0,0.85802,0.188194,0.8633,0.287455,0
1,1,0.02,0.85802,0.188194,0.8633,0.287455,0
2,14,0.0,0.85802,0.188194,0.8633,0.287455,0
3,15,0.02,0.85802,0.188194,0.8633,0.287455,0
4,28,0.0,0.85802,0.188194,0.8633,0.287455,0
5,29,0.02,0.85802,0.188194,0.8633,0.287455,0
6,42,0.0,0.85802,0.188194,0.8633,0.287455,0
7,43,0.02,0.85802,0.188194,0.8633,0.287455,0
8,56,0.0,0.85802,0.188194,0.8633,0.287455,0
9,57,0.02,0.85802,0.188194,0.8633,0.287455,0
10,70,0.0,0.85802,0.188194,0.8633,0.287455,0
11,71,0.02,0.85802,0.188194,0.8633,0.287455,0
12,84,0.0,0.85802,0.188194,0.8633,0.287455,0
13,85,0.02,0.85802,0.188194,0.8633,0.287455,0
14,98,0.0,0.85802,0.188194,0.8633,0.287455,0
15,99,0.02,0.85802,0.188194,0.8633,0.287455,0
16,2,0.05,0.855384,0.024,0.8554,0.024,1
