split,budget,snr_dist,policy,F1,F1_std,payload,rho_feature
validate,0.1,uniform,RF,0.86106,0.00042,0.08058,0.0588
validate,0.1,uniform,tau,0.85669,0.00027,0.06758,
validate,0.1,beta25_lowskew,RF,0.85737,0.00027,0.04051,0.0174
validate,0.1,beta25_lowskew,tau,0.85538,0.0,0.024,
validate,0.1,truncgauss_10_5,RF,0.86143,0.00043,0.0845,0.0629
validate,0.1,truncgauss_10_5,tau,0.8556,0.00011,0.03061,
validate,0.2,uniform,RF,0.86454,0.00053,0.14969,0.1304
validate,0.2,uniform,tau,0.86065,0.00048,0.19898,
validate,0.2,beta25_lowskew,RF,0.8585,0.00032,0.06293,0.0406
validate,0.2,beta25_lowskew,tau,0.85571,0.00014,0.03467,
validate,0.2,truncgauss_10_5,RF,0.86518,0.00053,0.15902,0.1401
validate,0.2,truncgauss_10_5,tau,0.8592,0.00044,0.15094,
validate,0.3,uniform,RF,0.86618,0.00052,0.20082,0.1833
validate,0.3,uniform,tau,0.86328,0.0006,0.28652,
validate,0.3,beta25_lowskew,RF,0.85935,0.00033,0.09259,0.0714
validate,0.3,beta25_lowskew,tau,0.85774,0.00037,0.10246,
validate,0.3,truncgauss_10_5,RF,0.86707,0.00054,0.21998,0.2032
validate,0.3,truncgauss_10_5,tau,0.86382,0.00061,0.30442,
test,0.1,uniform,RF,0.89147,0.00016,0.0366,0.0131
test,0.1,uniform,tau,0.89232,0.0004,0.06777,
test,0.1,beta25_lowskew,RF,0.89109,9e-05,0.02735,0.0035
test,0.1,beta25_lowskew,tau,0.89095,1e-05,0.024,
test,0.1,truncgauss_10_5,RF,0.89149,0.00017,0.03701,0.0135
test,0.1,truncgauss_10_5,tau,0.89118,0.00017,0.03073,
test,0.2,uniform,RF,0.89701,0.00071,0.14036,0.1205
test,0.2,uniform,tau,0.89644,0.00071,0.19915,
test,0.2,beta25_lowskew,RF,0.89279,0.00043,0.05878,0.036
test,0.2,beta25_lowskew,tau,0.8913,0.00019,0.03467,
test,0.2,truncgauss_10_5,RF,0.89742,0.0007,0.14789,0.1283
test,0.2,truncgauss_10_5,tau,0.89494,0.00059,0.15127,
test,0.3,uniform,RF,0.89798,0.00077,0.209,0.1915
test,0.3,uniform,tau,0.89921,0.0008,0.28621,
test,0.3,beta25_lowskew,RF,0.89308,0.00047,0.08308,0.0612
test,0.3,beta25_lowskew,tau,0.89344,0.00049,0.10322,
test,0.3,truncgauss_10_5,RF,0.89842,0.00077,0.22233,0.2053
test,0.3,truncgauss_10_5,tau,0.89977,0.00081,0.3043,
culver,0.1,uniform,RF,0.84667,5e-05,0.02441,0.0004
culver,0.1,uniform,tau,0.84928,0.00077,0.06713,
culver,0.1,beta25_lowskew,RF,0.84664,0.0,0.024,0.0
culver,0.1,beta25_lowskew,tau,0.84664,0.0,0.024,
culver,0.1,truncgauss_10_5,RF,0.84665,3e-05,0.02419,0.0002
culver,0.1,truncgauss_10_5,tau,0.84707,0.00031,0.03096,
culver,0.2,uniform,RF,0.84977,0.00071,0.06706,0.0446
culver,0.2,uniform,tau,0.85743,0.00138,0.19937,
culver,0.2,beta25_lowskew,RF,0.8476,0.00041,0.03705,0.0135
culver,0.2,beta25_lowskew,tau,0.84731,0.00039,0.035,
culver,0.2,truncgauss_10_5,RF,0.85,0.00071,0.07032,0.048
culver,0.2,truncgauss_10_5,tau,0.8544,0.00124,0.15102,
culver,0.3,uniform,RF,0.85945,0.00158,0.1806,0.1621
culver,0.3,uniform,tau,0.8629,0.00163,0.28773,
culver,0.3,beta25_lowskew,RF,0.85041,0.00097,0.07077,0.0484
culver,0.3,beta25_lowskew,tau,0.85145,0.00105,0.1028,
culver,0.3,truncgauss_10_5,RF,0.86032,0.00157,0.19078,0.1726
culver,0.3,truncgauss_10_5,tau,0.86407,0.00167,0.30648,
