split,budget,bler_L,policy,F1,F1_std,payload,rho_feature
validate,0.1,0.0,RF,0.86106,0.00042,0.08058,0.0588
validate,0.1,0.01,RF,0.85992,0.00042,0.08058,0.0588
validate,0.1,0.05,RF,0.85534,0.00044,0.08058,0.0588
validate,0.1,0.1,RF,0.84961,0.00046,0.08058,0.0588
validate,0.2,0.0,RF,0.86454,0.00053,0.14969,0.1304
validate,0.2,0.01,RF,0.86348,0.00053,0.14969,0.1304
validate,0.2,0.05,RF,0.85923,0.00056,0.14969,0.1304
validate,0.2,0.1,RF,0.85391,0.00059,0.14969,0.1304
validate,0.3,0.0,RF,0.86618,0.00052,0.20082,0.1833
validate,0.3,0.01,RF,0.86518,0.00053,0.20082,0.1833
validate,0.3,0.05,RF,0.86119,0.00055,0.20082,0.1833
validate,0.3,0.1,RF,0.85619,0.00059,0.20082,0.1833
test,0.1,0.0,RF,0.89147,0.00016,0.0366,0.0131
test,0.1,0.01,RF,0.89075,0.00016,0.0366,0.0131
test,0.1,0.05,RF,0.88786,0.00016,0.0366,0.0131
test,0.1,0.1,RF,0.88424,0.00017,0.0366,0.0131
test,0.2,0.0,RF,0.89701,0.00071,0.14036,0.1205
test,0.2,0.01,RF,0.89638,0.00071,0.14036,0.1205
test,0.2,0.05,RF,0.89384,0.00071,0.14036,0.1205
test,0.2,0.1,RF,0.89066,0.00072,0.14036,0.1205
test,0.3,0.0,RF,0.89798,0.00077,0.209,0.1915
test,0.3,0.01,RF,0.8974,0.00077,0.209,0.1915
test,0.3,0.05,RF,0.89506,0.00077,0.209,0.1915
test,0.3,0.1,RF,0.89213,0.00077,0.209,0.1915
culver,0.1,0.0,RF,0.84667,5e-05,0.02441,0.0004
culver,0.1,0.01,RF,0.84589,5e-05,0.02441,0.0004
culver,0.1,0.05,RF,0.84279,5e-05,0.02441,0.0004
culver,0.1,0.1,RF,0.83891,6e-05,0.02441,0.0004
culver,0.2,0.0,RF,0.84977,0.00071,0.06706,0.0446
culver,0.2,0.01,RF,0.84902,0.00071,0.06706,0.0446
culver,0.2,0.05,RF,0.84602,0.00072,0.06706,0.0446
culver,0.2,0.1,RF,0.84228,0.00073,0.06706,0.0446
culver,0.3,0.0,RF,0.85945,0.00158,0.1806,0.1621
culver,0.3,0.01,RF,0.85881,0.00159,0.1806,0.1621
culver,0.3,0.05,RF,0.85626,0.00163,0.1806,0.1621
culver,0.3,0.1,RF,0.85307,0.00168,0.1806,0.1621
