qam,channel,esno_db,bler_cw,k,harq,n_cw_per_fragment,q_fragment,bler_frame,payload_factor,feasible
16,awgn,0.0,1.0,1,0,3960,1.0,1.0,1.0,False
16,awgn,0.0,1.0,1,1,3960,1.0,1.0,2.0,False
16,awgn,0.0,1.0,2,0,1980,1.0,1.0,1.0,False
16,awgn,0.0,1.0,2,1,1980,1.0,1.0,2.0,False
16,awgn,0.0,1.0,4,0,990,1.0,1.0,1.0,False
16,awgn,0.0,1.0,4,1,990,1.0,1.0,2.0,False
16,awgn,2.0,1.0,1,0,3960,1.0,1.0,1.0,False
16,awgn,2.0,1.0,1,1,3960,1.0,1.0,2.0,False
16,awgn,2.0,1.0,2,0,1980,1.0,1.0,1.0,False
16,awgn,2.0,1.0,2,1,1980,1.0,1.0,2.0,False
16,awgn,2.0,1.0,4,0,990,1.0,1.0,1.0,False
16,awgn,2.0,1.0,4,1,990,1.0,1.0,2.0,False
16,awgn,4.0,1.0,1,0,3960,1.0,1.0,1.0,False
16,awgn,4.0,1.0,1,1,3960,1.0,1.0,2.0,False
16,awgn,4.0,1.0,2,0,1980,1.0,1.0,1.0,False
16,awgn,4.0,1.0,2,1,1980,1.0,1.0,2.0,False
16,awgn,4.0,1.0,4,0,990,1.0,1.0,1.0,False
16,awgn,4.0,1.0,4,1,990,1.0,1.0,2.0,False
16,awgn,5.0,0.9995,1,0,3960,1.0,1.0,1.0,False
16,awgn,5.0,0.9995,1,1,3960,1.0,1.0,2.0,False
16,awgn,5.0,0.9995,2,0,1980,1.0,1.0,1.0,False
16,awgn,5.0,0.9995,2,1,1980,1.0,1.0,2.0,False
16,awgn,5.0,0.9995,4,0,990,1.0,1.0,1.0,False
16,awgn,5.0,0.9995,4,1,990,1.0,1.0,2.0,False
16,awgn,5.5,0.981,1,0,3960,1.0,1.0,1.0,False
16,awgn,5.5,0.981,1,1,3960,1.0,1.0,2.0,False
16,awgn,5.5,0.981,2,0,1980,1.0,1.0,1.0,False
16,awgn,5.5,0.981,2,1,1980,1.0,1.0,2.0,False
16,awgn,5.5,0.981,4,0,990,1.0,1.0,1.0,False
16,awgn,5.5,0.981,4,1,990,1.0,1.0,2.0,False
16,awgn,6.0,0.7465,1,0,3960,1.0,1.0,1.0,False
16,awgn,6.0,0.7465,1,1,3960,1.0,1.0,2.0,False
16,awgn,6.0,0.7465,2,0,1980,1.0,1.0,1.0,False
16,awgn,6.0,0.7465,2,1,1980,1.0,1.0,2.0,False
16,awgn,6.0,0.7465,4,0,990,1.0,1.0,1.0,False
16,awgn,6.0,0.7465,4,1,990,1.0,1.0,2.0,False
16,awgn,6.5,0.271,1,0,3960,1.0,1.0,1.0,False
16,awgn,6.5,0.271,1,1,3960,1.0,1.0,2.0,False
16,awgn,6.5,0.271,2,0,1980,1.0,1.0,1.0,False
16,awgn,6.5,0.271,2,1,1980,1.0,1.0,2.0,False
16,awgn,6.5,0.271,4,0,990,1.0,1.0,1.0,False
16,awgn,6.5,0.271,4,1,990,1.0,1.0,2.0,False
16,awgn,7.0,0.041,1,0,3960,1.0,1.0,1.0,False
16,awgn,7.0,0.041,1,1,3960,1.0,1.0,2.0,False
16,awgn,7.0,0.041,2,0,1980,1.0,1.0,1.0,False
16,awgn,7.0,0.041,2,1,1980,1.0,1.0,2.0,False
16,awgn,7.0,0.041,4,0,990,1.0,1.0,1.0,False
16,awgn,7.0,0.041,4,1,990,1.0,1.0,2.0,False
16,awgn,8.0,0.00013,1,0,3960,0.4024,0.4024,1.0,True
16,awgn,8.0,0.00013,1,1,3960,0.161926,0.161926,1.4024,True
16,awgn,8.0,0.00013,2,0,1980,0.226954,0.4024,1.0,True
16,awgn,8.0,0.00013,2,1,1980,0.051508,0.100363,1.226954,True
16,awgn,8.0,0.00013,4,0,990,0.12077,0.4024,1.0,True
16,awgn,8.0,0.00013,4,1,990,0.014585,0.057077,1.12077,True
16,awgn,10.0,0.0,1,0,3960,0.0,0.0,1.0,True
16,awgn,10.0,0.0,1,1,3960,0.0,0.0,1.0,True
16,awgn,10.0,0.0,2,0,1980,0.0,0.0,1.0,True
16,awgn,10.0,0.0,2,1,1980,0.0,0.0,1.0,True
16,awgn,10.0,0.0,4,0,990,0.0,0.0,1.0,True
16,awgn,10.0,0.0,4,1,990,0.0,0.0,1.0,True
16,awgn,12.0,0.0,1,0,3960,0.0,0.0,1.0,True
16,awgn,12.0,0.0,1,1,3960,0.0,0.0,1.0,True
16,awgn,12.0,0.0,2,0,1980,0.0,0.0,1.0,True
16,awgn,12.0,0.0,2,1,1980,0.0,0.0,1.0,True
16,awgn,12.0,0.0,4,0,990,0.0,0.0,1.0,True
16,awgn,12.0,0.0,4,1,990,0.0,0.0,1.0,True
16,awgn,16.0,0.0,1,0,3960,0.0,0.0,1.0,True
16,awgn,16.0,0.0,1,1,3960,0.0,0.0,1.0,True
16,awgn,16.0,0.0,2,0,1980,0.0,0.0,1.0,True
16,awgn,16.0,0.0,2,1,1980,0.0,0.0,1.0,True
16,awgn,16.0,0.0,4,0,990,0.0,0.0,1.0,True
16,awgn,16.0,0.0,4,1,990,0.0,0.0,1.0,True
16,awgn,20.0,0.0,1,0,3960,0.0,0.0,1.0,True
16,awgn,20.0,0.0,1,1,3960,0.0,0.0,1.0,True
16,awgn,20.0,0.0,2,0,1980,0.0,0.0,1.0,True
16,awgn,20.0,0.0,2,1,1980,0.0,0.0,1.0,True
16,awgn,20.0,0.0,4,0,990,0.0,0.0,1.0,True
16,awgn,20.0,0.0,4,1,990,0.0,0.0,1.0,True
16,rayleigh,0.0,0.9835,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,0.0,0.9835,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,0.0,0.9835,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,0.0,0.9835,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,0.0,0.9835,4,0,990,1.0,1.0,1.0,False
16,rayleigh,0.0,0.9835,4,1,990,1.0,1.0,2.0,False
16,rayleigh,2.0,0.9385,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,2.0,0.9385,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,2.0,0.9385,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,2.0,0.9385,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,2.0,0.9385,4,0,990,1.0,1.0,1.0,False
16,rayleigh,2.0,0.9385,4,1,990,1.0,1.0,2.0,False
16,rayleigh,3.0,0.8835,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,3.0,0.8835,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,3.0,0.8835,2,0,1980,1.0,1.0,1.0,False
