split,budget,bler_L,F1_RF,F1_tau,F1_FixedL,B_RF,B_tau,dF_mean,dF_lcb95,dF_ucb95,payload_reduction
validate,0.1,0.0,0.86101,0.85683,0.85538,0.08102,0.07215,0.00418,0.00412,0.00424,-0.12299
validate,0.1,0.01,0.85986,0.85569,0.85419,0.08102,0.07215,0.00417,0.00411,0.00423,-0.12299
validate,0.1,0.05,0.85528,0.85115,0.84941,0.08102,0.07215,0.00414,0.00407,0.0042,-0.12299
validate,0.1,0.1,0.84956,0.84546,0.84343,0.08102,0.07215,0.0041,0.00403,0.00416,-0.12299
validate,0.2,0.0,0.8644,0.86119,0.85538,0.15106,0.21663,0.00321,0.00315,0.00326,0.30268
validate,0.2,0.01,0.86334,0.86024,0.85419,0.15106,0.21663,0.0031,0.00305,0.00316,0.30268
validate,0.2,0.05,0.85909,0.85641,0.84941,0.15106,0.21663,0.00269,0.00263,0.00274,0.30268
validate,0.2,0.1,0.85378,0.85162,0.84343,0.15106,0.21663,0.00217,0.00211,0.00223,0.30268
validate,0.3,0.0,0.86583,0.86259,0.85538,0.20361,0.31267,0.00324,0.0032,0.00328,0.34882
validate,0.3,0.01,0.86483,0.86175,0.85419,0.20361,0.31267,0.00309,0.00305,0.00313,0.34882
validate,0.3,0.05,0.86085,0.85839,0.84941,0.20361,0.31267,0.00246,0.00242,0.0025,0.34882
validate,0.3,0.1,0.85587,0.8542,0.84343,0.20361,0.31267,0.00167,0.00164,0.00171,0.34882
test,0.1,0.0,0.89148,0.89247,0.89095,0.0368,0.0724,-0.00099,-0.00105,-0.00093,0.49173
test,0.1,0.01,0.89076,0.89177,0.89022,0.0368,0.0724,-0.00102,-0.00108,-0.00095,0.49173
test,0.1,0.05,0.88786,0.88899,0.88728,0.0368,0.0724,-0.00112,-0.00118,-0.00106,0.49173
test,0.1,0.1,0.88425,0.8855,0.88361,0.0368,0.0724,-0.00126,-0.00132,-0.00119,0.49173
test,0.2,0.0,0.89691,0.89701,0.89095,0.14141,0.21679,-0.0001,-0.00018,-2e-05,0.34773
test,0.2,0.01,0.89628,0.89643,0.89022,0.14141,0.21679,-0.00015,-0.00022,-7e-05,0.34773
test,0.2,0.05,0.89374,0.89407,0.88728,0.14141,0.21679,-0.00033,-0.00041,-0.00025,0.34773
test,0.2,0.1,0.89057,0.89113,0.88361,0.14141,0.21679,-0.00056,-0.00064,-0.00048,0.34773
test,0.3,0.0,0.89783,0.899,0.89095,0.21196,0.3125,-0.00117,-0.00122,-0.00112,0.32171
test,0.3,0.01,0.89725,0.89849,0.89022,0.21196,0.3125,-0.00123,-0.00128,-0.00118,0.32171
test,0.3,0.05,0.89492,0.89642,0.88728,0.21196,0.3125,-0.0015,-0.00155,-0.00145,0.32171
test,0.3,0.1,0.89201,0.89385,0.88361,0.21196,0.3125,-0.00184,-0.00189,-0.00179,0.32171
culver,0.1,0.0,0.84667,0.84956,0.84664,0.02437,0.07176,-0.0029,-0.00301,-0.00279,0.66039
culver,0.1,0.01,0.84589,0.84882,0.84587,0.02437,0.07176,-0.00293,-0.00304,-0.00282,0.66039
culver,0.1,0.05,0.84279,0.84587,0.84276,0.02437,0.07176,-0.00308,-0.0032,-0.00297,0.66039
culver,0.1,0.1,0.83891,0.84218,0.83888,0.02437,0.07176,-0.00327,-0.00339,-0.00316,0.66039
culver,0.2,0.0,0.84975,0.85858,0.84664,0.06751,0.2174,-0.00883,-0.00902,-0.00865,0.68945
culver,0.2,0.01,0.849,0.85795,0.84587,0.06751,0.2174,-0.00896,-0.00914,-0.00877,0.68945
culver,0.2,0.05,0.846,0.85547,0.84276,0.06751,0.2174,-0.00947,-0.00966,-0.00928,0.68945
culver,0.2,0.1,0.84225,0.85236,0.83888,0.06751,0.2174,-0.01011,-0.0103,-0.00991,0.68945
culver,0.3,0.0,0.85932,0.86316,0.84664,0.18226,0.31463,-0.00384,-0.00393,-0.00375,0.42072
culver,0.3,0.01,0.85869,0.86262,0.84587,0.18226,0.31463,-0.00393,-0.00402,-0.00384,0.42072
culver,0.3,0.05,0.85614,0.86044,0.84276,0.18226,0.31463,-0.0043,-0.0044,-0.00421,0.42072
culver,0.3,0.1,0.85296,0.85773,0.83888,0.18226,0.31463,-0.00477,-0.00487,-0.00467,0.42072
