split,budget,k,harq,policy,F1,payload,dF_vs_no_harq,dB_vs_no_harq
validate,0.1,1,0,RF,0.86101,0.08102,0.0,0.0
validate,0.1,1,0,tau,0.85683,0.07215,0.0,0.0
validate,0.1,1,0,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.1,2,0,RF,0.86101,0.08102,0.0,0.0
validate,0.1,2,0,tau,0.85683,0.07215,0.0,0.0
validate,0.1,2,0,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.1,4,0,RF,0.86101,0.08102,0.0,0.0
validate,0.1,4,0,tau,0.85683,0.07215,0.0,0.0
validate,0.1,4,0,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.1,1,1,RF,0.86107,0.08156,6e-05,0.00054
validate,0.1,1,1,tau,0.85683,0.07215,0.0,0.0
validate,0.1,1,1,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.1,2,1,RF,0.86108,0.08133,7e-05,0.00031
validate,0.1,2,1,tau,0.85683,0.07215,0.0,0.0
validate,0.1,2,1,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.1,4,1,RF,0.86109,0.08118,8e-05,0.00016
validate,0.1,4,1,tau,0.85683,0.07215,0.0,0.0
validate,0.1,4,1,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.2,1,0,RF,0.8644,0.15106,0.0,0.0
validate,0.2,1,0,tau,0.86119,0.21663,0.0,0.0
validate,0.2,1,0,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.2,2,0,RF,0.8644,0.15106,0.0,0.0
validate,0.2,2,0,tau,0.86119,0.21663,0.0,0.0
validate,0.2,2,0,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.2,4,0,RF,0.8644,0.15106,0.0,0.0
validate,0.2,4,0,tau,0.86119,0.21663,0.0,0.0
validate,0.2,4,0,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.2,1,1,RF,0.86456,0.15295,0.00016,0.00189
validate,0.2,1,1,tau,0.86119,0.21663,0.0,0.0
validate,0.2,1,1,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.2,2,1,RF,0.8646,0.15229,0.0002,0.00123
validate,0.2,2,1,tau,0.86119,0.21663,0.0,0.0
validate,0.2,2,1,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.2,4,1,RF,0.86463,0.15189,0.00023,0.00083
validate,0.2,4,1,tau,0.86119,0.21663,0.0,0.0
validate,0.2,4,1,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.3,1,0,RF,0.86583,0.20361,0.0,0.0
validate,0.3,1,0,tau,0.86259,0.31267,0.0,0.0
validate,0.3,1,0,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.3,2,0,RF,0.86583,0.20361,0.0,0.0
validate,0.3,2,0,tau,0.86259,0.31267,0.0,0.0
validate,0.3,2,0,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.3,4,0,RF,0.86583,0.20361,0.0,0.0
validate,0.3,4,0,tau,0.86259,0.31267,0.0,0.0
validate,0.3,4,0,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.3,1,1,RF,0.86628,0.21164,0.00045,0.00803
validate,0.3,1,1,tau,0.86347,0.32259,0.00088,0.00992
validate,0.3,1,1,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.3,2,1,RF,0.86639,0.20956,0.00056,0.00595
validate,0.3,2,1,tau,0.8637,0.31826,0.00111,0.00559
validate,0.3,2,1,Fixed-L,0.85538,0.024,0.0,0.0
validate,0.3,4,1,RF,0.86647,0.20829,0.00064,0.00468
