split,budget,rician_K,policy,F1,F1_std,payload,rho_feature
validate,0.1,0.0,RF,0.90715,0.0,0.02376,0.0
validate,0.2,0.0,RF,0.90715,0.0,0.02376,0.0
validate,0.3,0.0,RF,0.90715,0.0,0.02376,0.0
validate,0.1,3.0,RF,0.90715,0.0,0.02376,0.0
validate,0.2,3.0,RF,0.90715,0.0,0.02376,0.0
validate,0.3,3.0,RF,0.90715,0.0,0.02376,0.0
validate,0.1,10.0,RF,0.90715,0.0,0.02376,0.0
validate,0.2,10.0,RF,0.90715,0.0,0.02376,0.0
validate,0.3,10.0,RF,0.90715,0.0,0.02376,0.0
test,0.1,0.0,RF,0.90045,0.00024,0.02385,0.0
test,0.2,0.0,RF,0.90113,0.0,0.02398,0.0
test,0.3,0.0,RF,0.90113,0.0,0.02397,0.0
test,0.1,3.0,RF,0.90045,0.00024,0.02385,0.0
test,0.2,3.0,RF,0.90113,0.0,0.02398,0.0
test,0.3,3.0,RF,0.90113,0.0,0.02397,0.0
test,0.1,10.0,RF,0.90045,0.00024,0.02385,0.0
test,0.2,10.0,RF,0.90113,0.0,0.02398,0.0
test,0.3,10.0,RF,0.90113,0.0,0.02397,0.0
culver,0.1,0.0,RF,0.87216,0.0,0.024,0.0
culver,0.2,0.0,RF,0.87216,0.0,0.024,0.0
culver,0.3,0.0,RF,0.87216,0.0,0.024,0.0
culver,0.1,3.0,RF,0.87216,0.0,0.024,0.0
culver,0.2,3.0,RF,0.87216,0.0,0.024,0.0
culver,0.3,3.0,RF,0.87216,0.0,0.024,0.0
culver,0.1,10.0,RF,0.87216,0.0,0.024,0.0
culver,0.2,10.0,RF,0.87216,0.0,0.024,0.0
culver,0.3,10.0,RF,0.87216,0.0,0.024,0.0
