budget,experiment,setting,f1,payload,dF1
0.1,baseline,0,0.89148,0.0368,0.0
0.1,snr_noise,sigma=0.5dB,0.89148,0.03681,-0.0
0.1,snr_noise,sigma=1.0dB,0.89147,0.03677,-1e-05
0.1,snr_noise,sigma=2.0dB,0.89143,0.03682,-5e-05
0.1,snr_noise,sigma=5.0dB,0.89129,0.03676,-0.00019
0.1,csi_aging,"10ms (rho=0.109, sigma=5.96dB)",0.89124,0.03669,-0.00024
0.1,csi_aging,"20ms (rho=-0.107, sigma=5.97dB)",0.89124,0.03669,-0.00024
0.1,csi_aging,"50ms (rho=0.012, sigma=6.00dB)",0.89124,0.03668,-0.00024
0.1,decision_staleness,1 frame(s) stale (changed 2.2% of decisions),0.89033,0.0368,-0.00115
0.1,decision_staleness,2 frame(s) stale (changed 2.2% of decisions),0.89032,0.0368,-0.00116
0.1,decision_staleness,5 frame(s) stale (changed 2.3% of decisions),0.89031,0.0368,-0.00117
0.2,baseline,0,0.89691,0.14141,0.0
0.2,snr_noise,sigma=0.5dB,0.89688,0.14134,-3e-05
0.2,snr_noise,sigma=1.0dB,0.89676,0.14145,-0.00015
0.2,snr_noise,sigma=2.0dB,0.89635,0.14143,-0.00056
0.2,snr_noise,sigma=5.0dB,0.89482,0.14114,-0.0021
0.2,csi_aging,"10ms (rho=0.109, sigma=5.96dB)",0.89438,0.14066,-0.00254
0.2,csi_aging,"20ms (rho=-0.107, sigma=5.97dB)",0.89438,0.14065,-0.00254
0.2,csi_aging,"50ms (rho=0.012, sigma=6.00dB)",0.89436,0.14066,-0.00256
0.2,decision_staleness,1 frame(s) stale (changed 18.2% of decisions),0.88597,0.14143,-0.01094
0.2,decision_staleness,2 frame(s) stale (changed 18.2% of decisions),0.88607,0.14142,-0.01084
0.2,decision_staleness,5 frame(s) stale (changed 18.6% of decisions),0.88619,0.14141,-0.01073
0.3,baseline,0,0.89783,0.21197,0.0
0.3,snr_noise,sigma=0.5dB,0.89777,0.21177,-6e-05
0.3,snr_noise,sigma=1.0dB,0.8976,0.21194,-0.00023
0.3,snr_noise,sigma=2.0dB,0.89706,0.21188,-0.00078
0.3,snr_noise,sigma=5.0dB,0.89496,0.21109,-0.00287
0.3,csi_aging,"10ms (rho=0.109, sigma=5.96dB)",0.89437,0.21003,-0.00346
0.3,csi_aging,"20ms (rho=-0.107, sigma=5.97dB)",0.89437,0.21003,-0.00346
0.3,csi_aging,"50ms (rho=0.012, sigma=6.00dB)",0.89435,0.21002,-0.00349
0.3,decision_staleness,1 frame(s) stale (changed 28.5% of decisions),0.88251,0.21199,-0.01532
0.3,decision_staleness,2 frame(s) stale (changed 28.6% of decisions),0.8827,0.21198,-0.01513
0.3,decision_staleness,5 frame(s) stale (changed 28.9% of decisions),0.88293,0.21197,-0.0149
