split,tau,oracle_acc,realised_f1,payload
validate,0,0.5864,0.6525,0.2657
test,0,0.5756,0.6715,0.2649
validate,2,0.6409,0.6995,0.24
test,2,0.6327,0.7224,0.238
validate,4,0.6929,0.7454,0.2155
test,4,0.6862,0.7694,0.2128
validate,6,0.7424,0.7887,0.1922
test,6,0.735,0.8126,0.1898
validate,8,0.798,0.832,0.166
test,8,0.7889,0.8562,0.1644
validate,10,0.8465,0.8569,0.1432
test,10,0.8364,0.8813,0.1421
validate,12,0.8955,0.8651,0.1177
test,12,0.8802,0.8896,0.1167
validate,14,0.9071,0.8659,0.0956
test,14,0.8885,0.8894,0.0941
validate,16,0.8985,0.8649,0.0701
test,16,0.8922,0.8889,0.072
validate,18,0.9005,0.8642,0.0468
test,18,0.8917,0.8879,0.0483
validate,20,0.8944,0.8636,0.024
test,20,0.8945,0.8867,0.024
