frame,n_cav,has_collab,n_box_p0.0,f1_p0.0,n_box_p0.001,f1_p0.001,lost_elem_frac_p0.001,lost_cw_p0.001,n_box_p0.01,f1_p0.01,lost_elem_frac_p0.01,lost_cw_p0.01,n_box_p0.05,f1_p0.05,lost_elem_frac_p0.05,lost_cw_p0.05,n_box_p0.1,f1_p0.1,lost_elem_frac_p0.1,lost_cw_p0.1,n_box_p0.25,f1_p0.25,lost_elem_frac_p0.25,lost_cw_p0.25,n_box_p0.5,f1_p0.5,lost_elem_frac_p0.5,lost_cw_p0.5
0,2,1,12,0.9565217391304348,12,0.9565217391304348,0.000597,8,12,0.8695652173913043,0.010824,135,12,0.9565217391304348,0.048608,607,11,0.9090909090909091,0.103589,1287,12,0.9565217391304348,0.246349,3076,11,0.9090909090909091,0.505064,6318
1,2,1,12,0.9565217391304348,12,0.9565217391304348,0.000821,10,12,0.9565217391304348,0.010024,129,11,1.0,0.053022,664,11,1.0,0.103759,1294,11,1.0,0.254531,3172,11,0.9090909090909091,0.504214,6306
2,2,1,12,0.9565217391304348,12,0.9565217391304348,0.002077,25,12,0.9565217391304348,0.008833,113,12,0.9565217391304348,0.051755,641,12,0.9565217391304348,0.101058,1256,11,0.9090909090909091,0.246338,3092,9,0.9,0.499639,6270
3,2,1,13,0.9166666666666666,13,0.9166666666666666,0.000992,12,13,0.9166666666666666,0.009916,125,13,0.9166666666666666,0.051683,646,13,0.9166666666666666,0.096809,1216,13,0.9166666666666666,0.253086,3144,11,0.9090909090909091,0.507991,6367
4,2,1,11,1.0,11,1.0,0.00165,20,12,0.9565217391304348,0.009761,122,11,1.0,0.049205,607,11,1.0,0.101664,1262,11,1.0,0.251304,3139,11,0.9090909090909091,0.499765,6261
5,2,1,11,1.0,11,1.0,0.000969,13,11,1.0,0.010675,133,11,1.0,0.055277,686,11,1.0,0.099146,1229,10,0.9523809523809523,0.254107,3178,10,0.8571428571428572,0.503057,6294
6,2,1,11,1.0,11,1.0,0.000682,9,11,1.0,0.00994,123,11,1.0,0.053722,668,10,0.9523809523809523,0.09967,1249,11,0.9090909090909091,0.255118,3172,12,0.8695652173913043,0.502499,6279
7,2,1,11,1.0,11,1.0,0.001023,14,11,1.0,0.009562,123,11,1.0,0.049383,622,11,1.0,0.095846,1195,11,1.0,0.253045,3159,10,0.8571428571428572,0.497419,6235
8,2,1,11,1.0,11,1.0,0.000651,8,10,0.9523809523809523,0.009793,122,11,1.0,0.047204,591,11,1.0,0.103179,1283,11,1.0,0.249475,3120,12,0.9565217391304348,0.495683,6202
9,2,1,11,1.0,11,1.0,0.000597,7,11,1.0,0.009701,124,11,1.0,0.0552,681,11,1.0,0.106476,1327,11,1.0,0.250745,3133,13,0.8333333333333333,0.505062,6318
10,2,1,13,0.9166666666666666,13,0.9166666666666666,0.001395,17,13,0.9166666666666666,0.009877,121,13,0.9166666666666666,0.051917,654,13,0.9166666666666666,0.099029,1242,13,0.9166666666666666,0.253933,3174,13,0.8333333333333333,0.500456,6264
11,2,1,14,0.962962962962963,14,0.962962962962963,0.001333,16,14,0.962962962962963,0.010421,126,14,0.888888888888889,0.048512,608,15,0.8571428571428571,0.102255,1274,15,0.7857142857142856,0.2503,3122,14,0.888888888888889,0.502396,6288
12,2,1,12,0.9600000000000001,12,0.9600000000000001,0.001023,12,12,0.9600000000000001,0.008221,101,12,0.9600000000000001,0.053697,665,12,0.9600000000000001,0.101388,1256,13,0.8461538461538461,0.251193,3135,13,0.9230769230769231,0.50753,6348
13,2,1,13,0.9230769230769231,13,0.9230769230769231,0.000852,10,13,0.9230769230769231,0.009544,118,13,0.9230769230769231,0.049539,624,13,0.9230769230769231,0.100873,1260,13,0.9230769230769231,0.251774,3160,13,0.8461538461538461,0.505046,6317
14,2,1,13,0.9230769230769231,13,0.9230769230769231,0.000767,9,13,0.9230769230769231,0.009647,121,13,0.9230769230769231,0.053463,664,13,0.8461538461538461,0.099876,1248,12,0.8799999999999999,0.254003,3168,12,0.8799999999999999,0.498697,6236
15,2,1,12,0.9600000000000001,12,0.9600000000000001,0.001247,15,12,0.9600000000000001,0.009513,116,12,0.9600000000000001,0.053604,665,12,0.9600000000000001,0.103278,1283,13,0.9230769230769231,0.249284,3107,12,0.8799999999999999,0.502551,6291
16,2,1,13,0.9230769230769231,13,0.9230769230769231,0.000775,11,13,0.9230769230769231,0.009367,118,13,0.9230769230769231,0.046184,578,14,0.888888888888889,0.102235,1273,14,0.8148148148148148,0.250049,3136,14,0.8148148148148148,0.508515,6359
17,2,1,12,0.9600000000000001,12,0.9600000000000001,0.000852,10,12,0.9600000000000001,0.009972,125,12,0.9600000000000001,0.052963,665,12,0.9600000000000001,0.10108,1256,12,0.8799999999999999,0.255134,3168,12,0.8799999999999999,0.49748,6243
18,2,1,12,0.9600000000000001,12,0.9600000000000001,0.001,13,12,0.9600000000000001,0.008252,102,12,0.9600000000000001,0.052994,660,11,0.9166666666666666,0.104705,1307,11,0.9166666666666666,0.253051,3169,11,0.9166666666666666,0.497486,6240
19,2,1,13,1.0,13,1.0,0.000883,11,13,1.0,0.010668,134,13,1.0,0.051288,641,13,1.0,0.102371,1273,13,1.0,0.246193,3091,12,0.9600000000000001,0.502238,6291
20,2,1,13,1.0,13,1.0,0.001611,22,13,1.0,0.009739,121,13,1.0,0.051665,641,13,1.0,0.098934,1239,12,0.9600000000000001,0.249167,3108,11,0.9166666666666666,0.494127,6184
21,2,1,13,1.0,13,1.0,0.000767,12,13,1.0,0.009095,114,14,0.962962962962963,0.049081,613,14,0.962962962962963,0.097449,1221,13,0.9230769230769231,0.253286,3162,13,0.9230769230769231,0.503902,6307
22,2,1,12,0.8461538461538461,12,0.8461538461538461,0.001139,15,12,0.8461538461538461,0.009203,117,12,0.8461538461538461,0.05131,636,13,0.888888888888889,0.098716,1223,11,0.88,0.252545,3178,14,0.7857142857142857,0.51002,6377
23,2,1,14,0.9285714285714286,14,0.9285714285714286,0.001162,14,14,0.9285714285714286,0.010716,131,14,0.9285714285714286,0.049677,630,12,0.8461538461538461,0.100242,1247,12,0.8461538461538461,0.254375,3182,14,0.7857142857142857,0.501838,6274
