frame,n_gt,f1_clean,f1_ego,f1_p1,n_box_clean,n_box_ego,n_box_p1,p1_identical_to_ego
0,11,0.9565217391304348,0.9523809523809523,0.9090909090909091,12,10,11,0
1,11,0.9565217391304348,0.8571428571428572,0.7826086956521738,12,10,12,0
2,11,0.9565217391304348,0.9,0.8181818181818182,12,9,11,0
3,11,0.9166666666666666,0.8571428571428572,0.8571428571428572,13,10,10,0
4,11,1.0,0.9,0.8181818181818182,11,9,11,0
5,11,1.0,0.9,0.7826086956521738,11,9,12,0
6,11,1.0,0.8571428571428572,0.8181818181818182,11,10,11,0
7,11,1.0,0.8571428571428572,0.8571428571428572,11,10,10,0
8,11,1.0,0.8571428571428572,0.9,11,10,9,0
9,11,0.9565217391304348,0.8571428571428572,0.8571428571428572,12,10,10,0
10,11,0.9166666666666666,0.8181818181818182,0.8181818181818182,13,11,11,0
11,13,0.962962962962963,0.9230769230769231,0.888888888888889,14,13,14,0
12,13,0.9600000000000001,0.8799999999999999,0.8148148148148148,12,12,14,0
13,13,0.9230769230769231,0.8799999999999999,0.7407407407407408,13,12,14,0
14,13,0.9230769230769231,0.8799999999999999,0.8333333333333333,13,12,11,0
15,13,0.9600000000000001,0.9166666666666666,0.8333333333333333,12,11,11,0
16,13,0.9230769230769231,0.8333333333333333,0.7407407407407408,13,11,14,0
17,13,0.9600000000000001,0.9166666666666666,0.7692307692307693,12,11,13,0
18,13,0.9600000000000001,0.9166666666666666,0.8333333333333333,12,11,11,0
19,13,1.0,0.9600000000000001,0.9166666666666666,13,12,11,0
20,13,1.0,0.9600000000000001,0.9600000000000001,13,12,12,0
21,13,1.0,0.9230769230769231,0.8799999999999999,13,13,12,0
22,14,0.8461538461538461,0.8461538461538461,0.7407407407407408,12,12,13,0
23,14,0.9285714285714286,0.8461538461538461,0.7692307692307692,14,12,12,0
24,14,0.9285714285714286,0.8571428571428571,0.7407407407407408,14,14,13,0
25,14,0.962962962962963,0.8571428571428571,0.8571428571428571,13,14,14,0
26,15,0.896551724137931,0.888888888888889,0.896551724137931,14,12,14,0
27,16,0.9333333333333333,0.9333333333333333,0.875,14,14,16,0
28,17,0.9375,0.8749999999999999,0.8749999999999999,15,15,15,0
29,17,0.9032258064516129,0.7741935483870968,0.6486486486486486,14,14,20,0
30,18,0.9411764705882353,0.9090909090909091,0.8484848484848485,16,15,15,0
31,18,0.9411764705882353,0.8484848484848485,0.7999999999999999,16,15,17,0
32,18,0.9714285714285714,0.823529411764706,0.7428571428571428,17,16,17,0
33,18,0.9411764705882353,0.9411764705882353,0.8571428571428571,16,16,17,0
34,19,0.9444444444444444,0.8484848484848484,0.8888888888888888,17,14,17,0
35,20,0.8780487804878048,0.7692307692307692,0.761904761904762,21,19,22,0
36,23,0.8571428571428571,0.7692307692307693,0.75,19,16,17,0
37,25,0.9166666666666666,0.8444444444444444,0.7755102040816326,23,20,24,0
38,25,0.888888888888889,0.8372093023255813,0.8749999999999999,20,18,23,0
39,25,0.8695652173913043,0.8095238095238095,0.8260869565217391,21,17,21,0
40,26,0.8936170212765957,0.8260869565217392,0.76,21,20,24,0
41,26,0.9166666666666666,0.8400000000000001,0.8,22,24,24,0
42,28,0.8627450980392156,0.8,0.6785714285714286,23,22,28,0
43,28,0.88,0.8571428571428571,0.9019607843137255,22,21,23,0
44,28,0.88,0.8333333333333333,0.9019607843137255,22,20,23,0
45,28,0.9818181818181818,0.923076923076923,0.8727272727272727,27,24,27,0
46,28,0.9433962264150945,0.923076923076923,0.888888888888889,25,24,26,0
47,28,0.962962962962963,0.923076923076923,0.8727272727272727,26,24,27,0
48,28,0.9642857142857143,0.923076923076923,0.9090909090909091,28,24,27,0
49,28,0.9433962264150945,0.8235294117647057,0.8771929824561403,25,23,29,0
50,28,0.9818181818181818,0.8846153846153847,0.9259259259259259,27,24,26,0
51,28,0.9818181818181818,0.8846153846153847,0.8421052631578947,27,24,29,0
52,28,0.9454545454545454,0.8627450980392156,0.8461538461538461,27,23,24,0
53,28,0.9433962264150945,0.84,0.8679245283018867,25,22,25,0
54,28,0.923076923076923,0.8627450980392156,0.8518518518518519,24,23,26,0
55,28,0.9433962264150945,0.9019607843137255,0.9090909090909091,25,23,27,0
56,28,0.9259259259259259,0.8846153846153847,0.8727272727272727,26,24,27,0
57,28,0.9454545454545454,0.8627450980392156,0.8571428571428571,27,23,28,0
58,28,0.9433962264150945,0.8627450980392156,0.9019607843137255,25,23,23,0
59,28,0.962962962962963,0.88,0.8518518518518519,26,22,26,0
60,28,0.9259259259259259,0.88,0.9056603773584904,26,22,25,0
61,28,0.9019607843137255,0.8333333333333333,0.8679245283018867,23,20,25,0
62,28,0.962962962962963,0.8571428571428571,0.84,26,21,22,0
63,28,0.962962962962963,0.8571428571428571,0.8518518518518519,26,21,26,0
64,28,0.962962962962963,0.88,0.9019607843137255,26,22,23,0
65,28,0.962962962962963,0.8627450980392156,0.8461538461538461,26,23,24,0
66,28,0.9433962264150945,0.8571428571428571,0.9019607843137255,25,21,23,0
67,28,0.9433962264150945,0.88,0.8627450980392156,25,22,23,0
68,28,0.962962962962963,0.88,0.8627450980392156,26,22,23,0
69,28,0.9259259259259259,0.88,0.8846153846153847,26,22,24,0
70,28,0.9056603773584904,0.84,0.84,25,22,22,0
71,28,0.962962962962963,0.88,0.88,26,22,22,0
72,28,0.9433962264150945,0.8627450980392156,0.8148148148148148,25,23,26,0
73,28,0.9433962264150945,0.88,0.8627450980392156,25,22,23,0
74,28,0.9433962264150945,0.88,0.923076923076923,25,22,24,0
75,28,0.88,0.8571428571428571,0.8461538461538461,22,21,24,0
76,28,0.9259259259259259,0.8571428571428571,0.7999999999999999,26,21,27,0
77,28,0.962962962962963,0.84,0.8235294117647057,26,22,23,0
78,28,0.9433962264150945,0.88,0.830188679245283,25,22,25,0
79,28,0.9433962264150945,0.8163265306122449,0.84,25,21,22,0
80,28,0.923076923076923,0.8085106382978724,0.7169811320754718,24,19,25,0
81,28,0.9019607843137255,0.7659574468085106,0.8163265306122449,23,19,21,0
82,27,0.92,0.8,0.76,23,18,23,0
83,28,0.88,0.75,0.7450980392156864,22,20,23,0
84,28,0.88,0.782608695652174,0.76,22,18,22,0
85,28,0.923076923076923,0.8163265306122449,0.8235294117647057,24,21,23,0
86,28,0.9019607843137255,0.8085106382978724,0.8235294117647057,23,19,23,0
87,28,0.8571428571428571,0.7555555555555554,0.7659574468085106,21,17,19,0
88,28,0.8085106382978724,0.6666666666666666,0.7111111111111111,19,14,17,0
89,28,0.8571428571428571,0.782608695652174,0.7234042553191489,21,18,19,0
90,28,0.8085106382978724,0.7272727272727273,0.7083333333333333,19,16,20,0
91,26,0.8510638297872339,0.744186046511628,0.6956521739130435,21,17,20,0
92,27,0.8750000000000001,0.8,0.72,21,18,23,0
93,27,0.8750000000000001,0.7441860465116279,0.7391304347826088,21,16,19,0
94,27,0.8333333333333334,0.7555555555555556,0.7555555555555556,21,18,18,0
95,26,0.8695652173913044,0.7000000000000001,0.6666666666666667,20,14,16,0
96,24,0.9090909090909091,0.7000000000000001,0.6818181818181818,20,16,20,0
97,25,0.9130434782608696,0.7317073170731707,0.6976744186046512,21,16,18,0
98,25,0.9130434782608696,0.8095238095238095,0.7272727272727272,21,17,19,0
99,26,0.8936170212765957,0.7999999999999999,0.7083333333333333,21,19,22,0
100,26,0.9600000000000001,0.8936170212765957,0.8936170212765957,24,21,21,0
101,26,0.9600000000000001,0.8936170212765957,0.875,24,21,22,0
102,27,0.92,0.8085106382978724,0.7916666666666667,23,20,21,0
103,26,0.9199999999999999,0.8936170212765957,0.8510638297872339,24,21,21,0
104,27,0.9411764705882353,0.8750000000000001,0.8571428571428572,24,21,22,0
105,27,0.92,0.8260869565217391,0.7916666666666667,23,19,21,0
106,27,0.92,0.8085106382978724,0.76,23,20,23,0
107,27,0.92,0.851063829787234,0.8333333333333334,23,20,21,0
108,26,0.8695652173913044,0.7272727272727274,0.7916666666666666,20,18,22,0
109,26,0.9166666666666666,0.8444444444444443,0.8333333333333333,22,19,22,0
110,25,0.9361702127659575,0.8372093023255813,0.8695652173913043,22,18,21,0
111,27,0.8750000000000001,0.7272727272727272,0.72,21,17,23,0
112,27,0.9811320754716981,0.8750000000000001,0.8750000000000001,26,21,21,0
113,28,0.9454545454545454,0.8627450980392156,0.8627450980392156,27,23,23,0
114,28,0.9642857142857143,0.8627450980392156,0.8846153846153847,28,23,24,0
115,28,0.9818181818181818,0.88,0.8627450980392156,27,22,23,0
116,25,0.9583333333333334,0.9361702127659575,0.9583333333333334,23,22,23,0
117,25,0.9583333333333334,0.9583333333333334,0.92,23,23,25,0
118,25,0.9583333333333334,0.9583333333333334,0.9583333333333334,23,23,23,0
119,25,0.9583333333333334,0.9583333333333334,0.9583333333333334,23,23,23,0
120,25,0.9583333333333334,0.9130434782608696,0.9130434782608696,23,21,21,0
121,25,0.9583333333333334,0.9130434782608696,0.9130434782608696,23,21,21,0
122,25,0.9361702127659575,0.9130434782608696,0.9130434782608696,22,21,21,0
123,26,0.9387755102040816,0.9166666666666666,0.9166666666666666,23,22,22,0
124,26,0.9199999999999999,0.8979591836734695,0.8979591836734695,24,23,23,0
125,26,0.9600000000000001,0.8979591836734695,0.8979591836734695,24,23,23,0
126,26,0.9803921568627451,0.875,0.8571428571428572,25,22,23,0
127,26,0.9803921568627451,0.9387755102040816,0.9199999999999999,25,23,24,0
128,26,0.9600000000000001,0.9387755102040816,0.9387755102040816,24,23,23,0
129,26,0.9803921568627451,0.8979591836734695,0.8979591836734695,25,23,23,0
130,25,0.9795918367346939,0.9166666666666666,0.9166666666666666,24,23,23,0
131,26,0.9600000000000001,0.8979591836734695,0.8979591836734695,24,23,23,0
132,26,0.9600000000000001,0.8936170212765957,0.875,24,21,22,0
133,26,0.9803921568627451,0.875,0.875,25,22,22,0
134,26,0.9803921568627451,0.8936170212765957,0.8936170212765957,25,21,21,0
135,26,0.9411764705882353,0.875,0.875,25,22,22,0
136,26,0.9803921568627451,0.9166666666666666,0.9166666666666666,25,22,22,0
137,25,0.9795918367346939,0.9361702127659575,0.9361702127659575,24,22,22,0
138,25,0.9795918367346939,0.9361702127659575,0.9361702127659575,24,22,22,0
139,25,1.0,0.9361702127659575,0.9361702127659575,25,22,22,0
140,26,0.9803921568627451,0.9166666666666666,0.9166666666666666,25,22,22,0
141,26,1.0,0.9166666666666666,0.9166666666666666,26,22,22,0
142,26,1.0,0.9166666666666666,0.9166666666666666,26,22,22,0
143,26,0.9600000000000001,0.8936170212765957,0.8936170212765957,24,21,21,0
144,25,1.0,0.8936170212765958,0.8571428571428572,25,22,24,0
145,26,0.9803921568627451,0.8510638297872339,0.8510638297872339,25,21,21,0
146,26,1.0,0.8695652173913044,0.8510638297872339,26,20,21,0
147,26,0.9803921568627451,0.8695652173913044,0.8695652173913044,25,20,20,0
148,26,0.9803921568627451,0.8085106382978723,0.8085106382978723,25,21,21,0
149,26,0.9600000000000001,0.8333333333333333,0.8333333333333333,24,22,22,0
150,25,0.9387755102040817,0.8695652173913043,0.8695652173913043,24,21,21,0
151,25,0.9387755102040817,0.8695652173913043,0.8695652173913043,24,21,21,0
152,24,1.0,0.9333333333333333,0.9333333333333333,24,21,21,0
153,25,0.9795918367346939,0.888888888888889,0.888888888888889,24,20,20,0
154,25,0.9795918367346939,0.9130434782608696,0.9130434782608696,24,21,21,0
155,25,0.9795918367346939,0.9130434782608696,0.9130434782608696,24,21,21,0
156,24,1.0,0.9090909090909091,0.9090909090909091,24,20,20,0
157,24,1.0,0.9090909090909091,0.9090909090909091,24,20,20,0
158,24,1.0,0.8636363636363635,0.8444444444444444,24,20,21,0
159,24,1.0,0.8837209302325582,0.8837209302325582,24,19,19,0
160,24,1.0,0.8837209302325582,0.8837209302325582,24,19,19,0
161,24,1.0,0.8837209302325582,0.8837209302325582,24,19,19,0
162,24,1.0,0.9090909090909091,0.9090909090909091,24,20,20,0
163,24,1.0,0.9090909090909091,0.9090909090909091,24,20,20,0
164,24,0.9565217391304348,0.8571428571428571,0.8837209302325582,22,18,19,0
165,23,1.0,0.9047619047619047,0.9047619047619047,23,19,19,0
166,23,1.0,0.9302325581395349,0.9302325581395349,23,20,20,0
167,24,0.9787234042553191,0.8837209302325582,0.8837209302325582,23,19,19,0
168,24,0.9787234042553191,0.8837209302325582,0.7906976744186046,23,19,19,0
169,24,0.9130434782608695,0.8095238095238096,0.8095238095238096,22,18,18,0
170,23,0.9777777777777777,0.878048780487805,0.8571428571428571,22,18,19,0
171,24,0.9565217391304348,0.8571428571428571,0.8636363636363635,22,18,20,0
172,23,0.9545454545454545,0.9047619047619047,0.9047619047619047,21,19,19,0
173,23,0.9777777777777777,0.878048780487805,0.9047619047619047,22,18,19,0
174,23,0.9777777777777777,0.878048780487805,0.878048780487805,22,18,18,0
175,23,0.9777777777777777,0.878048780487805,0.878048780487805,22,18,18,0
176,23,0.9545454545454545,0.878048780487805,0.9047619047619047,21,18,19,0
177,23,0.9777777777777777,0.9047619047619047,0.9047619047619047,22,19,19,0
178,23,0.9545454545454545,0.878048780487805,0.8837209302325583,21,18,20,0
179,22,1.0,0.9268292682926829,0.9268292682926829,22,19,19,0
180,22,0.9767441860465117,0.9268292682926829,0.9047619047619048,21,19,20,0
181,22,0.9523809523809523,0.9,0.9268292682926829,20,18,19,0
182,23,0.9545454545454545,0.9047619047619047,0.8837209302325583,21,19,20,0
183,24,0.9090909090909091,0.8837209302325582,0.8837209302325582,20,19,19,0
184,24,0.9090909090909091,0.8571428571428571,0.8837209302325582,20,18,19,0
185,23,0.9545454545454545,0.9302325581395349,0.9302325581395349,21,20,20,0
186,22,0.9268292682926829,0.9,0.9302325581395349,19,18,21,0
187,23,0.878048780487805,0.8571428571428571,0.8571428571428571,18,19,19,0
188,23,0.878048780487805,0.85,0.9047619047619047,18,17,19,0
189,22,0.9268292682926829,0.8421052631578948,0.9,19,16,18,0
190,22,0.8717948717948718,0.8421052631578948,0.8421052631578948,17,16,16,0
191,22,0.9268292682926829,0.8717948717948718,0.8717948717948718,19,17,17,0
192,22,0.9268292682926829,0.8717948717948718,0.8717948717948718,19,17,17,0
193,22,0.9268292682926829,0.8717948717948718,0.8571428571428572,19,17,20,0
194,22,0.9,0.8717948717948718,0.9,18,17,18,0
195,22,0.9,0.8717948717948718,0.8717948717948718,18,17,17,0
