frame,n_gt,n_box_float,n_box_int8,f1_float,f1_int8
0,13,12,12,0.9600000000000001,0.9600000000000001
9,13,12,12,0.9600000000000001,0.9600000000000001
18,13,13,13,1.0,1.0
27,16,15,15,0.967741935483871,0.967741935483871
36,23,17,17,0.7999999999999999,0.7999999999999999
45,28,25,25,0.9433962264150945,0.9433962264150945
54,28,24,24,0.8846153846153847,0.8846153846153847
63,28,25,25,0.9433962264150945,0.9433962264150945
72,28,24,25,0.923076923076923,0.9433962264150945
81,28,22,22,0.88,0.88
90,28,21,21,0.8571428571428571,0.8571428571428571
99,27,22,22,0.8979591836734693,0.8979591836734693
108,28,21,21,0.8571428571428571,0.8571428571428571
117,28,28,28,1.0,1.0
126,28,28,28,0.9642857142857143,0.9642857142857143
135,27,27,27,0.9629629629629629,0.9629629629629629
144,27,27,27,0.9629629629629629,0.9629629629629629
153,26,25,25,0.9803921568627451,0.9803921568627451
162,25,25,25,1.0,1.0
171,25,22,22,0.9361702127659575,0.9361702127659575
180,24,23,23,0.9787234042553191,0.9787234042553191
189,24,21,21,0.9333333333333333,0.9333333333333333
198,23,22,22,0.9777777777777777,0.9777777777777777
207,21,21,21,1.0,1.0
216,20,18,18,0.9473684210526316,0.9473684210526316
225,18,17,17,0.9142857142857143,0.9142857142857143
234,16,13,13,0.896551724137931,0.896551724137931
243,16,14,14,0.9333333333333333,0.9333333333333333
252,14,11,11,0.88,0.88
261,13,10,10,0.8695652173913044,0.8695652173913044
270,11,10,10,0.9523809523809523,0.9523809523809523
279,11,11,11,0.9090909090909091,0.9090909090909091
288,13,12,12,0.9600000000000001,0.9600000000000001
297,13,13,13,0.9230769230769231,0.9230769230769231
306,14,14,14,1.0,1.0
315,13,13,13,1.0,1.0
324,13,13,13,1.0,1.0
333,12,12,12,1.0,1.0
342,12,12,12,1.0,1.0
351,12,12,12,1.0,1.0
360,12,12,12,1.0,1.0
369,12,13,13,0.9600000000000001,0.9600000000000001
378,13,12,12,0.9600000000000001,0.9600000000000001
387,12,12,12,1.0,1.0
396,11,11,11,1.0,1.0
405,8,7,7,0.9333333333333333,0.9333333333333333
414,8,8,8,1.0,1.0
423,8,8,8,1.0,1.0
