rate,frame,ri,rj,cw_i,cw_j,dcw,f1_i,f1_j,df1
0.001,41,0,1,9,9,0,0.9166666666666666,0.9166666666666666,0.0
0.001,49,0,1,10,10,0,0.9433962264150944,0.9433962264150944,0.0
0.001,51,0,1,11,11,0,0.9818181818181818,0.9818181818181818,0.0
0.001,68,0,1,11,11,0,0.962962962962963,0.962962962962963,0.0
0.001,73,0,1,10,10,0,0.9433962264150944,0.9433962264150944,0.0
0.001,79,0,1,11,11,0,0.9433962264150944,0.9433962264150944,0.0
0.001,94,0,1,12,12,0,0.8333333333333334,0.8333333333333334,0.0
0.001,96,0,1,11,11,0,0.9090909090909092,0.9090909090909092,0.0
0.001,106,0,1,10,10,0,0.92,0.92,0.0
0.001,127,0,1,13,13,0,0.9803921568627452,0.9803921568627452,0.0
0.001,130,0,1,11,11,0,0.979591836734694,0.979591836734694,0.0
0.001,155,0,1,11,11,0,0.979591836734694,0.979591836734694,0.0
0.001,170,0,1,9,9,0,0.9777777777777776,0.9777777777777776,0.0
0.001,216,0,1,14,14,0,0.9473684210526316,0.9473684210526316,0.0
0.001,230,0,1,13,13,0,0.8823529411764706,0.8823529411764706,0.0
0.001,244,0,1,12,12,0,0.8571428571428571,0.8571428571428571,0.0
0.001,259,0,1,14,14,0,0.8695652173913044,0.8695652173913044,0.0
0.001,260,0,1,17,17,0,0.9166666666666666,0.9166666666666666,0.0
0.001,273,0,1,12,12,0,1.0,1.0,0.0
0.001,288,0,1,11,11,0,0.96,0.96,0.0
0.001,299,0,1,15,15,0,1.0,1.0,0.0
0.001,303,0,1,14,14,0,1.0,1.0,0.0
0.001,310,0,1,8,8,0,1.0,1.0,0.0
0.001,314,0,1,12,12,0,1.0,1.0,0.0
0.001,322,0,1,13,13,0,1.0,1.0,0.0
0.001,334,0,1,15,15,0,1.0,1.0,0.0
0.001,335,0,1,11,11,0,1.0,1.0,0.0
0.001,352,0,1,12,12,0,1.0,1.0,0.0
0.001,358,0,1,10,10,0,1.0,1.0,0.0
0.001,360,0,1,14,14,0,1.0,1.0,0.0
0.001,361,0,1,15,15,0,1.0,0.9565217391304348,0.04347826086956519
0.001,363,0,1,10,10,0,1.0,1.0,0.0
0.001,369,0,1,12,12,0,0.96,0.96,0.0
0.001,379,0,1,11,11,0,0.96,0.96,0.0
0.001,394,0,1,12,12,0,1.0,1.0,0.0
0.001,406,0,1,9,9,0,0.9333333333333332,0.9333333333333332,0.0
0.001,415,0,1,13,13,0,0.9411764705882352,0.9411764705882352,0.0
0.001,440,0,1,11,11,0,1.0,1.0,0.0
0.001,451,0,1,15,15,0,1.0,1.0,0.0
0.001,461,0,1,12,12,0,1.0,1.0,0.0
0.001,469,0,1,11,11,0,1.0,1.0,0.0
0.001,473,0,1,11,11,0,0.9333333333333332,0.9333333333333332,0.0
0.001,518,0,1,17,17,0,1.0,1.0,0.0
0.001,523,0,1,16,16,0,1.0,1.0,0.0
0.001,539,0,1,13,13,0,1.0,1.0,0.0
0.001,567,0,1,13,13,0,1.0,1.0,0.0
0.001,572,0,1,11,11,0,1.0,1.0,0.0
0.001,573,0,1,15,15,0,0.923076923076923,0.923076923076923,0.0
0.001,606,0,1,14,14,0,0.8780487804878049,0.8780487804878049,0.0
0.001,622,0,1,12,12,0,0.8717948717948718,0.8717948717948718,0.0
0.001,628,0,1,9,9,0,0.95,0.95,0.0
0.001,636,0,1,9,9,0,0.9523809523809524,0.9523809523809524,0.0
0.001,641,0,1,12,12,0,0.9545454545454544,0.9545454545454544,0.0
0.001,680,0,1,16,16,0,0.9411764705882352,0.9411764705882352,0.0
0.001,712,0,1,13,13,0,0.9285714285714286,0.9285714285714286,0.0
0.001,715,0,1,11,11,0,0.9655172413793104,0.9655172413793104,0.0
0.001,718,0,1,12,12,0,1.0,1.0,0.0
0.001,721,0,1,14,14,0,0.9523809523809524,0.9523809523809524,0.0
