rate,frame,ri,rj,cw_i,cw_j,dcw,f1_i,f1_j,df1
0.001,41,0,1,9,9,0,0.9166666666666666,0.9166666666666666,0.0
0.001,68,0,1,11,11,0,0.962962962962963,0.962962962962963,0.0
0.001,79,0,1,11,11,0,0.9433962264150944,0.9433962264150944,0.0
0.001,94,0,1,12,12,0,0.8333333333333334,0.8333333333333334,0.0
0.001,96,0,1,11,11,0,0.9090909090909092,0.9090909090909092,0.0
0.001,127,0,1,13,13,0,0.9803921568627452,0.9803921568627452,0.0
0.001,170,0,1,9,9,0,0.9777777777777776,0.9777777777777776,0.0
0.001,288,0,1,27,27,0,0.96,0.96,0.0
0.001,310,0,1,8,8,0,1.0,1.0,0.0
0.001,322,0,1,13,13,0,1.0,1.0,0.0
0.001,334,0,1,15,15,0,1.0,1.0,0.0
0.001,358,0,1,10,10,0,1.0,1.0,0.0
0.001,361,0,1,31,31,0,1.0,0.9565217391304348,0.04347826086956519
0.001,363,0,1,10,10,0,1.0,1.0,0.0
0.001,369,0,1,12,12,0,0.96,0.96,0.0
0.001,394,0,1,12,12,0,1.0,1.0,0.0
0.001,440,0,1,43,43,0,1.0,1.0,0.0
0.001,461,0,1,12,12,0,1.0,1.0,0.0
0.001,567,0,1,13,13,0,1.0,1.0,0.0
0.001,572,0,1,27,27,0,1.0,1.0,0.0
0.001,573,0,1,15,15,0,0.923076923076923,0.923076923076923,0.0
0.001,628,0,1,9,9,0,0.95,0.95,0.0
0.001,641,0,1,12,12,0,0.9545454545454544,0.9545454545454544,0.0
0.001,724,0,1,10,10,0,1.0,1.0,0.0
0.001,832,0,1,30,30,0,0.8163265306122449,0.8163265306122449,0.0
0.001,855,0,1,13,13,0,0.8363636363636363,0.8363636363636363,0.0
0.001,859,0,1,26,26,0,0.7636363636363636,0.7636363636363636,0.0
0.001,943,0,1,28,28,0,0.8333333333333333,0.8333333333333333,0.0
0.001,951,0,1,11,11,0,0.8085106382978723,0.8085106382978723,0.0
0.001,953,0,1,25,25,0,0.7234042553191489,0.7234042553191489,0.0
