frame,scene,n_cav,n_gt,n_box_coop,n_box_single,f1_coop,f1_single
0,0,4,13,13,10,1.0,0.8695652173913044
9,0,4,13,13,10,1.0,0.8695652173913044
18,0,4,13,13,11,1.0,0.9166666666666666
27,0,4,16,15,14,0.967741935483871,0.9333333333333333
36,0,4,23,20,16,0.9302325581395349,0.7692307692307693
45,0,4,28,26,24,0.962962962962963,0.923076923076923
54,0,4,28,25,23,0.9433962264150945,0.8627450980392156
63,0,4,28,27,21,0.9818181818181818,0.8571428571428571
72,0,4,28,25,23,0.9433962264150945,0.8627450980392156
81,0,4,28,25,19,0.9433962264150945,0.7659574468085106
90,0,4,28,22,16,0.88,0.7272727272727273
99,0,4,27,26,19,0.9811320754716981,0.782608695652174
108,0,4,28,24,18,0.923076923076923,0.6956521739130435
117,1,3,28,28,23,1.0,0.9019607843137255
126,1,3,28,28,22,1.0,0.84
135,1,3,27,27,22,0.9629629629629629,0.8571428571428572
144,1,3,27,27,22,1.0,0.8571428571428572
153,1,3,26,26,20,1.0,0.8695652173913044
162,1,3,25,25,20,1.0,0.888888888888889
171,1,3,25,25,18,1.0,0.8372093023255813
180,1,3,24,23,19,0.9787234042553191,0.8837209302325582
189,1,3,24,22,16,0.9565217391304348,0.8
198,1,3,23,21,16,0.9545454545454545,0.8205128205128205
207,1,3,21,21,17,1.0,0.8947368421052632
216,1,3,20,18,16,0.9473684210526316,0.888888888888889
225,1,3,18,15,15,0.9090909090909091,0.8484848484848485
234,1,3,16,13,12,0.896551724137931,0.8571428571428571
243,1,3,16,13,13,0.896551724137931,0.896551724137931
252,1,3,14,10,11,0.8333333333333333,0.88
261,1,3,13,10,9,0.8695652173913044,0.8181818181818181
270,2,2,11,10,9,0.9523809523809523,0.9
279,2,2,11,11,10,0.9090909090909091,0.8571428571428572
288,2,2,13,12,11,0.9600000000000001,0.9166666666666666
297,2,2,13,13,12,0.9230769230769231,0.8799999999999999
306,2,2,14,14,13,1.0,0.962962962962963
315,2,2,13,13,12,1.0,0.9600000000000001
324,2,2,13,13,12,1.0,0.9600000000000001
333,2,2,12,12,10,1.0,0.9090909090909091
342,2,2,12,12,12,1.0,1.0
351,2,2,12,12,11,1.0,0.9565217391304348
360,2,2,12,12,11,1.0,0.9565217391304348
369,2,2,12,13,12,0.9600000000000001,0.9166666666666666
378,2,2,13,12,11,0.9600000000000001,0.9166666666666666
387,2,2,12,12,10,1.0,0.9090909090909091
396,2,2,11,11,11,1.0,1.0
405,3,2,8,7,7,0.9333333333333333,0.9333333333333333
414,3,2,8,8,6,1.0,0.8571428571428571
423,3,2,8,8,7,1.0,0.9333333333333333
432,3,2,8,9,8,0.9411764705882353,0.875
441,3,2,8,8,7,1.0,0.9333333333333333
450,3,2,8,8,7,1.0,0.9333333333333333
459,3,2,8,8,7,1.0,0.9333333333333333
468,3,2,8,8,7,1.0,0.9333333333333333
477,3,2,6,7,5,0.923076923076923,0.9090909090909091
486,3,2,6,6,5,1.0,0.9090909090909091
495,3,2,6,6,5,1.0,0.9090909090909091
504,3,2,6,7,6,0.923076923076923,0.8333333333333334
