frame,n_gt,n_box_ego,n_box_collab,n_box_L,f1_E,f1_L,n_cw_L,B_L_msym
0,24,21,17,23,0.9333333333333333,0.9787234042553191,7,0.00175
1,24,22,15,24,0.8695652173913043,1.0,7,0.00175
2,24,22,18,24,0.9565217391304348,1.0,8,0.002
3,24,22,16,23,0.9130434782608695,0.9787234042553191,7,0.00175
4,24,20,18,24,0.9090909090909091,0.9583333333333334,8,0.002
5,24,22,18,24,0.9130434782608695,1.0,8,0.002
6,24,20,21,24,0.9090909090909091,1.0,9,0.00225
7,24,21,21,24,0.9333333333333333,1.0,9,0.00225
8,24,21,19,23,0.888888888888889,0.9361702127659574,8,0.002
9,24,21,20,23,0.888888888888889,0.9787234042553191,8,0.002
10,24,21,19,23,0.8444444444444444,0.9787234042553191,8,0.002
11,24,20,20,23,0.9090909090909091,0.9787234042553191,8,0.002
12,24,19,19,24,0.8837209302325582,1.0,8,0.002
13,24,20,19,22,0.8636363636363635,0.9565217391304348,8,0.002
14,24,20,20,24,0.9090909090909091,1.0,8,0.002
15,24,21,19,24,0.888888888888889,0.9583333333333334,8,0.002
16,24,19,20,22,0.8837209302325582,0.9565217391304348,8,0.002
17,24,22,21,25,0.9130434782608695,0.9795918367346939,9,0.00225
18,24,23,22,25,0.9361702127659574,0.9795918367346939,9,0.00225
19,24,23,20,25,0.9361702127659574,0.9795918367346939,8,0.002
20,24,23,20,24,0.9787234042553191,1.0,8,0.002
21,24,20,22,25,0.8636363636363635,0.9387755102040817,9,0.00225
22,24,21,20,25,0.9333333333333333,0.9795918367346939,8,0.002
23,24,23,21,25,0.9361702127659574,0.9795918367346939,9,0.00225
24,24,22,21,24,0.9565217391304348,1.0,9,0.00225
25,24,22,21,24,0.9130434782608695,1.0,9,0.00225
26,24,22,19,24,0.9130434782608695,1.0,8,0.002
27,24,23,19,25,0.8936170212765957,0.9387755102040817,8,0.002
28,24,22,20,24,0.9130434782608695,1.0,8,0.002
29,24,23,21,24,0.9787234042553191,1.0,9,0.00225
30,24,22,22,25,0.9565217391304348,0.9795918367346939,9,0.00225
31,24,23,21,24,0.9787234042553191,1.0,9,0.00225
32,24,23,21,24,0.9787234042553191,1.0,9,0.00225
33,24,23,21,24,0.9787234042553191,1.0,9,0.00225
34,24,23,20,24,0.9787234042553191,1.0,8,0.002
35,24,21,20,23,0.9333333333333333,0.9787234042553191,8,0.002
36,24,22,20,24,0.9565217391304348,1.0,8,0.002
37,23,21,19,23,0.9545454545454545,1.0,8,0.002
38,23,22,20,23,0.9333333333333332,1.0,8,0.002
39,23,22,19,23,0.9777777777777777,1.0,8,0.002
40,23,22,19,23,0.9777777777777777,1.0,8,0.002
41,23,22,19,23,0.9777777777777777,1.0,8,0.002
42,23,21,20,23,0.9545454545454545,1.0,8,0.002
43,23,22,20,23,0.9777777777777777,1.0,8,0.002
44,23,22,19,23,0.9333333333333332,0.9565217391304348,8,0.002
45,23,22,18,23,0.9333333333333332,0.9565217391304348,8,0.002
46,23,21,18,22,0.909090909090909,0.9333333333333332,8,0.002
47,23,21,20,22,0.909090909090909,0.9333333333333332,8,0.002
48,23,22,19,23,0.9333333333333332,0.9565217391304348,8,0.002
49,23,20,21,22,0.9302325581395349,0.9777777777777777,9,0.00225
50,23,20,19,22,0.9302325581395349,0.9777777777777777,8,0.002
51,23,21,19,23,0.9545454545454545,1.0,8,0.002
52,23,23,20,23,0.9565217391304348,1.0,8,0.002
53,23,23,18,23,1.0,1.0,8,0.002
54,23,23,20,23,1.0,1.0,8,0.002
55,23,23,20,23,1.0,1.0,8,0.002
