frame,ego_id,ego_detected_box_count,has_collaborator,ego_origin_lidar_shape_0,ego_origin_lidar_shape_1,ego_pcd_num_points,ego_pcd_mean_range,ego_pcd_max_range,ego_pcd_std_range,ego_pcd_near_20m,ego_pcd_mid_20_50m,ego_pcd_far_50_80m,ego_pcd_very_far_80m,ego_pcd_front_points,ego_pcd_back_points,ego_pcd_left_points,ego_pcd_right_points,ego_pcd_front_far_30m,ego_pcd_front_far_50m,ego_pcd_density_0_20,ego_pcd_density_20_50,ego_pcd_density_50_80
0,302,21,1,55333,4,55333,12.143856048583984,119.74493408203125,12.728422164916992,46398,7750,782,403,27419,27914,28036,27297,1566,644,36.922355247888795,1.1747150561544657,0.06382521307582674
1,302,22,1,55405,4,55405,12.106860160827637,119.93358612060547,12.647523880004883,46562,7682,774,387,27508,27897,28012,27393,1586,646,37.05286230122415,1.164407878887562,0.0631722697195523
2,302,22,1,55289,4,55289,12.129794120788574,119.98777770996094,12.79100513458252,46589,7527,768,405,27518,27771,28041,27248,1645,646,37.07434821854156,1.1409135777644726,0.06268256220234647
3,302,22,1,55305,4,55305,12.166229248046875,119.81593322753906,12.850873947143555,46681,7477,731,416,27521,27784,28074,27231,1742,617,37.14755949236383,1.1333347709505728,0.05966269917957717
4,302,20,1,55446,4,55446,12.178115844726562,119.72941589355469,12.855969429016113,46864,7462,705,415,27409,28037,28128,27318,1805,593,37.29318626529292,1.131061128906403,0.05754063327168524
5,302,22,1,55307,4,55307,12.121509552001953,119.78435516357422,12.638323783874512,46899,7349,671,388,27360,27947,28080,27227,1858,591,37.321038380333995,1.1139330255069895,0.05476562400751885
6,302,20,1,55454,4,55454,12.1477632522583,120.01551055908203,12.702617645263672,46975,7457,624,398,27460,27994,28114,27340,1921,545,37.38151725870892,1.130303248225013,0.05092958178940651
7,302,21,1,55413,4,55413,12.12991714477539,119.97380828857422,12.62417221069336,47037,7388,600,388,27402,28011,28070,27343,1976,532,37.4308552910674,1.1198444948218313,0.048970751720583176
8,302,21,1,55216,4,55216,12.127669334411621,119.94448852539062,12.5552978515625,46905,7367,559,385,27346,27870,28021,27195,1964,504,37.325813028626754,1.1166613959599934,0.045624417019676664
9,302,21,1,55210,4,55210,12.131631851196289,120.00184631347656,12.485563278198242,46791,7491,552,376,27160,28050,28019,27191,2049,521,37.23509471106437,1.1354568368584648,0.04505309158293652
10,302,21,1,55310,4,55310,12.120702743530273,119.89120483398438,12.441433906555176,46820,7569,548,373,27329,27981,28028,27282,2134,525,37.258172177812696,1.1472797754881485,0.04472661990479931
11,302,20,1,55365,4,55365,12.142870903015137,119.93435668945312,12.546368598937988,46975,7488,540,362,27227,28138,28064,27301,2168,525,37.38151725870892,1.135002108449631,0.044073676548524864
12,302,19,1,55244,4,55244,12.108729362487793,119.82311248779297,12.373839378356934,46930,7455,542,317,27190,28054,27999,27245,2188,502,37.34570739651324,1.130000095952457,0.044236912387593474
13,302,20,1,55244,4,55244,12.090032577514648,119.95645904541016,12.29534912109375,47010,7379,534,321,27139,28105,27889,27355,2191,520,37.409369373749996,1.1184803095953293,0.04358396903131903
14,302,20,1,55087,4,55087,12.117522239685059,119.6959457397461,12.221790313720703,46853,7401,525,308,27035,28052,27974,27113,2227,511,37.28443274342286,1.121814984593445,0.04284940775551028
15,302,21,1,55074,4,55074,12.094671249389648,119.95106506347656,12.067985534667969,46881,7391,505,297,27035,28039,27920,27154,2223,490,37.306714435455724,1.1202992232306652,0.041217049364824176
16,302,19,1,54916,4,54916,12.073288917541504,119.98139953613281,11.869778633117676,46919,7224,493,280,26884,28032,27796,27120,2222,480,37.336953874643186,1.09498600847224,0.04023763433041251
17,302,22,1,54961,4,54961,12.101679801940918,114.37708282470703,11.784355163574219,46934,7280,466,281,26914,28047,27773,27188,2309,481,37.34889049537508,1.1034742721038078,0.03803395050298627
18,302,23,1,54859,4,54859,12.15371036529541,113.3360824584961,11.792581558227539,46874,7214,492,279,26801,28058,27736,27123,2310,488,37.30114401244751,1.09347024710946,0.04015601641087821
19,302,23,1,54817,4,54817,12.174190521240234,116.29312133789062,11.851312637329102,46766,7277,474,300,26729,28088,27724,27093,2350,488,37.215200343177884,1.1030195436949737,0.03868689385926071
20,302,23,1,54731,4,54731,12.197305679321289,119.87068939208984,11.861931800842285,46652,7293,465,321,26667,28064,27725,27006,2407,499,37.12448202561551,1.1054447618754217,0.037952332583451966
21,302,20,1,54734,4,54734,12.14548110961914,118.07268524169922,11.65333366394043,46693,7250,486,305,26626,28108,27663,27071,2392,491,37.157108788949344,1.098926988015468,0.039666308893672377
22,302,21,1,54643,4,54643,12.154472351074219,119.53019714355469,11.613816261291504,46570,7293,482,298,26499,28144,27620,27023,2463,481,37.05922849894783,1.1054447618754217,0.039339837215535155
23,302,23,1,54684,4,54684,12.155854225158691,119.67378234863281,11.615616798400879,46588,7306,465,325,26561,28123,27603,27081,2520,494,37.0735524438261,1.1074152516470357,0.037952332583451966
24,302,22,1,54682,4,54682,12.10057544708252,119.3044204711914,11.35584831237793,46620,7297,454,311,26420,28262,27588,27094,2559,487,37.099017234720804,1.1060510664205336,0.0370545354685746
25,302,22,1,54532,4,54532,12.088921546936035,119.8660888671875,11.290933609008789,46462,7307,458,305,26453,28079,27509,27023,2596,486,36.97328482967821,1.1075668277833135,0.037381007146711824
26,302,22,1,54411,4,54411,12.169057846069336,119.89507293701172,11.61011791229248,46359,7255,488,309,26399,28012,27400,27011,2600,495,36.89132003398588,1.0996848686968579,0.03982954473274099
27,302,23,1,54522,4,54522,12.220547676086426,119.9138412475586,11.713144302368164,46374,7334,497,317,26310,28212,27465,27057,2702,508,36.90325665471777,1.1116593834628195,0.04056410600854973
28,302,22,1,54441,4,54441,12.245083808898926,117.21299743652344,11.843123435974121,46227,7424,476,314,26309,28132,27403,27038,2741,502,36.78627777154523,1.1253012357278391,0.03885012969832932
29,302,23,1,54415,4,54415,12.261706352233887,119.39929962158203,11.907395362854004,46205,7391,492,327,26341,28074,27442,26973,2725,528,36.76877072780512,1.1202992232306652,0.04015601641087821
30,302,22,1,54423,4,54423,12.228675842285156,118.97836303710938,11.906472206115723,46220,7383,489,331,26235,28188,27415,27008,2701,541,36.780707348537014,1.1190866141404412,0.03991116265227529
31,302,23,1,54328,4,54328,12.218416213989258,118.23435974121094,11.919822692871094,46082,7411,468,367,26058,28270,27395,26933,2699,540,36.67089043780361,1.1233307459562252,0.03819718634205488
32,302,23,1,54225,4,54225,12.159066200256348,119.84085845947266,11.838276863098145,46050,7334,469,372,26144,28081,27278,26947,2670,566,36.6454256469089,1.1116593834628195,0.03827880426158919
33,302,23,1,54172,4,54172,12.118900299072266,119.0316162109375,11.726487159729004,45960,7386,471,355,26111,28061,27232,26940,2676,548,36.57380592251755,1.1195413425492753,0.0384420401006578
34,302,23,1,54045,4,54045,12.06546401977539,119.62522888183594,11.713789939880371,45911,7290,490,354,25931,28114,27188,26857,2643,574,36.534812961460034,1.1049900334665876,0.0399927805718096
35,302,21,1,54163,4,54163,12.047124862670898,117.72209167480469,11.771732330322266,45959,7356,501,347,26080,28083,27255,26908,2697,576,36.57301014780209,1.1149940584609355,0.040890577686686955
36,302,22,1,54073,4,54073,12.048614501953125,119.66657257080078,11.957301139831543,45943,7245,528,357,26056,28017,27176,26897,2759,606,36.560277752354736,1.0981691073340778,0.0430942615141132
37,302,21,1,54104,4,54104,12.031229019165039,115.7578353881836,11.870316505432129,45929,7321,550,304,26100,28004,27153,26951,2701,576,36.549136906338305,1.1096888936912055,0.04488985574386791
38,302,22,1,54199,4,54199,12.059429168701172,115.40864562988281,12.041886329650879,45960,7347,555,337,26185,28014,27242,26957,2744,610,36.57380592251755,1.1136298732344334,0.04529794534153944
39,302,22,1,54147,4,54147,12.03104019165039,116.6881103515625,12.016297340393066,45804,7474,567,302,26155,27992,27133,27014,2751,599,36.44966506690587,1.132880042541739,0.04627736037595111
40,302,22,1,54158,4,54158,12.025195121765137,118.0367202758789,11.976784706115723,45783,7504,604,267,26113,28045,27142,27016,2775,622,36.43295379788122,1.1374273266300787,0.0492972233987204
