frame,ego70_pcd_num_points,ego70_pcd_mean_range,ego70_pcd_max_range,ego70_pcd_std_range,ego70_pcd_near_20m,ego70_pcd_mid_20_50m,ego70_pcd_far_50_80m,ego70_pcd_very_far_80m,ego70_pcd_front_points,ego70_pcd_back_points,ego70_pcd_left_points,ego70_pcd_right_points,ego70_pcd_front_far_30m,ego70_pcd_front_far_50m,ego70_pcd_density_0_20,ego70_pcd_density_20_50,ego70_pcd_density_50_80
0,54877,11.41317367553711,74.94508361816406,9.854961395263672,46398,7750,729,0,27228,27649,27801,27076,1375,453,36.922355247888795,1.1747150561544657,0.05949946334050856
1,54955,11.388277053833008,74.91053009033203,9.807390213012695,46562,7682,711,0,27316,27639,27778,27177,1394,454,37.05286230122415,1.164407878887562,0.05803034078889107
2,54824,11.384764671325684,74.56307983398438,9.871625900268555,46589,7527,708,0,27315,27509,27803,27021,1442,443,37.07434821854156,1.1409135777644726,0.05778548703028815
3,54840,11.418025016784668,73.973388671875,9.924093246459961,46681,7477,682,0,27318,27522,27834,27006,1539,414,37.14755949236383,1.1333347709505728,0.055663421122396216
4,54975,11.427925109863281,73.72110748291016,9.943224906921387,46864,7462,649,0,27197,27778,27875,27100,1593,381,37.29318626529292,1.131061128906403,0.05297002977776414
5,54877,11.433050155639648,73.20886993408203,9.934305191040039,46899,7349,629,0,27156,27721,27852,27025,1654,387,37.321038380333995,1.1139330255069895,0.05133767138707803
6,55012,11.438474655151367,72.67134857177734,9.90652847290039,46975,7457,580,0,27251,27761,27870,27142,1712,336,37.38151725870892,1.130303248225013,0.047338393329897074
7,54985,11.443252563476562,72.2890396118164,9.911237716674805,47037,7388,560,0,27197,27788,27829,27156,1771,327,37.4308552910674,1.1198444948218313,0.045706034939210965
8,54788,11.445793151855469,72.94844055175781,9.876060485839844,46905,7367,516,0,27141,27647,27785,27003,1759,299,37.325813028626754,1.1166613959599934,0.04211484647970153
9,54796,11.475191116333008,72.45848083496094,9.91472053527832,46791,7491,514,0,26943,27853,27781,27015,1832,304,37.23509471106437,1.1354568368584648,0.04195161064063292
10,54906,11.482717514038086,73.11565399169922,9.946812629699707,46820,7569,517,0,27112,27794,27801,27105,1917,308,37.258172177812696,1.1472797754881485,0.04219646439923584
11,54950,11.481489181518555,73.45193481445312,9.946172714233398,46975,7488,487,0,26984,27966,27825,27125,1925,282,37.38151725870892,1.135002108449631,0.03974792681320668
12,54851,11.488056182861328,73.48214721679688,9.936098098754883,46930,7455,466,0,26962,27889,27768,27083,1960,274,37.34570739651324,1.130000095952457,0.03803395050298627
13,54830,11.452933311462402,73.69921112060547,9.834124565124512,47010,7379,441,0,26884,27946,27635,27195,1936,265,37.409369373749996,1.1184803095953293,0.035993502514628635
14,54683,11.498479843139648,73.91503143310547,9.83875560760498,46853,7401,429,0,26781,27902,27732,26951,1973,257,37.28443274342286,1.121814984593445,0.03501408748021698
15,54688,11.508124351501465,73.51742553710938,9.815543174743652,46881,7391,416,0,26783,27905,27699,26989,1971,238,37.306714435455724,1.1202992232306652,0.033953054526271
16,54557,11.53269100189209,72.49752807617188,9.806962966918945,46919,7224,414,0,26630,27927,27611,26946,1968,226,37.336953874643186,1.09498600847224,0.03378981868720239
17,54599,11.56512451171875,73.07574462890625,9.757691383361816,46934,7280,385,0,26648,27951,27578,27021,2043,215,37.34889049537508,1.1034742721038078,0.03142289902070754
18,54489,11.610795021057129,73.48409271240234,9.765703201293945,46874,7214,401,0,26535,27954,27534,26955,2044,222,37.30114401244751,1.09347024710946,0.032728785733256424
19,54421,11.59213924407959,74.4353256225586,9.667844772338867,46766,7277,378,0,26453,27968,27506,26915,2074,212,37.215200343177884,1.1030195436949737,0.030851573583967402
20,54320,11.598471641540527,76.41925048828125,9.628597259521484,46652,7293,375,0,26381,27939,27499,26821,2121,213,37.12448202561551,1.1054447618754217,0.030606719825364486
21,54344,11.588920593261719,77.46630859375,9.604582786560059,46693,7250,401,0,26344,28000,27445,26899,2110,209,37.157108788949344,1.098926988015468,0.032728785733256424
22,54255,11.60135555267334,79.69098663330078,9.573623657226562,46570,7293,392,0,26229,28026,27406,26849,2193,211,37.05922849894783,1.1054447618754217,0.03199422445744768
23,54313,11.620630264282227,70.93257904052734,9.621672630310059,46588,7306,419,0,26311,28002,27407,26906,2270,244,37.0735524438261,1.1074152516470357,0.03419790828487392
24,54363,11.648727416992188,71.27559661865234,9.708016395568848,46620,7297,446,0,26196,28167,27422,26941,2335,263,37.099017234720804,1.1060510664205336,0.036401592112300166
25,54213,11.641987800598145,70.01168823242188,9.680259704589844,46462,7307,444,0,26228,27985,27334,26879,2371,261,36.97328482967821,1.1075668277833135,0.036238356273231555
26,54023,11.614396095275879,71.3360366821289,9.565494537353516,46359,7255,409,0,26138,27885,27198,26825,2339,234,36.89132003398588,1.0996848686968579,0.03338172908953087
27,54096,11.620603561401367,77.60848236083984,9.536431312561035,46374,7334,388,0,26011,28085,27237,26859,2403,209,36.90325665471777,1.1116593834628195,0.03166775277931046
28,54002,11.615943908691406,75.5177001953125,9.533403396606445,46227,7424,351,0,26004,27998,27174,26828,2436,197,36.78627777154523,1.1253012357278391,0.02864788975654116
