frame,n_cav,has_collab,n_gt,n_box_ego,n_box_collab
0,2,1,24,21,17
1,2,1,24,22,15
2,2,1,24,22,18
3,2,1,24,22,16
4,2,1,24,20,18
5,2,1,24,22,18
6,2,1,24,20,21
7,2,1,24,21,21
8,2,1,24,21,19
9,2,1,24,21,20
10,2,1,24,21,19
11,2,1,24,20,20
12,2,1,24,19,19
13,2,1,24,20,19
14,2,1,24,20,20
15,2,1,24,21,19
16,2,1,24,19,20
17,2,1,24,22,21
18,2,1,24,23,22
19,2,1,24,23,20
20,2,1,24,23,20
21,2,1,24,20,22
22,2,1,24,21,20
23,2,1,24,23,21
24,2,1,24,22,21
25,2,1,24,22,21
26,2,1,24,22,19
27,2,1,24,23,19
28,2,1,24,22,20
29,2,1,24,23,21
30,2,1,24,22,22
31,2,1,24,23,21
32,2,1,24,23,21
33,2,1,24,23,21
34,2,1,24,23,20
35,2,1,24,21,20
36,2,1,24,22,20
37,2,1,23,21,19
38,2,1,23,22,20
39,2,1,23,22,19
40,2,1,23,22,19
41,2,1,23,22,19
42,2,1,23,21,20
43,2,1,23,22,20
44,2,1,23,22,19
45,2,1,23,22,18
46,2,1,23,21,18
47,2,1,23,21,20
48,2,1,23,22,19
49,2,1,23,20,21
50,2,1,23,20,19
51,2,1,23,21,19
52,2,1,23,23,20
53,2,1,23,23,18
54,2,1,23,23,20
55,2,1,23,23,20
56,2,1,23,23,20
57,2,1,23,23,21
58,2,1,23,23,18
59,2,1,23,23,21
60,2,1,23,22,18
61,2,1,23,22,21
62,2,1,23,21,19
63,2,1,22,19,20
64,2,1,22,20,21
65,2,1,22,19,19
66,2,1,22,20,20
67,2,1,22,19,20
68,2,1,22,18,21
69,2,1,21,17,18
70,2,1,21,17,19
71,2,1,21,17,21
72,2,1,21,16,19
73,2,1,21,17,20
74,2,1,21,18,19
75,2,1,21,17,19
76,2,1,21,17,19
77,2,1,21,17,20
78,2,1,21,17,18
79,2,1,21,17,20
80,2,1,21,17,19
81,2,1,21,17,19
82,2,1,21,17,19
83,2,1,21,17,19
84,2,1,21,17,19
85,2,1,21,17,18
86,2,1,20,14,20
87,2,1,20,14,19
88,2,1,20,15,17
89,2,1,20,15,19
90,2,1,24,23,16
91,2,1,24,22,15
92,2,1,24,21,16
93,2,1,24,21,14
94,2,1,25,20,15
95,2,1,25,22,16
96,2,1,25,21,17
97,2,1,31,24,20
98,2,1,43,28,29
99,2,1,44,33,31
100,2,1,44,33,35
101,2,1,44,34,33
102,2,1,44,34,31
103,2,1,44,35,33
104,2,1,44,33,33
105,2,1,44,33,31
106,2,1,44,33,32
107,2,1,44,33,30
108,2,1,42,33,29
109,2,1,43,32,28
110,2,1,42,32,29
111,2,1,42,32,30
112,2,1,43,33,33
113,2,1,43,33,31
114,2,1,43,33,32
115,2,1,43,35,31
116,2,1,43,34,34
117,2,1,43,37,35
118,2,1,43,37,33
119,2,1,43,36,30
120,2,1,43,37,28
121,2,1,43,37,31
122,2,1,43,35,33
123,2,1,43,35,32
124,2,1,43,36,34
125,2,1,43,36,31
126,2,1,43,35,33
127,2,1,43,37,33
128,2,1,44,37,35
129,2,1,44,36,35
130,2,1,44,36,36
131,2,1,44,34,36
132,2,1,44,35,35
133,2,1,43,36,33
134,2,1,43,33,29
135,2,1,43,36,33
136,2,1,43,35,32
137,2,1,43,34,34
138,2,1,43,36,36
139,2,1,43,35,34
140,2,1,43,33,32
141,2,1,43,33,33
142,2,1,42,33,33
143,2,1,42,36,33
144,2,1,42,34,32
145,2,1,42,30,32
146,2,1,42,32,30
147,2,1,42,33,31
148,2,1,42,34,32
149,2,1,42,33,30
150,2,1,42,33,27
151,2,1,42,33,28
152,2,1,42,34,31
153,2,1,42,33,33
154,2,1,42,35,31
155,2,1,42,32,29
156,2,1,41,31,32
157,2,1,41,31,31
158,2,1,41,34,29
159,2,1,41,31,28
160,2,1,41,32,31
161,2,1,39,29,32
162,2,1,39,29,31
163,2,1,39,31,30
164,2,1,39,33,30
165,2,1,39,29,27
166,2,1,39,29,31
167,2,1,39,29,28
168,2,1,39,28,28
169,2,1,39,31,28
170,2,1,39,32,29
171,2,1,39,30,30
172,2,1,39,29,29
173,2,1,39,28,27
174,2,1,38,28,28
175,2,1,38,28,29
176,2,1,37,28,29
177,2,1,37,28,27
178,2,1,36,27,27
179,2,1,36,28,26
180,2,1,37,28,27
181,2,1,37,29,25
182,2,1,37,30,24
183,2,1,37,29,24
184,2,1,37,30,25
185,2,1,37,30,27
186,2,1,37,27,26
187,2,1,37,29,26
188,2,1,35,28,24
189,2,1,35,30,26
190,2,1,35,27,25
191,2,1,35,30,26
192,2,1,35,30,29
193,2,1,35,30,26
194,2,1,35,29,28
195,2,1,35,30,26
196,2,1,35,32,25
197,2,1,34,31,26
198,2,1,34,30,26
199,2,1,34,29,24
200,2,1,34,28,26
201,2,1,33,26,27
202,2,1,33,28,25
203,2,1,33,29,24
204,2,1,33,29,24
205,2,1,33,27,25
206,2,1,33,31,24
207,2,1,33,27,22
208,2,1,44,30,25
209,2,1,42,31,19
210,2,1,35,25,21
211,2,1,54,30,24
212,2,1,54,40,24
213,2,1,55,40,23
214,2,1,55,46,25
215,2,1,56,44,27
216,2,1,55,48,28
217,2,1,55,48,29
218,2,1,56,48,29
219,2,1,54,46,30
220,2,1,56,46,30
221,2,1,57,45,31
222,2,1,58,46,31
223,2,1,58,49,30
224,2,1,59,47,30
225,2,1,58,43,29
226,2,1,59,47,31
227,2,1,43,28,23
228,2,1,40,28,21
229,2,1,48,30,22
230,2,1,55,35,28
231,2,1,55,34,27
232,2,1,52,32,26
233,2,1,57,33,28
234,2,1,62,46,33
235,2,1,62,45,33
236,2,1,60,52,32
237,2,1,61,47,33
238,2,1,60,50,31
239,2,1,61,48,32
240,2,1,61,43,31
241,2,1,62,49,31
242,2,1,59,46,30
243,2,1,59,45,28
244,2,1,61,48,29
245,2,1,62,46,31
246,2,1,61,46,34
247,2,1,59,47,38
248,2,1,60,45,35
249,2,1,59,45,31
250,2,1,60,43,36
251,2,1,61,42,33
252,2,1,56,45,25
253,2,1,56,37,27
254,2,1,55,40,23
255,2,1,53,40,24
256,2,1,55,42,24
257,2,1,54,41,26
258,2,1,55,34,28
259,2,1,55,48,29
260,2,1,54,45,29
261,2,1,54,42,30
262,2,1,54,45,30
263,2,1,54,46,27
264,2,1,53,45,27
265,2,1,53,43,28
266,2,1,53,45,26
267,2,1,53,46,26
268,2,1,54,47,27
269,2,1,54,47,28
270,2,1,54,41,30
271,2,1,52,44,28
272,2,1,52,41,27
273,2,1,52,39,27
274,2,1,52,39,27
275,2,1,51,36,28
276,2,1,50,37,27
277,2,1,50,35,27
278,2,1,49,35,27
