frame,n_cav,has_collab,n_gt,n_box_ego,n_box_collab,f1_ego
0,2,1,11,10,11,0.9523809523809523
1,2,1,11,10,12,0.8571428571428572
2,2,1,11,9,11,0.9
3,2,1,11,10,12,0.8571428571428572
4,2,1,11,9,12,0.9
5,2,1,11,9,10,0.9
6,2,1,11,10,11,0.8571428571428572
7,2,1,11,10,11,0.8571428571428572
8,2,1,11,10,10,0.8571428571428572
9,2,1,11,10,10,0.8571428571428572
10,2,1,11,11,8,0.8181818181818182
11,2,1,13,13,8,0.9230769230769231
12,2,1,13,12,10,0.8799999999999999
13,2,1,13,12,10,0.8799999999999999
14,2,1,13,12,8,0.8799999999999999
15,2,1,13,11,11,0.9166666666666666
16,2,1,13,12,9,0.8799999999999999
17,2,1,13,11,10,0.9166666666666666
18,2,1,13,11,9,0.9166666666666666
19,2,1,13,12,9,0.9600000000000001
20,2,1,13,12,10,0.9600000000000001
21,2,1,13,13,10,0.9230769230769231
22,2,1,14,12,9,0.8461538461538461
23,2,1,14,12,9,0.8461538461538461
24,2,1,14,14,9,0.8571428571428571
25,2,1,14,14,10,0.8571428571428571
26,2,1,15,12,10,0.888888888888889
27,2,1,16,14,10,0.9333333333333333
28,2,1,17,15,11,0.8749999999999999
29,2,1,17,14,10,0.7741935483870968
30,2,1,18,15,10,0.9090909090909091
31,2,1,18,15,10,0.8484848484848485
32,2,1,18,16,12,0.823529411764706
33,2,1,18,16,12,0.9411764705882353
34,2,1,19,14,11,0.8484848484848484
35,2,1,20,19,11,0.7692307692307692
36,2,1,23,16,13,0.7692307692307693
37,2,1,25,20,14,0.8444444444444444
38,2,1,25,18,15,0.8372093023255813
39,2,1,25,17,19,0.8095238095238095
40,2,1,26,20,18,0.8260869565217392
41,2,1,26,24,19,0.8400000000000001
42,2,1,28,22,19,0.8
43,2,1,28,21,19,0.8571428571428571
44,2,1,28,20,18,0.8333333333333333
45,2,1,28,24,21,0.923076923076923
46,2,1,28,24,20,0.923076923076923
47,2,1,28,24,20,0.923076923076923
48,2,1,28,24,22,0.923076923076923
49,2,1,28,23,22,0.8235294117647057
50,2,1,28,24,21,0.8846153846153847
51,2,1,28,24,19,0.8846153846153847
52,2,1,28,23,20,0.8627450980392156
53,2,1,28,22,20,0.84
54,2,1,28,23,21,0.8627450980392156
55,2,1,28,23,21,0.9019607843137255
56,2,1,28,24,23,0.8846153846153847
57,2,1,28,23,21,0.8627450980392156
58,2,1,28,23,20,0.8627450980392156
59,2,1,28,22,21,0.88
60,2,1,28,22,21,0.88
61,2,1,28,20,20,0.8333333333333333
62,2,1,28,21,22,0.8571428571428571
63,2,1,28,21,22,0.8571428571428571
64,2,1,28,22,23,0.88
65,2,1,28,23,22,0.8627450980392156
66,2,1,28,21,24,0.8571428571428571
67,2,1,28,22,23,0.88
68,2,1,28,22,21,0.88
69,2,1,28,22,23,0.88
70,2,1,28,22,22,0.84
71,2,1,28,22,23,0.88
72,2,1,28,23,21,0.8627450980392156
73,2,1,28,22,21,0.88
74,2,1,28,22,25,0.88
75,2,1,28,21,20,0.8571428571428571
76,2,1,28,21,22,0.8571428571428571
77,2,1,28,22,23,0.84
78,2,1,28,22,22,0.88
79,2,1,28,21,22,0.8163265306122449
80,2,1,28,19,23,0.8085106382978724
81,2,1,28,19,21,0.7659574468085106
82,2,1,27,18,21,0.8
83,2,1,28,20,19,0.75
84,2,1,28,18,21,0.782608695652174
85,2,1,28,21,21,0.8163265306122449
86,2,1,28,19,21,0.8085106382978724
87,2,1,28,17,21,0.7555555555555554
88,2,1,28,14,20,0.6666666666666666
89,2,1,28,18,18,0.782608695652174
90,2,1,28,16,18,0.7272727272727273
91,2,1,26,17,20,0.744186046511628
92,2,1,27,18,20,0.8
93,2,1,27,16,21,0.7441860465116279
94,2,1,27,18,22,0.7555555555555556
95,2,1,26,14,19,0.7000000000000001
96,2,1,24,16,19,0.7000000000000001
97,2,1,25,16,20,0.7317073170731707
98,2,1,25,17,20,0.8095238095238095
99,2,1,26,19,23,0.7999999999999999
100,2,1,26,21,23,0.8936170212765957
101,2,1,26,21,24,0.8936170212765957
102,2,1,27,20,20,0.8085106382978724
103,2,1,26,21,22,0.8936170212765957
104,2,1,27,21,23,0.8750000000000001
105,2,1,27,19,20,0.8260869565217391
106,2,1,27,20,20,0.8085106382978724
107,2,1,27,20,21,0.851063829787234
108,2,1,26,18,20,0.7272727272727274
109,2,1,26,19,19,0.8444444444444443
110,2,1,25,18,19,0.8372093023255813
111,2,1,27,17,18,0.7272727272727272
112,2,1,27,21,21,0.8750000000000001
113,2,1,28,23,22,0.8627450980392156
114,2,1,28,23,23,0.8627450980392156
115,2,1,28,22,22,0.88
116,2,1,25,22,17,0.9361702127659575
117,2,1,25,23,17,0.9583333333333334
118,2,1,25,23,17,0.9583333333333334
119,2,1,25,23,17,0.9583333333333334
120,2,1,25,21,18,0.9130434782608696
121,2,1,25,21,18,0.9130434782608696
122,2,1,25,21,17,0.9130434782608696
123,2,1,26,22,16,0.9166666666666666
124,2,1,26,23,15,0.8979591836734695
125,2,1,26,23,15,0.8979591836734695
126,2,1,26,22,19,0.875
127,2,1,26,23,18,0.9387755102040816
128,2,1,26,23,19,0.9387755102040816
129,2,1,26,23,19,0.8979591836734695
130,2,1,25,23,17,0.9166666666666666
131,2,1,26,23,18,0.8979591836734695
132,2,1,26,21,18,0.8936170212765957
133,2,1,26,22,19,0.875
134,2,1,26,21,18,0.8936170212765957
135,2,1,26,22,19,0.875
136,2,1,26,22,20,0.9166666666666666
137,2,1,25,22,19,0.9361702127659575
138,2,1,25,22,18,0.9361702127659575
139,2,1,25,22,18,0.9361702127659575
140,2,1,26,22,19,0.9166666666666666
141,2,1,26,22,19,0.9166666666666666
142,2,1,26,22,19,0.9166666666666666
143,2,1,26,21,20,0.8936170212765957
144,2,1,25,22,20,0.8936170212765958
145,2,1,26,21,21,0.8510638297872339
146,2,1,26,20,20,0.8695652173913044
147,2,1,26,20,21,0.8695652173913044
148,2,1,26,21,21,0.8085106382978723
149,2,1,26,22,20,0.8333333333333333
150,2,1,25,21,18,0.8695652173913043
151,2,1,25,21,19,0.8695652173913043
152,2,1,24,21,18,0.9333333333333333
153,2,1,25,20,18,0.888888888888889
154,2,1,25,21,19,0.9130434782608696
155,2,1,25,21,18,0.9130434782608696
156,2,1,24,20,19,0.9090909090909091
157,2,1,24,20,19,0.9090909090909091
