frame,n_gt,n_box_ego,n_box_collab,n_box_L,f1_E,f1_L,n_cw_L,B_L_msym
0,11,10,11,12,0.9523809523809523,0.9565217391304348,5,0.00125
1,11,10,12,13,0.8571428571428572,0.9166666666666666,6,0.0015
2,11,9,11,12,0.9,0.9565217391304348,5,0.00125
3,11,10,12,14,0.8571428571428572,0.88,6,0.0015
4,11,9,12,13,0.9,0.9166666666666666,6,0.0015
5,11,9,10,11,0.9,1.0,5,0.00125
6,11,10,11,13,0.8571428571428572,0.9166666666666666,5,0.00125
7,11,10,11,13,0.8571428571428572,0.9166666666666666,5,0.00125
8,11,10,10,13,0.8571428571428572,0.9166666666666666,5,0.00125
9,11,10,10,12,0.8571428571428572,0.9565217391304348,5,0.00125
10,11,11,8,13,0.8181818181818182,0.9166666666666666,4,0.001
11,13,13,8,14,0.9230769230769231,0.962962962962963,4,0.001
12,13,12,10,14,0.8799999999999999,0.888888888888889,5,0.00125
13,13,12,10,13,0.8799999999999999,0.9230769230769231,5,0.00125
14,13,12,8,13,0.8799999999999999,0.9230769230769231,4,0.001
15,13,11,11,12,0.9166666666666666,0.9600000000000001,5,0.00125
16,13,11,9,13,0.8333333333333333,0.9230769230769231,4,0.001
17,13,11,10,13,0.9166666666666666,0.9230769230769231,5,0.00125
18,13,11,9,12,0.9166666666666666,0.9600000000000001,4,0.001
19,13,12,9,13,0.9600000000000001,1.0,4,0.001
20,13,12,10,13,0.9600000000000001,0.9230769230769231,5,0.00125
21,13,13,10,16,0.9230769230769231,0.896551724137931,5,0.00125
22,14,12,9,13,0.8461538461538461,0.888888888888889,4,0.001
23,14,12,9,15,0.8461538461538461,0.896551724137931,4,0.001
24,14,14,9,15,0.8571428571428571,0.896551724137931,4,0.001
25,14,14,10,15,0.8571428571428571,0.896551724137931,5,0.00125
26,15,12,10,14,0.888888888888889,0.896551724137931,5,0.00125
27,16,14,10,15,0.9333333333333333,0.967741935483871,5,0.00125
28,17,15,11,16,0.8749999999999999,0.9090909090909091,5,0.00125
29,17,14,10,15,0.7741935483870968,0.8749999999999999,5,0.00125
30,18,15,10,16,0.9090909090909091,0.9411764705882353,5,0.00125
31,18,15,10,17,0.8484848484848485,0.9142857142857143,5,0.00125
32,18,16,12,17,0.823529411764706,0.9714285714285714,6,0.0015
33,18,16,12,17,0.9411764705882353,0.9714285714285714,6,0.0015
34,19,14,11,17,0.8484848484848484,0.9444444444444444,5,0.00125
35,20,19,11,22,0.7692307692307692,0.8571428571428572,5,0.00125
36,23,16,13,19,0.7692307692307693,0.8571428571428571,6,0.0015
37,25,20,14,23,0.8444444444444444,0.9583333333333334,6,0.0015
38,25,18,15,21,0.8372093023255813,0.9130434782608696,7,0.00175
39,25,17,19,22,0.8095238095238095,0.8510638297872342,8,0.002
40,26,20,18,22,0.8260869565217392,0.9166666666666666,8,0.002
41,26,24,19,27,0.8400000000000001,0.8679245283018868,8,0.002
42,28,22,19,26,0.8,0.9259259259259259,8,0.002
43,28,21,19,24,0.8571428571428571,0.923076923076923,8,0.002
44,28,20,18,23,0.8333333333333333,0.9019607843137255,8,0.002
45,28,24,21,27,0.923076923076923,0.9818181818181818,9,0.00225
46,28,24,20,27,0.923076923076923,0.9818181818181818,8,0.002
47,28,24,20,27,0.923076923076923,0.9818181818181818,8,0.002
48,28,24,22,28,0.923076923076923,1.0,9,0.00225
49,28,23,22,27,0.8235294117647057,0.9090909090909091,9,0.00225
50,28,24,21,27,0.8846153846153847,0.9454545454545454,9,0.00225
51,28,24,19,26,0.8846153846153847,0.962962962962963,8,0.002
52,28,23,20,26,0.8627450980392156,0.9259259259259259,8,0.002
53,28,22,20,25,0.84,0.9056603773584904,8,0.002
54,28,23,21,26,0.8627450980392156,0.888888888888889,9,0.00225
55,28,23,21,25,0.9019607843137255,0.9433962264150945,9,0.00225
56,28,24,23,28,0.8846153846153847,0.9642857142857143,10,0.0025
57,28,23,21,26,0.8627450980392156,0.9259259259259259,9,0.00225
58,28,23,20,27,0.8627450980392156,0.9454545454545454,8,0.002
59,28,22,21,27,0.88,0.9818181818181818,9,0.00225
60,28,22,21,27,0.88,0.9454545454545454,9,0.00225
61,28,20,20,24,0.8333333333333333,0.8846153846153847,8,0.002
