frame,ego_id,ego_detected_box_count,has_collaborator,ego_origin_lidar_shape_0,ego_origin_lidar_shape_1,ego_pcd_num_points,ego_pcd_mean_range,ego_pcd_max_range,ego_pcd_std_range,ego_pcd_near_20m,ego_pcd_mid_20_50m,ego_pcd_far_50_80m,ego_pcd_very_far_80m,ego_pcd_front_points,ego_pcd_back_points,ego_pcd_left_points,ego_pcd_right_points,ego_pcd_front_far_30m,ego_pcd_front_far_50m,ego_pcd_density_0_20,ego_pcd_density_20_50,ego_pcd_density_50_80
0,2149,10,1,55854,4,55854,11.192208290100098,117.49102020263672,11.05551528930664,51216,3255,1192,191,27530,28324,28314,27540,1462,891,40.75639782697256,0.49338032358487555,0.09728856008489192
1,2149,10,1,55808,4,55808,11.231222152709961,116.31720733642578,11.100595474243164,51113,3245,1250,200,27404,28404,28346,27462,1470,920,40.67443303128023,0.4918645622220956,0.10202239941788162
2,2149,9,1,55839,4,55839,11.19632339477539,115.63336181640625,11.045502662658691,51133,3221,1270,215,27443,28396,28378,27461,1478,939,40.69034852558942,0.4882267349514237,0.10365475780856773
3,2149,10,1,55816,4,55816,11.207894325256348,114.38589477539062,11.028642654418945,51051,3277,1261,227,27342,28474,28352,27464,1491,934,40.625094998921746,0.49671499858299145,0.10292019653275898
4,2149,9,1,55717,4,55717,11.24221134185791,114.51982879638672,11.105963706970215,50903,3315,1238,261,27330,28387,28348,27369,1527,956,40.50732034103374,0.5024748917615554,0.10104298438346997
5,2149,9,1,55627,4,55627,11.249550819396973,115.55158233642578,11.096747398376465,50739,3425,1200,263,27252,28375,28258,27369,1598,947,40.37681328769839,0.5191482667521348,0.09794150344116635
6,2149,10,1,55558,4,55558,11.258269309997559,117.38817596435547,11.050702095031738,50631,3513,1151,263,27180,28378,28278,27280,1628,923,40.290869618428765,0.5324869667445984,0.0939422253839854
7,2149,10,1,55588,4,55588,11.282479286193848,119.05341339111328,11.017144203186035,50587,3582,1173,246,27186,28402,28268,27320,1721,954,40.255855530948544,0.5429457201477801,0.09573781961374012
8,2149,10,1,55568,4,55568,11.294604301452637,119.8600082397461,10.997983932495117,50501,3712,1090,265,27162,28406,28307,27261,1773,917,40.18741890541903,0.5626506178639196,0.08896353229239277
9,2149,10,1,55407,4,55407,11.298433303833008,119.97806549072266,10.970311164855957,50342,3719,1086,260,27045,28362,28211,27196,1809,931,40.060890725660975,0.5637116508178656,0.08863706061425555
10,2149,11,1,55329,4,55329,11.316405296325684,119.3607406616211,10.933876037597656,50264,3732,1083,250,26960,28369,28080,27249,1857,929,39.99882029785513,0.5656821405894794,0.08839220685565263
11,2149,13,1,55350,4,55350,11.352977752685547,118.4719467163086,10.920276641845703,50190,3897,1017,246,26940,28410,28151,27199,1950,880,39.93993296891114,0.5906922030753488,0.0830054241663885
12,2149,12,1,55260,4,55260,11.361268997192383,119.96430969238281,10.798922538757324,50009,4048,979,224,26918,28342,28067,27193,2084,840,39.79589774541297,0.613580199653326,0.07990394322408488
13,2149,12,1,55191,4,55191,11.334131240844727,119.0347671508789,10.665324211120605,49888,4193,894,216,26866,28325,28137,27054,2059,780,39.69960900484237,0.6355587394136354,0.07296642006366894
14,2149,12,1,55080,4,55080,11.38348388671875,119.47774505615234,10.71975326538086,49675,4347,839,219,26781,28299,27954,27126,2086,727,39.530108990449506,0.6589014644004467,0.06847743448928215
15,2149,11,1,55032,4,55032,11.386259078979492,119.72473907470703,10.59970760345459,49618,4449,784,181,26728,28304,28019,27013,2125,680,39.48474983166831,0.6743622303008022,0.06398844891489536
16,2149,12,1,54993,4,54993,11.462262153625488,117.72396850585938,10.621947288513184,49358,4745,713,177,26624,28369,27901,27092,2193,621,39.27784840564885,0.719228766639089,0.05819357662795968
17,2149,11,1,55008,4,55008,11.480159759521484,119.94020080566406,10.528395652770996,49265,4940,638,165,26653,28355,27947,27061,2183,554,39.203841357111116,0.7487861132132981,0.05207223266288678
18,2149,11,1,54800,4,54800,11.484832763671875,119.03575897216797,10.389046669006348,48859,5184,609,148,26527,28273,27780,27020,2156,536,38.880756822634574,0.785770690465129,0.04970531299639193
19,2149,12,1,54610,4,54610,11.541906356811523,118.38513946533203,10.313624382019043,48497,5403,579,131,26408,28202,27660,26950,2101,490,38.59268637563824,0.8189658643100101,0.047256775410362765
20,2149,12,1,54816,4,54816,11.5716552734375,118.96473693847656,10.180665016174316,48416,5734,545,121,26518,28298,27799,27017,2090,487,38.528228623686026,0.8691375654180266,0.04448176614619639
21,2149,13,1,54363,4,54363,11.574831008911133,119.5187759399414,9.964284896850586,47850,5896,522,95,26177,28186,27653,26710,2096,469,38.07782013473596,0.8936928994950618,0.042604553996907366
22,2149,12,1,54340,4,54340,11.59426212310791,119.77433013916016,9.85976791381836,47784,5961,520,75,26370,27970,27436,26904,2137,475,38.025299003515634,0.9035453483531316,0.042441318157838755
23,2149,12,1,54340,4,54340,11.618997573852539,119.4555892944336,9.797989845275879,47792,5999,477,72,26337,28003,27558,26782,2112,440,38.031665201239306,0.9093052415316955,0.038931747617863624
24,2149,14,1,54102,4,54102,11.716896057128906,119.80802917480469,9.886031150817871,47362,6194,475,71,26329,27773,27347,26755,2149,439,37.68948207359173,0.9388625881059045,0.03876851177879502
25,2149,14,1,54228,4,54228,11.768929481506348,119.96483612060547,9.943136215209961,47326,6337,493,72,26423,27805,27360,26868,2172,446,37.66083418383519,0.9605379755936579,0.04023763433041251
26,2149,12,1,54160,4,54160,11.799556732177734,119.38713073730469,9.954880714416504,47143,6444,498,75,26372,27788,27198,26962,2200,438,37.51520741090611,0.9767566221754034,0.04064572392808404
