frame,ego70_pcd_num_points,ego70_pcd_mean_range,ego70_pcd_max_range,ego70_pcd_std_range,ego70_pcd_near_20m,ego70_pcd_mid_20_50m,ego70_pcd_far_50_80m,ego70_pcd_very_far_80m,ego70_pcd_front_points,ego70_pcd_back_points,ego70_pcd_left_points,ego70_pcd_right_points,ego70_pcd_front_far_30m,ego70_pcd_front_far_50m,ego70_pcd_density_0_20,ego70_pcd_density_20_50,ego70_pcd_density_50_80
0,55422,10.649029731750488,77.6912841796875,9.199090957641602,51216,3255,951,0,27413,28009,28258,27164,1345,774,40.75639782697256,0.49338032358487555,0.07761864147712434
1,55405,10.720171928405762,78.63373565673828,9.358308792114258,51113,3245,1047,0,27309,28096,28297,27108,1375,825,40.67443303128023,0.4918645622220956,0.08545396175241765
2,55439,10.68716049194336,77.9625015258789,9.291764259338379,51133,3221,1085,0,27351,28088,28333,27106,1386,847,40.69034852558942,0.4882267349514237,0.08855544269472125
3,55417,10.697488784790039,78.09571075439453,9.259954452514648,51051,3277,1089,0,27258,28159,28306,27111,1407,850,40.625094998921746,0.49671499858299145,0.08888191437285847
4,55280,10.683409690856934,78.13926696777344,9.169189453125,50903,3315,1062,0,27250,28030,28292,26988,1447,876,40.50732034103374,0.5024748917615554,0.08667823054543222
5,55205,10.706381797790527,80.41439056396484,9.204228401184082,50739,3425,1040,1,27182,28023,28213,26992,1528,877,40.37681328769839,0.5191482667521348,0.08488263631567751
6,55155,10.733853340148926,80.15525817871094,9.198690414428711,50631,3513,1010,1,27116,28039,28256,26899,1564,859,40.290869618428765,0.5324869667445984,0.08243409872964835
7,55213,10.79049301147461,79.5866928100586,9.263737678527832,50587,3582,1044,0,27117,28096,28263,26950,1652,885,40.255855530948544,0.5429457201477801,0.08520910799381473
8,55196,10.800743103027344,77.98600769042969,9.20741081237793,50501,3712,983,0,27089,28107,28305,26891,1700,844,40.18741890541903,0.5626506178639196,0.0802304149022221
9,55045,10.813321113586426,79.86210632324219,9.196419715881348,50342,3719,984,0,26976,28069,28203,26842,1740,862,40.060890725660975,0.5637116508178656,0.08031203282175642
10,54983,10.848420143127441,74.47969818115234,9.206369400024414,50264,3732,987,0,26891,28092,28068,26915,1788,860,39.99882029785513,0.5656821405894794,0.08055688658035932
11,55008,10.886626243591309,73.63764953613281,9.179502487182617,50190,3897,921,0,26866,28142,28133,26875,1876,806,39.93993296891114,0.5906922030753488,0.07517010389109519
