sample_id,late_num_pred,late_num_gt,late_tp,late_fp,late_fn,late_precision,late_recall,late_f1,late_payload_Mbit,early_num_pred,early_num_gt,early_tp,early_fp,early_fn,early_precision,early_recall,early_f1,early_payload_Mbit,intermediate_num_pred,intermediate_num_gt,intermediate_tp,intermediate_fp,intermediate_fn,intermediate_precision,intermediate_recall,intermediate_f1,intermediate_payload_Mbit,compressed_num_pred,compressed_num_gt,compressed_tp,compressed_fp,compressed_fn,compressed_precision,compressed_recall,compressed_f1,compressed_payload_Mbit,late_f1_gain_over_late,late_gain_per_extra_Mbit,early_f1_gain_over_late,early_gain_per_extra_Mbit,intermediate_f1_gain_over_late,intermediate_gain_per_extra_Mbit,compressed_f1_gain_over_late,compressed_gain_per_extra_Mbit,best_method_by_f1,best_level_by_f1,best_f1,best_payload_Mbit,num_cavs,cav_keys,ego_num_objects,ego_origin_lidar_shape_0,ego_origin_lidar_shape_1,pcd_num_points,pcd_mean_range,pcd_max_range,pcd_std_range,pcd_near_20m,pcd_mid_20_50m,pcd_far_50_80m,pcd_very_far_80m,pcd_front_points,pcd_back_points,pcd_left_points,pcd_right_points,pcd_front_far_30m,pcd_front_far_50m,pcd_density_0_20,pcd_density_20_50,pcd_density_50_80,est_snr_db,bler_16qam,effective_compressed_f1,channel_oracle
0,12,12,12,0,0,1.0,1.0,1.0,0.024,13,13,11,2,2,0.8461538461538461,0.8461538461538461,0.8461538461538461,7.68,13,13,13,0,0,1.0,1.0,1.0,126.8,13,13,13,0,0,1.0,1.0,1.0,1.98,0.0,,-0.1538461538461538,-0.0200948476810545,0.0,0.0,0.0,0.0,late,object_level,1.0,0.024,4,ego|2158|2167|2176,10,55422,4,55422,10.649029731750488,77.6912841796875,9.199090957641602,51216,3255,951,0,27413,28009,28269,27153,1345,774,40.75639782697256,0.4933803235848755,0.0776186414771243,12.739233746429086,0.025,0.975,late
1,13,12,11,2,1,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.024,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,7.68,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,126.8,13,13,13,0,0,1.0,1.0,1.0,1.98,0.0,,0.0430769230769232,0.0056265573506953,0.0430769230769232,0.0003397876812403,0.1200000000000001,0.0613496932515338,compressed,compressed_feature_level,1.0,1.98,4,ego|2158|2167|2176,10,55405,4,55405,10.720171928405762,78.63373565673828,9.358308792114258,51113,3245,1047,0,27316,28089,28298,27107,1375,825,40.67443303128023,0.4918645622220956,0.0854539617524176,5.395734275277406,1.0,0.0,late
2,13,12,12,1,0,0.9230769230769232,1.0,0.96,0.024,12,13,12,0,1,1.0,0.9230769230769232,0.96,7.68,13,13,13,0,0,1.0,1.0,1.0,126.8,13,13,13,0,0,1.0,1.0,1.0,1.98,0.0,,0.0,0.0,0.0399999999999999,0.0003155171325802,0.0399999999999999,0.0204498977505112,compressed,compressed_feature_level,1.0,1.98,4,ego|2158|2167|2176,9,55439,4,55439,10.68716049194336,77.9625015258789,9.29176425933838,51133,3221,1085,0,27354,28085,28333,27106,1386,847,40.69034852558942,0.4882267349514237,0.0885554426947212,0.8194704787238938,1.0,0.0,late
3,14,12,12,2,0,0.8571428571428571,1.0,0.923076923076923,0.024,12,13,12,0,1,1.0,0.9230769230769232,0.96,7.68,13,13,13,0,0,1.0,1.0,1.0,126.8,13,13,13,0,0,1.0,1.0,1.0,1.98,0.0,,0.036923076923077,0.0048227634434531,0.0769230769230769,0.0006067637165005,0.0769230769230769,0.0393267264432908,compressed,compressed_feature_level,1.0,1.98,4,ego|2158|2167|2176,9,55417,4,55417,10.69748878479004,78.09571075439453,9.259955406188965,51051,3277,1089,0,27275,28142,28315,27102,1407,850,40.62509499892175,0.4967149985829914,0.0888819143728584,0.3305527105705819,1.0,0.0,late
4,14,12,12,2,0,0.8571428571428571,1.0,0.923076923076923,0.024,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,7.68,13,13,13,0,0,1.0,1.0,1.0,126.8,13,13,13,0,0,1.0,1.0,1.0,1.98,0.0,,1.1102230246251563e-16,1.450134567169745e-17,0.0769230769230769,0.0006067637165005,0.0769230769230769,0.0393267264432908,compressed,compressed_feature_level,1.0,1.98,4,ego|2158|2167|2176,9,55280,4,55280,10.683409690856934,78.13926696777344,9.169189453125,50903,3315,1062,0,27253,28027,28292,26988,1447,876,40.50732034103374,0.5024748917615554,0.0866782305454322,16.265404784005447,0.0,1.0,compressed
5,12,12,12,0,0,1.0,1.0,1.0,0.024,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,7.68,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,126.8,13,13,13,0,0,1.0,1.0,1.0,1.98,0.0,,-0.0769230769230768,-0.0100474238405272,-0.0769230769230768,-0.0006067637165005,0.0,0.0,late,object_level,1.0,0.024,4,ego|2158|2167|2176,9,55205,4,55205,10.706380844116213,80.41439056396484,9.204228401184082,50739,3425,1040,1,27182,28023,28225,26980,1528,877,40.37681328769839,0.5191482667521348,0.0848826363156775,18.255111545554435,0.0,1.0,late
6,12,12,12,0,0,1.0,1.0,1.0,0.024,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,7.68,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,126.8,13,13,13,0,0,1.0,1.0,1.0,1.98,0.0,,-0.0769230769230768,-0.0100474238405272,-0.0769230769230768,-0.0006067637165005,0.0,0.0,late,object_level,1.0,0.024,4,ego|2158|2167|2176,9,55155,4,55155,10.733853340148926,80.15525817871094,9.198690414428713,50631,3513,1010,1,27131,28024,28265,26890,1564,859,40.290869618428765,0.5324869667445984,0.0824340987296483,12.132715515343598,0.025,0.975,late
7,12,12,11,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.024,12,13,12,0,1,1.0,0.9230769230769232,0.96,7.68,13,13,13,0,0,1.0,1.0,1.0,126.8,13,13,13,0,0,1.0,1.0,1.0,1.98,0.0,,0.0433333333333334,0.005660048763497,0.0833333333333333,0.0006573273595422,0.0833333333333333,0.0426039536468984,compressed,compressed_feature_level,1.0,1.98,4,ego|2158|2167|2176,9,55213,4,55213,10.79049301147461,79.5866928100586,9.263738632202148,50587,3582,1044,0,27127,28086,28263,26950,1652,885,40.255855530948544,0.5429457201477801,0.0852091079938147,14.589931219679968,0.017625859754000398,0.9823741402459996,compressed
8,13,12,11,2,1,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.024,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,7.68,13,13,13,0,0,1.0,1.0,1.0,126.8,13,13,13,0,0,1.0,1.0,1.0,1.98,0.0,,0.0430769230769232,0.0056265573506953,0.1200000000000001,0.0009465513977408,0.1200000000000001,0.0613496932515338,compressed,compressed_feature_level,1.0,1.98,4,ego|2158|2167|2176,9,55196,4,55196,10.800743103027344,77.98600769042969,9.20741081237793,50501,3712,983,0,27106,28090,28322,26874,1700,844,40.18741890541903,0.5626506178639196,0.0802304149022221,10.872499829308458,0.23640628200466418,0.7635937179953358,late
9,13,12,12,1,0,0.9230769230769232,1.0,0.96,0.024,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,7.68,13,13,13,0,0,1.0,1.0,1.0,126.8,13,13,13,0,0,1.0,1.0,1.0,1.98,0.0,,-0.0369230769230769,-0.0048227634434531,0.0399999999999999,0.0003155171325802,0.0399999999999999,0.0204498977505112,compressed,compressed_feature_level,1.0,1.98,4,ego|2158|2167|2176,9,55045,4,55045,10.813321113586426,79.86210632324219,9.196419715881348,50342,3719,984,0,26977,28068,28207,26838,1740,862,40.060890725660975,0.5637116508178656,0.0803120328217564,18.701448475755363,0.0,1.0,compressed
