feature,importance
est_snr_db,0.5797992037279133
pcd_mean_range,0.03815285995832115
pcd_density_20_50,0.028655799427464962
pcd_mid_20_50m,0.028559545991028785
pcd_std_range,0.02835631362809173
pcd_left_points,0.027266049916333093
pcd_max_range,0.02703515044509329
pcd_far_50_80m,0.023055769260180332
pcd_front_points,0.02215153044722025
pcd_density_0_20,0.02055290757647942
pcd_density_50_80,0.020355206450446497
pcd_right_points,0.020218016586009673
pcd_front_far_30m,0.019980843302432324
pcd_num_points,0.019956048856861742
pcd_near_20m,0.01980625503771699
pcd_back_points,0.019464243492218928
ego_num_objects,0.018540947631927006
ego_origin_lidar_shape_0,0.017498686957433025
pcd_front_far_50m,0.01458452330829656
num_cavs,0.004983834092768502
pcd_very_far_80m,0.0010262639057624474
ego_origin_lidar_shape_1,0.0
